title,features,description,asin,imageurl,imageurlhighres,category
Dreamwave Little Boys' Spiderman Trunks (Toddler/Kid) - Blue,Board Shorts,"Spiderman Trunks - Blue Boys 100% Polyester Swim Trunk, Full Elastic Waist, Mesh Liner, UPF 50+ Sun Protection, Cold Wash inside out with like colors, non-chlorine bleach when needed, iron low on reverse side",B00005NBFI,"['https://images-na.ssl-images-amazon.com/images/I/51AQGIjcvcL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/51AQGIjcvcL.jpg'],Boys Clothing
Alpha Industries Boys' Little MA-1 Bomber Jacket with Patches,"100% Nylon; Lining: 100% Polyester
Imported
Zipper closure
Dry Clean Only
High-quality flight nylon shell that is water resistant with a zip closure to keep out the wind and rain
The kids jacket has a front storm flap and polyester fill for warmth
The toddler/kids flight jacket has the emergency orange lining just like the adult ma-1
The kids bomber features eight military-inspired patches including the U.S. Flag and top gun logo
Designed for use in temperatures 25 degrees fahrenheit and above
Package Dimensions:
                    
1 x 1 x 1 inches
Shipping Weight:
                    
4 pounds (View shipping rates and policies)","Our toddler/kids clown masks-1 jacket leads in warmth and durability. This kids flight jacket is based on clown masks-1 men's classic, featuring the same signature zippered utility/pencil pocket alpha is known for along with the 100 percent nylon outer shell/polyester interlining. The clown masks-1 has four additional pockets-both inside and outside-plus a knit collar, cuffs and waistband for warmth. Genuine patches and sage green color is paired with an orange lining for pint-sized authenticity.",B0000CC55L,"['https://images-na.ssl-images-amazon.com/images/I/51a8XNcpzEL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/51a8XNcpzEL.jpg'],Boys Clothing
Roper Boys' Western Suede Vest - 0209405000513Br,"Leather
Imported
Soft Suede Construction
Classic western style
Accessories not included
Product Dimensions:
                    
7 x 7 x 7 inches
Shipping Weight:
                    
1 pounds (View shipping rates and policies)",Classic western vest crafted of genuine suede leather. Great for formal occasions Silver-tone star snap closures. Satin back. Imported.,B0001XWPUE,"['https://images-na.ssl-images-amazon.com/images/I/41KtXTshZTL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/41KtXTshZTL.jpg'],Boys Clothing
Charles River Apparel Youth Classic Solid Pullover,"100% Nylon
Imported
Zipper closure
Machine Wash
100 percent river tech nylon taffeta (2.06 cover./Yd2)
Wind and water-resistant, lightweight and breathable
Packs into its own front pouch pocket
Extended zipper at the neck for easy on/off
Elasticized cuffs and open hem
Shipping Weight:
                    
1 pounds (View shipping rates and policies)","Add some style to your wardrobe with this youth classic solid pullover. Made from wind and water-resistant river Tec nylon, this pullover has an interior lined with 100 percent cotton flannel for added softness. This jacket conveniently folds into its front pocket for storage and features an extended zipper above the neck to offer extra protection against the wind, elasticized cuffs, and an open hem. Offered in multiple color options, this youth sized apparel will help show off your customized imprint everywhere they may go.",B00020O34W,"['https://images-na.ssl-images-amazon.com/images/I/41-uj2GkllL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jP91N9iNL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fwDooaFtL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415nbM0Dt9L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41FoY7RmpKL._SX38_SY50_CR,0,0,38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41-uj2GkllL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jP91N9iNL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fwDooaFtL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415nbM0Dt9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41FoY7RmpKL.jpg']",Boys Clothing
Hanes Toddler Boys A-shirts 3 Pack - Tb372,"cotton
Fiber Content: 100% cotton
Country Of Origin: Imported
Units Per Package: 3
Shipping Weight:
                    
1 pounds","""100% pure cotton for natural softness. Tagless, no more scratchy label.""",B0002T63YG,"['https://images-na.ssl-images-amazon.com/images/I/51gnr3Tpn7L._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/51gnr3Tpn7L.jpg'],Boys Clothing
Dickies Boys' Pleated-Front Uniform Short,"65% Polyester, 35% Cotton
Machine Wash
Pleated-front short featuring slanted side pockets and hook-and-eye closure
Two back welt pockets
Package Dimensions:
                    
11 x 9 x 1 inches
Shipping Weight:
                    
1 pounds (View shipping rates and policies)","Dickies boy's pleated front short features easy care, stain release, no iron and fade resistant. Quality and durability from Dickies at an excellent value. Ideal for school or play. 7 3/4 ounce twill. No exterior logo.",B0002UD48S,"['https://images-na.ssl-images-amazon.com/images/I/41dFDa868sL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41dM50Oi97L._SX38_SY50_CR,0,0,38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41dFDa868sL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41dM50Oi97L.jpg']",Boys Clothing
Dreamwave Little Boys' Spiderman Trunks (Toddler/Kid) - Blue,Board Shorts,"Spiderman Trunks - Blue Boys 100% Polyester Swim Trunk, Full Elastic Waist, Mesh Liner, UPF 50+ Sun Protection, Cold Wash inside out with like colors, non-chlorine bleach when needed, iron low on reverse side",B00005NBFI,"['https://images-na.ssl-images-amazon.com/images/I/51AQGIjcvcL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/51AQGIjcvcL.jpg'],Boys Clothing
Alpha Industries Boys' Little MA-1 Bomber Jacket with Patches,"100% Nylon; Lining: 100% Polyester
Imported
Zipper closure
Dry Clean Only
High-quality flight nylon shell that is water resistant with a zip closure to keep out the wind and rain
The kids jacket has a front storm flap and polyester fill for warmth
The toddler/kids flight jacket has the emergency orange lining just like the adult ma-1
The kids bomber features eight military-inspired patches including the U.S. Flag and top gun logo
Designed for use in temperatures 25 degrees fahrenheit and above
Package Dimensions:
                    
1 x 1 x 1 inches
Shipping Weight:
                    
4 pounds (View shipping rates and policies)","Our toddler/kids clown masks-1 jacket leads in warmth and durability. This kids flight jacket is based on clown masks-1 men's classic, featuring the same signature zippered utility/pencil pocket alpha is known for along with the 100 percent nylon outer shell/polyester interlining. The clown masks-1 has four additional pockets-both inside and outside-plus a knit collar, cuffs and waistband for warmth. Genuine patches and sage green color is paired with an orange lining for pint-sized authenticity.",B0000CC55L,"['https://images-na.ssl-images-amazon.com/images/I/51a8XNcpzEL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/51a8XNcpzEL.jpg'],Boys Clothing
Roper Boys' Western Suede Vest - 0209405000513Br,"Leather
Imported
Soft Suede Construction
Classic western style
Accessories not included
Product Dimensions:
                    
7 x 7 x 7 inches
Shipping Weight:
                    
1 pounds (View shipping rates and policies)",Classic western vest crafted of genuine suede leather. Great for formal occasions Silver-tone star snap closures. Satin back. Imported.,B0001XWPUE,"['https://images-na.ssl-images-amazon.com/images/I/41KtXTshZTL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/41KtXTshZTL.jpg'],Boys Clothing
Charles River Apparel Youth Classic Solid Pullover,"100% Nylon
Imported
Zipper closure
Machine Wash
100 percent river tech nylon taffeta (2.06 cover./Yd2)
Wind and water-resistant, lightweight and breathable
Packs into its own front pouch pocket
Extended zipper at the neck for easy on/off
Elasticized cuffs and open hem
Shipping Weight:
                    
1 pounds (View shipping rates and policies)","Add some style to your wardrobe with this youth classic solid pullover. Made from wind and water-resistant river Tec nylon, this pullover has an interior lined with 100 percent cotton flannel for added softness. This jacket conveniently folds into its front pocket for storage and features an extended zipper above the neck to offer extra protection against the wind, elasticized cuffs, and an open hem. Offered in multiple color options, this youth sized apparel will help show off your customized imprint everywhere they may go.",B00020O34W,"['https://images-na.ssl-images-amazon.com/images/I/41-uj2GkllL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jP91N9iNL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fwDooaFtL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415nbM0Dt9L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41FoY7RmpKL._SX38_SY50_CR,0,0,38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41-uj2GkllL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jP91N9iNL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fwDooaFtL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415nbM0Dt9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41FoY7RmpKL.jpg']",Boys Clothing
