reviewtext,summary,rating,asin
"The shorts looked as though they were well made, but I don't even know if they fit. I bought them for my grandson but he wouldn't even try them on, let alone wear them to school.",too 'dorkie' for my grandson,4.0,B0002UD48S
"Khakis come in all shades, but this one was a little too greenish-tinged to be wearable as school uniform. It was also a little bit tighter around the waist and did not ""give"" as much as the Classroom Brand of the exact same size. Very nice-looking and well-made shorts, just not the right color, which does not show up on the computer screen. So while I love the shorts, we ultimately cannot use them.","A Little on the ""Greenish"" Side",5.0,B0002UD48S
Dickies brand are great uniform shorts/pants that really hold up to rough and tough little boys.  These are well constructed and a great value.  I find this brand to run a little small.  My son usually wears a regular size 8 in Old Navy and other brands (not their husky) but he needed a 8 husky in this brand.  I find these hold up better and are more comfortable than much higher cost brands.,Great Value!,5.0,B0002UD48S
My 5 y.o. is a little thick. These were well made. look nice and have the flexibility to accommodate a growth spurt.,works,4.0,B0002UD48S
"These are fine for school shorts; a little stiff - like most uniform brands.  But, they fit true to size, the color and fabric has held up well through several washes; they don't require ironing if you can get them folded right out of the dryer.",Holding Up & Comfy,4.0,B0002UD48S
"Nice, durable quality....runs small...I would get a size larger than you need and you should be good...not super soft but will wear well.",Dickies shorts,4.0,B0002UD48S
This was an excellent bargain and very durable uniform shorts.  They are true to color and size.,Great Bargain,5.0,B0002UD48S
"I purchased these for my son, who is quite a Husky boy.  He at 8 years old, by height and size looks as if he is 12-14 years old.

These pants are wonderful!  My son loves them, he can run, jump, rough house on the playing field with them.  The food stains thus far, have all washed out in cold water without stain remover.

They look good.  Very masculine looking cut.  Excellent product.  I will continue to buy this brand as he grows!  EXCELLENT!",EXCELLENT SCHOOL OR DRESS SHORTS,5.0,B0002UD48S
Love Dickies! Can't beat 'em!,Five Stars,5.0,B0002UD48S
Very good quality.,Four Stars,4.0,B0002UD48S
The item was delivered on time and the shorts fit as expected.,Five Stars,5.0,B0002UD48S
"Love it,great for back to school","Love it, great for back to",5.0,B0002UD48S
"My son is 11 and weighs about 90 pounds and tall, so I purchased the 16 and they fit perfectly.",My son is 11 and weighs about 90 pounds and ...,4.0,B0002UD48S
It is kind of hard to rate these since we just got them. They did wash well and I do like the look of the pleated front. They fit my grandson as expected. It would be nice if they had an adjustable waist. In a month or two I'll have a better idea of how the hold up.,Too soon to tell.,4.0,B0002UD48S
"I ordered these shorts for my son; they are perfect uniform shorts.
They are made very well; strong and sturdy. I've washed a few times and no fading.

I would highly recommend these shorts to my friends and family.",Great Uniform Shorts,5.0,B0002UD48S
Excellent Fit!,Great for the price!,5.0,B0002UD48S
