asin,title,summary
B00005NBFI,Dreamwave Little Boys' Spiderman Trunks (Toddler/Kid) - Blue,"Blue boys' swim trunks made of 100% Polyester with full elastic waist, mesh liner, UPF 50+ sun protection. Cold wash inside out with like colors, non-chlorine bleach when needed, iron low on reverse side."
B0000CC55L,Alpha Industries Boys' Little MA-1 Bomber Jacket with Patches,"Kids' clown masks-1 flight jacket with nylon shell, polyester lining, zip closure, eight patches, orange lining, and warmth for temperatures above 25 degrees Fahrenheit."
B0001XWPUE,Roper Boys' Western Suede Vest - 0209405000513Br,Classic western suede leather vest with silver-tone star snap closures and satin back. Formal wear. Imported.
B00020O34W,Charles River Apparel Youth Classic Solid Pullover,"Water-resistant, breathable nylon pullover with interior cotton flannel lining, zipper neck extension, elasticized cuffs, and open hem, folds into pouch pocket."
B0002T63YG,Hanes Toddler Boys A-shirts 3 Pack - Tb372,"Tagless, pure cotton T-shirts provide ultimate softness and comfort with a scratch-free wearing experience."
B0002UD48S,Dickies Boys' Pleated-Front Uniform Short,"Dickies pleated front shorts for boys offer durability, easy care, and fade resistance, featuring 65% Polyester and 35% Cotton, slanted pockets, hook-and-eye closure, and two back welt pockets. Ideal for school or play."
B00005NBFI,Dreamwave Little Boys' Spiderman Trunks (Toddler/Kid) - Blue,"Spiderman-themed boys' swim trunks with full elastic waist, mesh liner, UPF 50+ sun protection, and easy-care instructions."
B0000CC55L,Alpha Industries Boys' Little MA-1 Bomber Jacket with Patches,"Warm and durable toddler/kids clown masks-1 jacket with a 100% nylon outer shell and polyester interlining, featuring four pockets, knit collar, cuffs, and waistband for warmth. Includes eight military-inspired patches and an emergency orange lining. Designed for use in temperatures above 25 degrees Fahrenheit."
B0001XWPUE,Roper Boys' Western Suede Vest - 0209405000513Br,"Genuine suede leather western vest with silver-tone snap closures and satin back, suitable for formal events."
B00020O34W,Charles River Apparel Youth Classic Solid Pullover,"Youth classic solid pullover made from water and wind-resistant nylon with a soft flannel lining. It features an extended zipper, elasticized cuffs, and an open hem. It's machine washable and packs into its own pocket for easy storage."
B0002T63YG,Hanes Toddler Boys A-shirts 3 Pack - Tb372,"100% pure cotton, tagless T-shirts for natural softness and comfort."
B0002UD48S,Dickies Boys' Pleated-Front Uniform Short,"Dickies boys' pleated front shorts offer easy care, stain resistance, and durability. With 7.3/4 ounce twill, these shorts feature slanted side pockets, hook-and-eye closure, and two back welt pockets. Made from 65% polyester and 35% cotton, they can be machine washed."
B00069AGUE,Marmot Boys' Rail Jacket (Little Big Kids),"Marmot Rail Jacket for kids features:
- Waterproof MemBrain fabric
- Breathable with 700 fill power down + Down Defender
- Removable hood, built-in powder skirt, and brushed collar/cuffs
- Multiple pockets for storage"
B0007D7E04,S2 Activewear Big Boys' White Navy Badger 3/4 Sleeve Baseball T-Shirt,Customized white and navy 100% cotton baseball t-shirt with team logo for kids.
B0008JF9WW,Wrangler Boys' Cowboy Cut Relaxed Fit Jean,"Durable 100% cotton jeans for boys, designed like official ProRodeo Competition jeans with a relaxed fit, heavyweight denim, and five-pocket styling for comfort and durability."
B0008JFA9O,Wrangler Little Boys' Original ProRodeo Jeans,"Iconic Wrangler Cowboy Cut jeans, designed for rodeo athletes and working cowboys, feature heavyweight denim, boot-fit cut, and rivets for durability. Endorsed by the Professional Rodeo Cowboys Association."
B0008JFBES,Wrangler Boys' 20X Relaxed Fit Jeans,"Relaxed fit jeans with adjustable waist, tapered leg, and five-pocket styling. Heavyweight denim with stone wash finish for softness."
B0009DQOHQ,"Wrangler Big Boys' Original ProRodeo Jean, Prewashed Indigo","Iconic Western-style jeans designed for cowboys with heavyweight denim, anti-twist weave, pocket rivets, boot-fitting cut, and higher back pockets. Endorsed by the Professional Rodeo Cowboys Association."
B0009DOHDO,"Wrangler Big Boys' Original ProRodeo Jean, Stonebleach","Boys' Wrangler Cowboy Cut jeans, endorsed by Professional Rodeo Cowboys Association, feature heavyweight denim, broken twill for ride comfort, rivets on pockets, boot-fitting cut, strong outseams, and higher back pockets."
B0009G68BA,Fruit of the Loom Unisex-child Cotton T-Shirt,"100% cotton preshrunk jersey t-shirt with exceptional printing clarity, featuring shoulder-to-shoulder tape, double-needle stitching, and various color options."
B0009G85IO,Fruit of the Loom Unisex-child Cotton T-Shirt,"100% cotton preshrunk jersey tee with double-needle coverstitched front neck, shoulder-to-shoulder tape, and high-density fabric for exceptional printing clarity."
B0009GB5RC,Port & Company Boys' Essential T Shirt,"Best-selling, 6.1-ounce cotton t-shirt with rib knit collar, shoulder taping, and Coverseamed neck; heavy-duty double-needle sleeves and hem."
B0009GBAUY,Jerzees Youth 50/50 Jersey Polo 437Y,"50% cotton, 50% polyester button-down shirt with stain-resistant treatment, welt-knit collar, and double-stitched hem. Imported."
B0009GGUQ8,Badger Youth Mesh/Tricot 6-Inch Shorts 2207,"Athletic-cut polyester shorts with tricot liner, elastic waistband, and drawcord."
B0009JRDYS,Jerzees 29BL Youth 5.6 oz 50/50 Long-Sleeve T-Shirt,"50/50 cotton-poly unisex tee with double-needle coverstitched front neck, shoulder-to-shoulder tape, set-in sleeves, rib cuffs, and seamless body. Oxford version is 53% polyester, 47% cotton."
B0009VI3PY,Jerzees 993BR NuBlend Youth Full-Zip Hooded Sweatshirt,"50/50 cotton/polyester NuBlend pre-shrunk fleece jacket with pill-resistance, no drawcord single-ply hood, aluminum zipper, split pouch pocket, rib cuffs/waistband, double-stitched neck/armholes/waistband, and concealed cuff seams."
B000A7ZQRA,Dickies Boys' Pleated-Front Uniform Short,"Durable and low-maintenance Dickies boys' pleated shorts (65% Polyester, 35% Cotton) are ideal for everyday wear. Features slanted side pockets, hook-and-eye closure, and two back welt pockets."
B000AUXCP0,Marmot Boy's Stockholm Jacket,"Durable nylon shell with water-repellent finish. 700-fill goose down insulation with quilted construction. Removable hood, stand collar with brushed lining, full-zip front with wind flap. Zip bicep pocket, interior hook-and-loop pocket, two zip hand warmer pockets. Microfleece cuffs, adjustable drawcord hem."
B000B7MGJU,Columbia Little Boys' Steens Mountain Full-Zip Fleece Jacket,"Rugged, warm, and durable 360g mtr fleece jacket featuring radial sleeves for freedom of movement, fleece-lined pockets, and a full-zip front with a stand-up collar."
B000B7QW6I,Columbia Boys' Steens Mountain Fleece Jacket,"Columbia Sportswear's Steens Mountain Sweater for boys provides warmth, durability, and comfort with its 360 g mtr fleece, fleece-lined pockets, and full-zip front with stand-up collar."
B000BB2OK2,Carhartt Little Boys' Washed Canvas Bib Shortall,"Adjustable cotton overalls with bib pocket, back dungaree pockets (including multi-tool pocket), embroidered ""c"" and woven brand label on bib pocket, and logo snaps."
B000BD135M,Kidorable Dinosaur Raincoat,"Boys' dinosaur-themed raincoat with a lined hood that features dinosaur ""spikes"" and button-up design with pockets; matching rain boots available that feature dinosaur scales, teeth, and eyes, with a waterproof upper and sturdy rubber sole."
B000BRTPPS,Port & Company 7.8 oz Youth Sweatshirt (PC90Y),"7.8-oz. 50/50 poly-cotton fleece unisex child sweatshirt with cover-seamed neck, armholes, and waistband. Spandex is present in the collar, cuffs, and waistband."
B000BTFA7S,Gildan Youth Ultra Cotton T-Shirt,"6.1-ounce unisex t-shirt, made from 100% preshrunk cotton (all colors except safety neon colors, which are a 50/50 cotton/poly blend). Features a seamless double-needle 3/4"" collar, double-needle sleeves and hem, and taped neck and shoulders."
B000BWSK5Y,Hanes 5370 - Youth ComfortBlend EcoSmart T-Shirt,"Waterproof, seam-sealed polyester canvas shell with nylon lining, Tuff Tech abrasion resistance, breathable, media player pocket, adjustable hood, storm-proof pockets, snap/hook-and-loop closure, and adjustable cuffs. Compatible with Traverse 5371. Made with up to 5% recycled plastic bottles."
B000BZ7A3E,Dream Baby - Little Boys 2 Piece Cotton Pajama Set,Toddler boys' 2-piece pajama set featuring a sporty puppies print and made from 100% cotton.
B000C1LKP6,Hanes Boys 5.2 oz Playwear T-Shirt (T120),"Durable and comfortable unisex cotton jersey Hanes T-shirt with kid-friendly colors and reinforced construction, including a Lay Flat collar and two-needle topstitch trim."
B000C7OWZA,Life is good Boy's Crusher J and R Snowman Long Sleeve Tee,"Optimistic apparel company Life is good donates 10% of profits to charity and offers a 100% cotton, durable, garment-washed long sleeve tee."
B000CD4RWW,Hanes Boys' 3-Pack Comfort Flex Dyed Boxer Brief,"Ultra-comfortable Hanes Ultimate cotton boxers with a premium waistband, no-ride-up leg bands, and a convenient 3-pack for all-day comfort."
B000CSO4EI,TYR Sport Boys' Solid Racer Swim Suit,Boys' swim suit made from 80% nylon and 20% Lycra material for comfortable swimming.
B000EDD2R6,Kids Headquarters Little Boys' CK Biker 3 Piece Set,"3-piece toddler boy's set including a black hoodie, gray long-sleeve top, and denim blue pants; made of 60% cotton, 40% polyester; machine washable with an open front zipper and long sleeves."
B000EQBWPW,Jerzees 993BR NuBlend Youth Full-Zip Hooded Sweatshirt,"Pre-shrunk 50/50 cotton/poly fleece hoodie with pill-resistant NuBlend, single-ply hood, aluminum zipper, pouch pocket, double-needle stitching, 1x1 rib cuffs and waistband, and quarter-turned design for a smooth printing canvas."
B000EUD9OU,Smartwool Kids' Hike Light Crew,"Kids' merino wool hiking socks with anti-stink properties, flat toe seam, arch brace, and clear sizing. Knitted in the USA with 58% Merino Wool, 39% Nylon, and 3% Elastane"
B000EUJOOO,Smartwool Kids' Hike Light Crew,"Kids' Hike Light Crew socks, designed in the USA with anti-stink Merino wool for comfort, a flat toe seam, and elasticized arch brace, ensuring a perfect fit for kids' shoes."
B000F4VL2W,Hanes Youth EcoSmart Pullover Hood,"Hanes, a leading apparel manufacturer, offers a wide range of comfortable, durable, and stylish clothing, including intimate apparel, underwear, socks, and activewear. Known for their ethical business practices and Hanes for Good corporate responsibility program, Hanes prioritizes workplace practices, community improvement, and environmental consciousness."
B000FS67ZE,"Adidas 2-Piece Athletic Shirt & Shorts Set for Boys (3T, Silver Gray)","Adidas kids' 2-piece set includes a short sleeve top with Adidas logo and a pull-on short with elastic waistband. Made of 100% polyester, the set is machine washable and imported."
B000G1NW76,Life is good Boy's Crusher I'm with the Band Long Sleeve Tee,"Life is Good's long-sleeve tee, made from 100% cotton, is designed to be durable and soft. It features a vintage vibe and comes garment washed for added softness. The company donates 10% of its profits to its nonprofit, Life is Good Playmaker, which helps children in need overcome poverty, violence, and illness."
B000G7VIXA,Stride Rite Unisex 3-Pack Comfort Seam No Show Socks,"Stride Rite 3-pack Cushioned Low-Cut Socks in white, with comfort seam, handlinked toe, and cushioned footbed for support, made of cotton blend. Available in sizes for shoe sizes 3 to 8."
B000G82680,Duofold Boys' Big Mid Weight Varitherm Thermal Pant,"Varitherm thermal base layer wicks moisture, traps heat, and prevents irritation with flat-lock seams and a moisture-wicking elastic waistband."
B000H9BWNS,Rawik 7507A Kids Cirque Bib,"Timeless snow overall with adjustable shoulder straps, internal boot gaiter, and reinforced leg scuff guards."
B000I7P1ZO,Levi's Boys' 510 Skinny Fit Jeans,"Levi's Boys' 510 Skinny Fit Jeans: 100% cotton, slim-fit, five-pocket styling, zip fly, arcuate back pocket stitching."
B000IG9NRW,Hanes Boys' 3-Pack ComfortSoft Dyed Boxer Brief,"Five-pack of boy's boxer briefs featuring a comfort-soft waistband, tagless design, and pre-shrunk construction for a perfect fit."
B000IGC7OI,Hanes Toddler Fashion Boxer Briefs (3-Pack),"Comfortable boxer briefs for boys, featuring a tag-free waistband, boxer support, brief freedom, and traditional fly front."
B000J68VME,Western Chief Toddler/Little Kid F.D.U.S.A. Raincoat,"Western Chief Kids' F.D.U.S.A raincoats feature a waterproof polyurethane outer shell and absorbent polyester-cotton lining for all-day comfort in the rain. With front snaps for a secure fit, pockets for storage, and easy cleaning, these coats pair with matching rain boots and umbrellas for a complete colorful and fun wet-weather ensemble."
B000J6AMLW,Western Chief Boy's Frog Raincoat,"Classic hooded raincoat with snap closure, made of waterproof 65% polyester/35% cotton with a soft, moisture-absorbent lining."
B000JQGCT8,CLASSROOM Boys' Uniform Pull-On Pant,"Unisex twill pull-on pant with full elastic waist, side pockets, double knee, soil release, and easy care cotton/polyester blend."
B000KIHB2M,Wigwam F2323 Kids' Merino Kid's Comfort Hiker Sock,"Luxurious hiking socks crafted from 57% Merino wool for comfort, odor resistance, and durability. Made in the USA with medium weight, no-itch, no-shrink, and full cushion construction."
B000KSOIPA,Claiborne Big Boys' Pleated Dress Pant,Charcoal boys' dress pants in a poly/wool blend featuring a double-pleated front and cuffed bottom. Zip front closure. Dry clean only.
B000KYIMDS,"Go Diego Go! Toddler Boy's ""Skating Fun"" 3 Pack Briefs","3-pack of white cotton briefs featuring ""Go Diego Go!"" designs, including Diego, the jungle, and Baby Jaguar."
B000KYOL4C,"Dream Apparel - Little Boys Long Sleeved Coat Style Pajamas, Blue 8163-3T","Toddler boys' two-piece pajama set with button-down front coat and pull-on pants in camouflage print, made of 100% polyester and flame-resistant."
B000KYOLAG,Dream Apparel - Little Boys Long Sleeved Pajamas,"Long-sleeved coat-style pajamas for toddler boys with a button-down front, pull-on pants featuring a snowboarding print, flame resistance, made from 100% polyester, and machine washable."
B000LFMV7E,Nautica Boys' Little Rashguard Set with UPF 50+ Sun Protection,"Nautica children's swimwear: comfortable, stylish, and UPF 50+ protected for sun safety."
B000LGK90Y,Under Armour Boys' Little Boys' Eliminator Short,"Smooth, fast-drying Under Armour short with moisture-wicking technology for superior performance."
B000LQVP3Y,adidas Big Boys' Youth Squadra Ii Jersey,Climalite jersey with adidas brandmark. 100% Polyester Piqu. Dimensions: 11 x 9 x 1 inches. Weight: 1 pound.
B000LZC4VM,E-Land - Little Boys Short Sleeved Polo Shirt,"Boys' short-sleeved lime green polo shirt with 2-button closure and plaid design, made from 100% cotton."
B000LZFQMG,E-Land - Little Boys Knit Shorts,"Red boys' knit shorts with a full elastic drawstring waist, side seam pockets, a single back pocket, and 100% cotton construction."
B000M1RRVW,Boys Thomas The Tank Style # B3253,100% cotton 3-pack boys briefs featuring Thomas the Tank.
B000M5IUCS,Jerzees Youth Heavyweight BlendT-Shirt - Light Blue - L,"50/50 Cotton-Poly T-shirt with shoulder-to-shoulder tape, coverstitched neck, and hemmed sleeves and bottom."
B000M5N474,Jerzees Big Boys NuBlend Seamless Ribbed Crewneck Sweatshirt,"Preshrunk 50% cotton/50% polyester NuBlend pill-resistant fleece with high stitch density, seamless body, set-in sleeves, and double-needle cover-stitched collar, armholes, and waistband."
B000N4QVVA,Konfidence Shorty Children's Wetsuit,"Children's wetsuits engineered for warmth and UV protection, featuring a bright design for visibility and 3 mm neoprene for comfort and protection in water."
B000N4W1UU,Konfidence Shorty Children's Wetsuit,"Engineered Shorty Wetsuits for young surfers and body boarders, featuring:
- 3 mm neoprene for warmth and comfort
- 100% UV protection
- Shoulder and upper arm protection
- Bright designs for visibility"
B000NE4JT6,Smartwool Kids' Hike Light Crew,"Kids' Hike Light Crew socks, made with anti-stink Merino wool for comfort, flat toe seam, sizing indicated, elasticized arch brace. Designed for kids' shoes without bulk. Machine washable."
B000NE8HGM,Smartwool Kids' Hike Light Crew,"Merino wool kids' hiking socks with anti-stink properties, flat toe seam, and arch brace, designed for a perfect fit in kids' shoes. Knitted in the USA."
