title,features,description,asin,imageurl,imageurlhighres,category
Converse Chuck Taylor All Star Core Hi (Little Kid),"100% Canvas
Imported
Rubber sole
Not Assigned. Durable Product
Product Dimensions:
                    
13 x 5 x 4 inches
Shipping Weight:
                    
1.44 pounds (View shipping rates and policies)",Converse Toddler/Youth Chuck Taylor All Star Hi Top - Navy Converse run 1/2 size large. It is recommended to order down accordingly.,B00008ZD31,"['https://images-na.ssl-images-amazon.com/images/I/51etL9QTeKL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51m5GGDxZQL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fqlCVbvbL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ujnvmqwgL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41EN4mX7rKL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-t5lH6mvL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/417FsUJALqL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51AKqK2MYiL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41WHv49rI9L._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51BSzCqmqUL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510A3%2BNW9WL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41r-6fxHseL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41r-6fxHseL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41KVuf7vzeL._SS47_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/51etL9QTeKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51m5GGDxZQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fqlCVbvbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ujnvmqwgL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41EN4mX7rKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-t5lH6mvL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/417FsUJALqL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51AKqK2MYiL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41WHv49rI9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51BSzCqmqUL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510A3%2BNW9WL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41r-6fxHseL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41r-6fxHseL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41KVuf7vzeL.jpg']",Boys Shoes
K-Swiss 501 Classic Tennis Shoe (Little Kid),"100% Leather
Synthetic sole
Full-grain leather upper
Signature five-stripe detailing
Three-piece toe
D-ring lacing system
Molded rubber outsole
Product Dimensions:
                    
8 x 6 x 3 inches
Shipping Weight:
                    
1.25 pounds (View shipping rates and policies)","Even your little one can kick it old-school in the K-Swiss Classic Original infants' shoe. It's crafted using comfortable full-grain leather, and features the signature five-stripe detailing for retro style. The molded rubber outsole offers dependable traction and durability.
K-Swiss is a heritage American tennis brand founded by two Swiss brothers who moved to California to pursue their dream of starting a footwear company. After 50 years of representing the best of on court performance and off court style, K-Swiss stays true to their founders and is dedicated to inspiring and outfitting the next generation of entrepreneurs.",B0000A504C,"['https://images-na.ssl-images-amazon.com/images/I/41EC62D3MHL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bXY98t7IL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41eM2h0JRYL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41pnH-HAhuL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LtxND%2BvEL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41mIOjwhsVL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41oKHERi%2BoL._SS47_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41EC62D3MHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bXY98t7IL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41eM2h0JRYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41pnH-HAhuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LtxND%2BvEL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41mIOjwhsVL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41oKHERi%2BoL.jpg']",Boys Shoes
Merrell Panther Athletic Water Sandal (Toddler/Little Kid/Big Kid),"100% Leather
Imported
Rubber sole
Soft EVA molded footbed for all day cushioning and comfort
Leather upper with quick drying lining
Flexible nonmarking outsole with m-select grip for superior traction
Gore and adjustable alternative closure provide a precise and secure fit with easy on/off
M-select fresh naturally prevents odor before it starts for fresh smelling feet
Package Dimensions:
                    
12 x 8 x 4 inches
Shipping Weight:
                    
2 pounds (View shipping rates and policies)","The Merrell Panther Athletic Water Sandal is an adjustable, 2-strap sandal, perfect for any summer adventure. M-Select Grip outsole for durable traction, M-Select Fresh lining to keep stinky feet at bay, and a fast, drying leather upper for all day comfort!",B0002MB3IE,"['https://images-na.ssl-images-amazon.com/images/I/51XMrWF5PsL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51FBJhmZGdL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41NkNvmuhbL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fpKiQNTcL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41UqtlHNAiL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41oJHnf7rJL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51gLUeV87HL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51HN80zXuFL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510QcsoWp9L._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41oDs7%2BFEYL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41JuZG39qRL._SS47_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/51XMrWF5PsL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51FBJhmZGdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41NkNvmuhbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fpKiQNTcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41UqtlHNAiL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41oJHnf7rJL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51gLUeV87HL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51HN80zXuFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510QcsoWp9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41oDs7%2BFEYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41JuZG39qRL.jpg']",Boys Shoes
Merrell Chameleon Low A/C Hiking Boot (Little Kid/Big Kid),"100% Leather and textile
Imported
Synthetic sole
M select dry, impermeable membrane, seals out water and lets moisture escape so you stay dry when you are on the move
M select fresh naturally prevents odor before it starts for fresh smelling feet
Hook and loop strap provides a precise and secure fit
Package Dimensions:
                    
10.6 x 7.9 x 4.3 inches
Shipping Weight:
                    
1.8 pounds","Don't blend in with the crowd! Let the little one make it his own with the Chameleon Low A/C Waterproof hikers from Merrell® Kids!
Suede and mesh lightweight upper.
Hook-and-loop strap with bungee laces for a secure fit.
Thinly padded tongue and collar for cozy comfort.
Mesh lining is treated with M-Select FRESH odor control. 
EVA dual density footbed with molded nylon arch shank provides comfort and support.
M-Select GRIP tune each outsole with durable traction that grips when and where you need it most. 
Imported.
Measurements:

     Weight: 13 oz
    

Product measurements were taken using size 4.5 Big Kid, width M. Please note that measurements may vary by size.",B0002MB366,"['https://images-na.ssl-images-amazon.com/images/I/51Ocy1yNRYL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51isIhMb3jL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41rQobmCqXL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/412mJqWHuVL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41kFaBZFD7L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/519-nHYKI5L._US40_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/51Ocy1yNRYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51isIhMb3jL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41rQobmCqXL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/412mJqWHuVL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41kFaBZFD7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/519-nHYKI5L.jpg']",Boys Shoes
NIKE Grade School Roshe One 1 SE Anthracite/Gym Red 859605-003 Shoe,"Comes In Original Box
Product Dimensions:
                    
13 x 8 x 4.5 inches
Shipping Weight:
                    
1.28 pounds","The original Roshe Run was introduced to the public back in 2012 as an affordable, minimalist entry in the runner category. The selling point for many was that the shoe?s EVA sole did not require the use of a mold, allowing the silhouette to hit a modest $70 price point.",B0002MKHT0,"['https://images-na.ssl-images-amazon.com/images/I/41gxLhB4HeL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51xpndRFYML._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41p15iPp0ML._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/512oiEJGrfL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31mnhzUsgsL._US40_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41gxLhB4HeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51xpndRFYML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41p15iPp0ML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/512oiEJGrfL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31mnhzUsgsL.jpg']",Boys Shoes
Capezio Boy's 442 Tapster Tap Shoe,"100% Synthetic
Synthetic sole
See chart to verify correct sizing
Package Dimensions:
                    
12 x 8 x 4 inches
Shipping Weight:
                    
2 pounds (View shipping rates and policies)","Capezio's Tapster is a great beginner's shoe. The lace-up design offers a custom fit and has a foam footbed for keeping them light on their feet. A rubber patch on the sole offers a non-slip grip.
Salvatore Capezio was born in 1871 in Muro Lucano, Italy. Uninterested in following in his father's footsteps as a construction engineer, he became an artist of his own right, a cobbler. In 1887, at the age of 17, he opened his shop on Broadway and 39th Street, diagonally across from the old Metropolitan Opera House in New York City. Soon, the shop became a meeting place for dancers who would stop by to discuss their needs and to get a pair of his shoes. As Capezio's popularity grew, dancers from around the world made it a point to visit him and purchase his shoes. The innovation of the products that Salvatore Capezio created and the camaraderie he shared with the dancers molded the direction that his company would follow. In this image, the Capezio brand was established to promote and recognize ongoing achievements and participation in dance. Capezio products remain in the forefront in quality and in technological advances with innovations like the split-sole, the stretch-insert, the Dansneaker and the Tapsneaker. Capezio believes that their success is dependent upon the individual commitment of each customer to continually set new standards of creativity and performance, while preserving a reputation for dependability and distinction. Capezio pledges their support and dedication to the advancement of dance, theater and recreation in communities worldwide.",B0002UUCYM,"['https://images-na.ssl-images-amazon.com/images/I/41v10smHHpL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41t-7IcEiYL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ikRjIQKuL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/318EVbHXMnL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31y6sQzyPzL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Ftlpp6TTL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41BBC0grH-L._SS47_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41v10smHHpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41t-7IcEiYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ikRjIQKuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/318EVbHXMnL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31y6sQzyPzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Ftlpp6TTL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41BBC0grH-L.jpg']",Boys Shoes
Converse Chuck Taylor All Star Core Hi (Little Kid),"100% Canvas
Imported
Rubber sole
Not Assigned. Durable Product
Product Dimensions:
                    
13 x 5 x 4 inches
Shipping Weight:
                    
1.44 pounds (View shipping rates and policies)",Converse Toddler/Youth Chuck Taylor All Star Hi Top - Navy Converse run 1/2 size large. It is recommended to order down accordingly.,B00008ZD31,"['https://images-na.ssl-images-amazon.com/images/I/51etL9QTeKL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51m5GGDxZQL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fqlCVbvbL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ujnvmqwgL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41EN4mX7rKL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-t5lH6mvL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/417FsUJALqL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51AKqK2MYiL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41WHv49rI9L._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51BSzCqmqUL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510A3%2BNW9WL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41r-6fxHseL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41r-6fxHseL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41KVuf7vzeL._SS47_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/51etL9QTeKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51m5GGDxZQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fqlCVbvbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ujnvmqwgL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41EN4mX7rKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-t5lH6mvL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/417FsUJALqL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51AKqK2MYiL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41WHv49rI9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51BSzCqmqUL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510A3%2BNW9WL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41r-6fxHseL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41r-6fxHseL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41KVuf7vzeL.jpg']",Boys Shoes
K-Swiss 501 Classic Tennis Shoe (Little Kid),"100% Leather
Synthetic sole
Full-grain leather upper
Signature five-stripe detailing
Three-piece toe
D-ring lacing system
Molded rubber outsole
Product Dimensions:
                    
8 x 6 x 3 inches
Shipping Weight:
                    
1.25 pounds (View shipping rates and policies)","Even your little one can kick it old-school in the K-Swiss Classic Original infants' shoe. It's crafted using comfortable full-grain leather, and features the signature five-stripe detailing for retro style. The molded rubber outsole offers dependable traction and durability.
K-Swiss is a heritage American tennis brand founded by two Swiss brothers who moved to California to pursue their dream of starting a footwear company. After 50 years of representing the best of on court performance and off court style, K-Swiss stays true to their founders and is dedicated to inspiring and outfitting the next generation of entrepreneurs.",B0000A504C,"['https://images-na.ssl-images-amazon.com/images/I/41EC62D3MHL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bXY98t7IL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41eM2h0JRYL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41pnH-HAhuL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LtxND%2BvEL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41mIOjwhsVL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41oKHERi%2BoL._SS47_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41EC62D3MHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bXY98t7IL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41eM2h0JRYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41pnH-HAhuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LtxND%2BvEL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41mIOjwhsVL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41oKHERi%2BoL.jpg']",Boys Shoes
Merrell Panther Athletic Water Sandal (Toddler/Little Kid/Big Kid),"100% Leather
Imported
Rubber sole
Soft EVA molded footbed for all day cushioning and comfort
Leather upper with quick drying lining
Flexible nonmarking outsole with m-select grip for superior traction
Gore and adjustable alternative closure provide a precise and secure fit with easy on/off
M-select fresh naturally prevents odor before it starts for fresh smelling feet
Package Dimensions:
                    
12 x 8 x 4 inches
Shipping Weight:
                    
2 pounds (View shipping rates and policies)","The Merrell Panther Athletic Water Sandal is an adjustable, 2-strap sandal, perfect for any summer adventure. M-Select Grip outsole for durable traction, M-Select Fresh lining to keep stinky feet at bay, and a fast, drying leather upper for all day comfort!",B0002MB3IE,"['https://images-na.ssl-images-amazon.com/images/I/51XMrWF5PsL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51FBJhmZGdL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41NkNvmuhbL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fpKiQNTcL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41UqtlHNAiL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41oJHnf7rJL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51gLUeV87HL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51HN80zXuFL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510QcsoWp9L._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41oDs7%2BFEYL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41JuZG39qRL._SS47_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/51XMrWF5PsL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51FBJhmZGdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41NkNvmuhbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fpKiQNTcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41UqtlHNAiL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41oJHnf7rJL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51gLUeV87HL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51HN80zXuFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510QcsoWp9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41oDs7%2BFEYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41JuZG39qRL.jpg']",Boys Shoes
Merrell Chameleon Low A/C Hiking Boot (Little Kid/Big Kid),"100% Leather and textile
Imported
Synthetic sole
M select dry, impermeable membrane, seals out water and lets moisture escape so you stay dry when you are on the move
M select fresh naturally prevents odor before it starts for fresh smelling feet
Hook and loop strap provides a precise and secure fit
Package Dimensions:
                    
10.6 x 7.9 x 4.3 inches
Shipping Weight:
                    
1.8 pounds","Don't blend in with the crowd! Let the little one make it his own with the Chameleon Low A/C Waterproof hikers from Merrell® Kids!
Suede and mesh lightweight upper.
Hook-and-loop strap with bungee laces for a secure fit.
Thinly padded tongue and collar for cozy comfort.
Mesh lining is treated with M-Select FRESH odor control. 
EVA dual density footbed with molded nylon arch shank provides comfort and support.
M-Select GRIP tune each outsole with durable traction that grips when and where you need it most. 
Imported.
Measurements:

     Weight: 13 oz
    

Product measurements were taken using size 4.5 Big Kid, width M. Please note that measurements may vary by size.",B0002MB366,"['https://images-na.ssl-images-amazon.com/images/I/51Ocy1yNRYL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51isIhMb3jL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41rQobmCqXL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/412mJqWHuVL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41kFaBZFD7L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/519-nHYKI5L._US40_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/51Ocy1yNRYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51isIhMb3jL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41rQobmCqXL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/412mJqWHuVL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41kFaBZFD7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/519-nHYKI5L.jpg']",Boys Shoes
