reviewText,summary,rating,asin
"Super cute. I purchased  these in the pink glow color. It isn't neon pink & it isn't the pink you see in the photo. Its a lavender pink- which is still cute. I have another pair of converse in a 7 and they're too long in the toe. So I ordered a 6.5 and they seem okay. Albeit  I don't think I could have gone down a full-size... I don't know why these are called *seaonal, but the canvas is pretty rough & stuff- while its soft& pliable on my old pair. After I wore them with socks they began to soften up, and these actually have an arch in them. I will wear these a lot, but you will need to break them in a bit.",You probably want to Order these a half size smaller,4.0,B00008ZD31
Very satisfied,Five Stars,5.0,B00008ZD31
"Great fit for my teen daughter. She loves them, they fit her perfectly",Five Stars,5.0,B00008ZD31
"Chucks always run a bit large, so I always order a 1/2 size down. So, if these were my first pair (Jeff Bezos probably wasn't even out of high school yet then...), I'd say they run ""somewhat large"" instead of ""fit as expected"".  :)","Chucks always run a bit large, so I always ...",5.0,B00008ZD31
"Chucks always run a bit large, so I always order a 1/2 size down. So, if these were my first pair (Jeff Bezos probably wasn't even out of high school yet then...), I'd say they run ""somewhat large"" instead of ""fit as expected"".  :)","Chucks always run a bit large, so I always ...",5.0,B00008ZD31
Fit perfectly. Like the color.,Like the color,5.0,B00008ZD31
They were exactly as i was Expected. Timely shipping and reasonably priced.,Five Stars,5.0,B00008ZD31
Shoes seem are quite a bit larger than my usual athletic shoes - order at least a half-dozen smaller.,These run large,2.0,B00008ZD31
"I am a W size 11.  These arrived and were WAY TOO BIG.  It was really weird.  Being a size 11, I already where boat-sized shoes, but these were like a cruise ship! :)",but these were like a cruise ship,2.0,B00008ZD31
The shoes are great and comfortable BUT I received a defective pair. The left rubber toe is bigger than the right. Not nice,Yes and no,3.0,B00008ZD31
"It took me 4 tries to find the size that fits me.  I usually wear a 10.5 in mens.  Finally found that the 9.5 in men's fits good.  A little roomy, but they are comfy.",Order a full size smaller.,5.0,B00008ZD31
Is this a joke? To spent $50 on a fake converse? Very disappointed. Bought this for a friend as a gift. This was the worst gift ever.,Very disappointed. Bought this for a friend as a gift,1.0,B00008ZD31
"The item pictured is an off white canvas. Although the description matches the item not the picutre. Shoes are unique and fit well, seems to be authentic converse as well. Happy with them, just not as pictured.",Item not as pictured,4.0,B00008ZD31
"I love the classic look of Chuck Taylors, but wow, these are legitimately the most uncomfortable shoes I've ever worn. I wore them recently to my work where I'm on my feet for 10 hours and am moving around a lot and lifting stuff, climbing up and down ladders, and by the end of the night I was limping and my feet were throbbing. I have another pair of Chuck Taylors, mid tops, and those have some padding in the sole and I can wear them all night and feel fine. I guess I'm going to have to get some inserts for these if I want to wear them longer than an hour.",I love the classic look of Chuck Taylors,3.0,B00008ZD31
Shoe came in timely manner and look great as expected. Exchanging for different size.,Four Stars,4.0,B00008ZD31
Perfect,Five Stars,5.0,B00008ZD31
A bit wider than needed. The main gripe is after a short while these shoes start squeaking like crazy. Will not buy again.,The main gripe is after a short while these shoes start squeaking like crazy. Will not buy again,3.0,B00008ZD31
"These are good, but just might be knock offs. Since Im not sure, they did something right. Not bad for $30",Real? Still work well,4.0,B00008ZD31
I have wanted some of these shoes for years and I finally got them and I love them. They fit amazingly and they look great!,I love them.,5.0,B00008ZD31
"Go to spot to buy your Chucks
Love them",Five Stars,5.0,B00008ZD31
"nice shoes, like the color",Four Stars,4.0,B00008ZD31
"I ordered, what I assumed was, an 8.5 mens. The shoe was so big once it arrived. Amazon was great on refunding my money!",Fit big for mens sizes,2.0,B00008ZD31
"I received what is obviously a pair of shoes straight from the display shelf. These shoes are dirty from all the customer handling, have scuff marks all around the side white rubber area and the laces are a mess. In addition, the rubber over the toe area is yellow.",These shoes are dirty from all the customer handling,1.0,B00008ZD31
is not at all the right fit. too big by 1/4 inch. I had to return them so I do not know why they are too big and I compared the size to my other pairs,is not at all the right fit. too big ...,1.0,B00008ZD31
A classic. Arrived quickly.,A classic shoe,5.0,B00008ZD31
Love them,Great shoes,5.0,B00008ZD31
"These shoes don't fit my foot at all, they are way to big and I will never in life buy converse from you people again!!!!!","These shoes don't fit my foot at all, they ...",1.0,B00008ZD31
"Fit as expected. Bought for my wife a few months ago. I based the size off the other pairs of ""chucks"" she owns. They were exactly the same. Color almost exactly as pictured. Shipping and all that jazz was fine. - If I buy these Converse through Amazon again, I'll use this seller",Fit is perfect.,5.0,B00008ZD31
They are decent shoes.  Material quality is good but the color fades very quickly.  Not as black in person as shown.,Color fades quickly,3.0,B00008ZD31
The shoe labeled as black with a picture of a solid black shoe will show up as the Black and White Version. Also these sizes are completely whack. How is a shoe and 8.5 in men's and a 10.5 in women's? Having to return. Whole thing seems sketchy.,The shoe labeled as black with a picture of a ...,1.0,B00008ZD31
"Converse will tell you that the shoe runs about a 1/2 size larger than what you normally wear and that is true with these sneakers. Disappointed though that these aren't the original ""vintage"" Chucks that I wore in the late 60s and early 70's...for the original Chucks, you have to go to Nike/Converse's website and they'll run you $80 retail. Limited colors but you can definitely tell the difference in material and craftsmanship when you compare this model of the Converse All Star to the 70's Vintage Chucks. I have 6 pairs of the vintage Chucks and they're incredibly comfortable and never go out of style.","This is the economy version of the All Star, not the original Chucks from the 70's",4.0,B00008ZD31
"Shoes fit a bit narrow in the toes, but may loosen.  Shoe were  old school style",Four Stars,4.0,B00008ZD31
Love,Love,5.0,B00008ZD31
"They are to large , I really need to go down a size",Four Stars,4.0,B00008ZD31
"Love this shoes! Classic, never disappoints!",Five Stars,5.0,B00008ZD31
Perfect ! My daughter wore these to prom. So cute !!,Perfect! My daughter wore these to prom,5.0,B00008ZD31
Black lining started to peel,Look good but peeled a little,4.0,B00008ZD31
"Real Classic Converse, a must have !
It fits too large, but I knew that before buying, I ordered a 5.5 size for my 6.5 regular size, and fits great !",Must have Converse,4.0,B00008ZD31
Fit great absolutely love them,Five Stars,5.0,B00008ZD31
They run big so i had to exchange them. No biggie. But i ordered the all black. Twice. I got the wrong color,They run big so i had to exchange them. ...,1.0,B00008ZD31
"The product purchased, delivered in an exceptional time! Thank you!!!","The product purchased, delivered in an exceptional time! Thank you!!!",5.0,B00008ZD31
Ordered a pair of off whites last week they were extremely too big. Sent them back ordered a smaller pair and recived a pair that fit but they were the wrong color. Done with this seller!!,Ordered twice NEITHER WERE CORRECT,1.0,B00008ZD31
