title,features,description,asin,imageurl,imageurlhighres,category
Timex Kids' T75201 Analog Sports Elastic Fabric Strap Watch,"Water resistant to 99 feet (30 M): withstands rain and splashes of water, but not showering or submersion
Product Dimensions:
                    
1.6 x 3.9 x 2.4 inches
Shipping Weight:
                    
2.4 ounces","This Timex Watch (but not any battery, crystal, band, or strap) is warranted to the owner for a period of ONE YEAR from the date of purchase against defects in manufacture by Timex Corporation. Timex will not repair defects relating to servicing not performed by Timex Corporation. This limited warranty applies to US Customers.
The Timex T75201 Youth watch is reliable, durable, and readable in the dark, thanks to the integrated Indiglo night-light, but it's also flat-out fun to wear. This quartz analog watch features an easily readable, full Arabic numeral display and smaller 5-minute notations on the outside of the dial. It also has small sports balls that rotate around the dial with the hands, and a comfortable elastic fabric strap (for better dirt and stain resistance) with basketballs, baseballs, and soccer balls against a blue base. This watch also offers water resistance to 30 meters (99 feet), durable black resin case, different colored hour and minute hands, and Timex's unique Kids Loss Protection Plan. It's recommended for children ages 6 and older.
The Indiglo night-light uniformly lights the surface of the watch dial using patented blue electroluminescent lighting technology. It uses less battery power than most other watch illumination systems, enabling your watch battery to last longer.
Timex understands that kids often lose things, even their most prized possessions, which is why this watch is covered by the Timex Kids Loss Protection Plan. If the watch is lost, Timex will replace it with the same style (or similar if your style is not available) at the price of $10 for up to one year from the original date of purchase, with no questions asked. Details are included in the printed instructions that come with the watch.",B00020J18A,"['https://images-na.ssl-images-amazon.com/images/I/31WhEWYfoCL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/31WhEWYfoCL.jpg'],Boys Watches
Timex T72881 Kids Analog Gecko Lizard Cloth Strap Blue and Green Watch,"Made in USA and Imported
Product Dimensions:
                    
1.6 x 3.9 x 2.4 inches
Shipping Weight:
                    
0.64 ounces","Quartz movement, indiglo night light, lime green color, frabric strap, 30 meters water resistance, 30mm.",B00021CLMM,"['https://images-na.ssl-images-amazon.com/images/I/21ADRexJ7TL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/21ADRexJ7TL.jpg'],Boys Watches
Timex Kids' T75201 Analog Sports Elastic Fabric Strap Watch,"Water resistant to 99 feet (30 M): withstands rain and splashes of water, but not showering or submersion
Product Dimensions:
                    
1.6 x 3.9 x 2.4 inches
Shipping Weight:
                    
2.4 ounces","This Timex Watch (but not any battery, crystal, band, or strap) is warranted to the owner for a period of ONE YEAR from the date of purchase against defects in manufacture by Timex Corporation. Timex will not repair defects relating to servicing not performed by Timex Corporation. This limited warranty applies to US Customers.
The Timex T75201 Youth watch is reliable, durable, and readable in the dark, thanks to the integrated Indiglo night-light, but it's also flat-out fun to wear. This quartz analog watch features an easily readable, full Arabic numeral display and smaller 5-minute notations on the outside of the dial. It also has small sports balls that rotate around the dial with the hands, and a comfortable elastic fabric strap (for better dirt and stain resistance) with basketballs, baseballs, and soccer balls against a blue base. This watch also offers water resistance to 30 meters (99 feet), durable black resin case, different colored hour and minute hands, and Timex's unique Kids Loss Protection Plan. It's recommended for children ages 6 and older.
The Indiglo night-light uniformly lights the surface of the watch dial using patented blue electroluminescent lighting technology. It uses less battery power than most other watch illumination systems, enabling your watch battery to last longer.
Timex understands that kids often lose things, even their most prized possessions, which is why this watch is covered by the Timex Kids Loss Protection Plan. If the watch is lost, Timex will replace it with the same style (or similar if your style is not available) at the price of $10 for up to one year from the original date of purchase, with no questions asked. Details are included in the printed instructions that come with the watch.",B00020J18A,"['https://images-na.ssl-images-amazon.com/images/I/31WhEWYfoCL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/31WhEWYfoCL.jpg'],Boys Watches
Timex T72881 Kids Analog Gecko Lizard Cloth Strap Blue and Green Watch,"Made in USA and Imported
Product Dimensions:
                    
1.6 x 3.9 x 2.4 inches
Shipping Weight:
                    
0.64 ounces","Quartz movement, indiglo night light, lime green color, frabric strap, 30 meters water resistance, 30mm.",B00021CLMM,"['https://images-na.ssl-images-amazon.com/images/I/21ADRexJ7TL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/21ADRexJ7TL.jpg'],Boys Watches
Ice Petal AmberWatch,"Children's Loud Alert Safety Watch
Protect your child from predators and other threats
Digital watch with full features
Hip, cute style and color
One year warranty","AmberWatch has created a children's digital watch that arms our children against child predators and and other threats. The AmberWatch was designed with a security system that draws attention to children in trouble by using an audio and visual alert system. When a child is in trouble he or she just pushes the two red buttons and the AmberWatch alert is triggered. With sound blaring at 115dB, which can be heard 100+ yards away, and super bright LEDs flashing a visible warning alert, attention is brought to the child in danger helping minimize the risk of abduction or injury. Includes batteries,quickstart guide, and 1 yr warranty card. Please arm your children with the AmberWatch and keep all of our children safe. For every watch sold AmberWatch donates proceeds to the AmberWatch foundation-a nonprofit organization dedicated to the prevention of child abduction and child endangerment.
The most effective means of protecting children from predators is giving them tools to prevent abduction. The AmberWatch was designed to complement safety plans made with parents and to aid in an immediate escape. It is a 115-decibel alarm built into a watch that, when activated, can be heard from 100 yards away. An unmistakable distress signal, it draws attention to dangerous situations and helps children respond strongly when they feel threatened. It can also come into use when a child is lost in a store, park or crowd, when theyre threatened by an animal, if theyre hurt, or if they get lost while participating in activities such as camping, skiing or hiking. The watch has a bulky modern style and super-bright LED lights that can be seen night or day. Digital functions include time, date, alarm, stopwatch, day of the week, low battery and backlight. The alarm is activated by pushing both of the red buttons on either side of the face and deactivated using the same 2 buttons in a coded sequence you set yourself. A special break-away back-up system automatically activates the alarm if the watch is forcibly removed. Amber Watch donates $1 to the AmberWatch Foundation for every watch sold. Water resistant. Adjusts to 6 sizes, approx. 5-3/4L"" to 7-3/4L"". Flower design bezel with an ice pink band.
Features and Benefits
Emits 115 decibels Super bright LED lights Special break-away back-up system Multiple functions Fashionable and life-saving",B000AEZS26,['https://images-na.ssl-images-amazon.com/images/I/41JPAGKGQTL._SS40_.jpg'],['https://images-na.ssl-images-amazon.com/images/I/41JPAGKGQTL.jpg'],Boys Watches
Timex Boys Time Machines Digital Watch,"Clothing, Shoes & Jewelry
Boys
Watches
Wrist Watches
You can return this item for any reason and get a full refund: no shipping charges. The item must be returned in new and unused condition.
Read the full returns policy
Go to Your Orders to start the return
Print the return shipping label
Ship it!",Kids love this watch because it's downright fun to wear. It's got a super easy-to-read display and a grime-resistant elastic fabric strap that'll make parents happy too.,B000B5256G,"['https://images-na.ssl-images-amazon.com/images/I/31RzGflgREL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bLi-2dqeL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51YZ6nwBkpL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41gp2nyu7kL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51arj0CWMlL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51zjVt6i0eL._SS36_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/31RzGflgREL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bLi-2dqeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51YZ6nwBkpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41gp2nyu7kL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51arj0CWMlL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51zjVt6i0eL.jpg']",Boys Watches
Millennium Chrome AmberWatch,"Children's Loud Alert Safety Watch
Protect your child from predators and other threats
Digital watch with full features
Hip, cute style and color
One year warranty","AmberWatch has created a children's digital watch that arms our children against child predators and and other threats. The AmberWatch was designed with a security system that draws attention to children in trouble by using an audio and visual alert system. When a child is in trouble he or she just pushes the two red buttons and the AmberWatch alert is triggered. With sound blaring at 115dB, which can be heard 100+ yards away, and super bright LEDs flashing a visible warning alert, attention is brought to the child in danger helping minimize the risk of abduction or injury. Includes batteries,quickstart guide, and 1 yr warranty card. Please arm your children with the AmberWatch and keep all of our children safe. For every watch sold AmberWatch donates proceeds to the AmberWatch foundation-a nonprofit organization dedicated to the prevention of child abduction and child endangerment.
The most effective means of protecting children from predators is giving them tools to prevent abduction. The AmberWatch was designed to complement safety plans made with parents and to aid in an immediate escape. It is a 115-decibel alarm built into a watch that, when activated, can be heard from 100 yards away. An unmistakable distress signal, it draws attention to dangerous situations and helps children respond strongly when they feel threatened. It can also come into use when a child is lost in a store, park or crowd, when theyre threatened by an animal, if theyre hurt, or if they get lost while participating in activities such as camping, skiing or hiking. The watch has a bulky modern style and super-bright LED lights that can be seen night or day. Digital functions include time, date, alarm, stopwatch, day of the week, low battery and backlight. The alarm is activated by pushing both of the red buttons on either side of the face and deactivated using the same 2 buttons in a coded sequence you set yourself. A special break-away back-up system automatically activates the alarm if the watch is forcibly removed. Amber Watch donates $1 to the AmberWatch Foundation for every watch sold. Water resistant. Adjusts to 6 sizes, approx. 5-3/4L"" to 7-3/4L"". Brushed chrome bezel with a reflex blue band.
Features and Benefits
Emits 115 decibels Super bright LED lights Special break-away back-up system Multiple functions Fashionable and life-saving",B000E39V62,['https://images-na.ssl-images-amazon.com/images/I/31MTPJYNXNL._SS40_.jpg'],['https://images-na.ssl-images-amazon.com/images/I/31MTPJYNXNL.jpg'],Boys Watches
Sharks AmberWatch,"Children's Loud Alert Safety Watch
Protect your child from predators and other threats
Digital watch with full features
Hip, cute style and color
One year warranty","AmberWatch has created a children's digital watch that arms our children against child predators and and other threats. The AmberWatch was designed with a security system that draws attention to children in trouble by using an audio and visual alert system. When a child is in trouble he or she just pushes the two red buttons and the AmberWatch alert is triggered. With sound blaring at 115dB, which can be heard 100+ yards away, and super bright LEDs flashing a visible warning alert, attention is brought to the child in danger helping minimize the risk of abduction or injury. Includes batteries,quickstart guide, and 1 yr warranty card. Please arm your children with the AmberWatch and keep all of our children safe. For every watch sold AmberWatch donates proceeds to the AmberWatch foundation-a nonprofit organization dedicated to the prevention of child abduction and child endangerment.
The most effective means of protecting children from predators is giving them tools to prevent abduction. The AmberWatch was designed to complement safety plans made with parents and to aid in an immediate escape. It is a 115-decibel alarm built into a watch that, when activated, can be heard from 100 yards away. An unmistakable distress signal, it draws attention to dangerous situations and helps children respond strongly when they feel threatened. It can also come into use when a child is lost in a store, park or crowd, when theyre threatened by an animal, if theyre hurt, or if they get lost while participating in activities such as camping, skiing or hiking. The watch has a bulky modern style and super-bright LED lights that can be seen night or day. Digital functions include time, date, alarm, stopwatch, day of the week, low battery and backlight. The alarm is activated by pushing both of the red buttons on either side of the face and deactivated using the same 2 buttons in a coded sequence you set yourself. A special break-away back-up system automatically activates the alarm if the watch is forcibly removed. Amber Watch donates $1 to the AmberWatch Foundation for every watch sold. Water resistant. Adjusts to 6 sizes, approx. 5-3/4L"" to 7-3/4L"". Sharks on bezel with an ocean blue band.
Features and Benefits
Emits 115 decibels Super bright LED lights Special break-away back-up system Multiple functions Fashionable and life-saving",B000ECO52S,['https://images-na.ssl-images-amazon.com/images/I/41CPWES4C8L._SS40_.jpg'],['https://images-na.ssl-images-amazon.com/images/I/41CPWES4C8L.jpg'],Boys Watches
Nike Quartz Polyurethane Sport Watch(Model: WK0008-001),"Hecho en EE. UU. o importado
Quartz movement
Mineral crystal
Case diameter: 38.2 mm
Polyurethane case; Black dial
Water resistant to 165 feet (50 M): suitable for swimming and showering
Covers broken watchband, movement failures, cracked crystal, bezel damage and more. Includes a 1-time refurbishment.
No deductibles or hidden fees. Free shipping on all repairs. Fully transferable.
Easy claims process online or by phone 24/7. If we can't fix it, we will send you an Amazon e-Card for full replacement value.
Coverage begins date of purchase and is inclusive of the manufacturer's warranty. Plan is fully refunded if canceled within 30 days.
Plan contract will be emailed from Asurion within 48 hours of purchase. This will not ship with your product.
What's Covered: mechanical and electrical failures during normal use, 100% parts and labor
Get fast repairs or replacements from SquareTrade, an Allstate company
24/7 customer support, free shipping for all repairs, no deductibles or hidden fees
Cancel anytime, full refund in first 30 days, fully transferable with gifts
SquareTrade Protection Plans are only valid for new or Amazon certified refurbished products purchased at Amazon in the last 30 days. By purchasing this Protection Plan you agree to the Protection Plan Terms & Conditions (http://www.squaretrade.com/terms-standard). Your Protection Plan Terms & Conditions will be delivered via email within 24 hours of purchase
What's Covered: mechanical and electrical failures during normal use, 100% parts and labor
Get fast repairs or replacements from SquareTrade, an Allstate company
24/7 customer support, free shipping for all repairs, no deductibles or hidden fees
Cancel anytime, full refund in first 30 days, fully transferable with gifts
SquareTrade Protection Plans are only valid for new or Amazon certified refurbished products purchased at Amazon in the last 30 days. By purchasing this Protection Plan you agree to the Protection Plan Terms & Conditions (http://www.squaretrade.com/terms-standard). Your Protection Plan Terms & Conditions will be delivered via email within 24 hours of purchase
Package Dimensions:
                    
3.9 x 3.5 x 2.6 inches
Shipping Weight:
                    
5 ounces (View shipping rates and policies)","Black resin case. Black polyurethane strap. Black dial. Stainless steel caseback. Mineral crystal. Tang clasp. Quartz movement. Water resistant at 50 meters (165 feet). Nike Triax Blaze Junior Unisex Watch WK0008-001
The Nike Triax Blaze kids' analog watch is designed to absorb playground punishment and get your rugrat back home in time for dinner with its large, easy-to-read dial face. It offers an aluminum face shield that takes blows without flinching and a stainless steel buckle and back plate that can withstand serious play. The black watch case and black pre-curved polyurethane strap form a unique S-shaped design that curves comfortably around the wrist for an improved fit and quicker reading of the time.
The black dial face is accented by large, luminous baton-style hands (with seconds hand), Arabic numeral markers (with larger font size at the quarter hours), and small minute indexes. Other features include water resistance to 50 meters (165 feet) and a scratch-resistant mineral glass crystal.
About Nike At its core, Nike understands the need for play, no matter what your age. And as Nike co-founder Bill Bowerman would say--if you have a body, you're an athlete. Nike's line of youth watches blends the advanced materials and drive for excellence built into the company's adult watches with the same mix of sophistication, guts, and imagination as the kids who wear them. They made to fit kid-sized wrists and sport fun, contemporary designs that will look great in school and out on the playfield.
Beyond shoes--from watches and eyewear to carry gear and even socks--Nike is committed to giving athletes of every make, model and body style, who compete and recreate in ways never before imagined, the very best performance product. Here are just a few important dates in Nike's journey:  American record-holder Steve Prefontaine becomes the first major track athlete to wear Nike brand shoes in 1973. At the 1976 Olympic Trials, Nike shoes are seen in abundance for the first time--worn by young, rising stars in both middle- and long-distance events. The first athlete to win an Olympic medal wearing Nike shoes is British runner, Steve Ovett in the 1980 Moscow Games The Just Do It advertising campaign began in 1988, and is now ensconced in the Americana exhibit at the Smithsonian National Museum.",B000EHIVA0,"['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL.jpg'],Boys Watches
Glitter AmberWatch,"Children's Loud Alert Safety Watch
Protect your child from predators and other threats
Digital watch with full features
Hip, cute style and color
One year warranty","AmberWatch has created a children's digital watch that arms our children against child predators and and other threats. The AmberWatch was designed with a security system that draws attention to children in trouble by using an audio and visual alert system. When a child is in trouble he or she just pushes the two red buttons and the AmberWatch alert is triggered. With sound blaring at 115dB, which can be heard 100+ yards away, and super bright LEDs flashing a visible warning alert, attention is brought to the child in danger helping minimize the risk of abduction or injury. Includes batteries,quickstart guide, and 1 yr warranty card. Please arm your children with the AmberWatch and keep all of our children safe. For every watch sold AmberWatch donates proceeds to the AmberWatch foundation-a nonprofit organization dedicated to the prevention of child abduction and child endangerment.
The most effective means of protecting children from predators is giving them tools to prevent abduction. The AmberWatch was designed to complement safety plans made with parents and to aid in an immediate escape. It is a 115-decibel alarm built into a watch that, when activated, can be heard from 100 yards away. An unmistakable distress signal, it draws attention to dangerous situations and helps children respond strongly when they feel threatened. It can also come into use when a child is lost in a store, park or crowd, when theyre threatened by an animal, if theyre hurt, or if they get lost while participating in activities such as camping, skiing or hiking. The watch has a bulky modern style and super-bright LED lights that can be seen night or day. Digital functions include time, date, alarm, stopwatch, day of the week, low battery and backlight. The alarm is activated by pushing both of the red buttons on either side of the face and deactivated using the same 2 buttons in a coded sequence you set yourself. A special break-away back-up system automatically activates the alarm if the watch is forcibly removed. Amber Watch donates $1 to the AmberWatch Foundation for every watch sold. Water resistant. Adjusts to 6 sizes, approx. 5-3/4L"" to 7-3/4L"". Purple glitter bezel with a purple band.
Features and Benefits
Emits 115 decibels Super bright LED lights Special break-away back-up system Multiple functions Fashionable and life-saving",B000F7NPWS,['https://images-na.ssl-images-amazon.com/images/I/41DZH1XX2EL._SS40_.jpg'],['https://images-na.ssl-images-amazon.com/images/I/41DZH1XX2EL.jpg'],Boys Watches
Timex Time Teacher Dinosaurs Kids Watch T7B121,"Timex 7B121 Children's Round Analog Watch with Dinosaur Theme
Adjustable Elastic Strap
Indiglo Night Light
Water Resistant to 30 Meters
Product Dimensions:
                    
1.6 x 3.9 x 2.4 inches
Shipping Weight:
                    
2.08 ounces","Plastic case with a dinosaur print cloth strap. Fixed bezel. White dial with orange and blue hands and Arabic hour markers. Minute markers around the outer rim. Date display appears at the 3 o'clock position. Quartz movement. Scratch resistant mineral crystal. Case diameter: 30 mm. Case thickness: 8 mm. Tang clasp. Water resistant at 30 meters / 100 feet. Functions: hours, minutes, seconds, calendar. Timex Time Teacher Dinosaurs Kids Watch T7B121.",B000F7UR8I,"['https://images-na.ssl-images-amazon.com/images/I/51MhCWMAf6L._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41V3rsRKe0L._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21C2bP%2BUCcL._SR38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/51MhCWMAf6L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41V3rsRKe0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21C2bP%2BUCcL.jpg']",Boys Watches
Graphite Sport AmberWatch,"Children's Loud Alert Safety Watch
Protect your child from predators and other threats
Digital watch with full features
Hip, cute style and color
One year warranty","The most effective means of protecting children from predators is giving them tools to prevent abduction. The AmberWatch was designed to complement safety plans made with parents and to aid in an immediate escape. It is a 115-decibel alarm built into a watch that, when activated, can be heard from 100 yards away. An unmistakable distress signal, it draws attention to dangerous situations and helps children respond strongly when they feel threatened. It can also come into use when a child is lost in a store, park or crowd, when theyre threatened by an animal, if theyre hurt, or if they get lost while participating in activities such as camping, skiing or hiking. The watch has a bulky modern style and super-bright LED lights that can be seen night or day. Digital functions include time, date, alarm, stopwatch, day of the week, low battery and backlight. The alarm is activated by pushing both of the red buttons on either side of the face and deactivated using the same 2 buttons in a coded sequence you set yourself. A special break-away back-up system automatically activates the alarm if the watch is forcibly removed. Amber Watch donates $1 to the AmberWatch Foundation for every watch sold. Water resistant. Adjusts to 6 sizes, approx. 5-3/4L"" to 7-3/4L"".
Features and Benefits
Emits 115 decibels Super bright LED lights Special break-away back-up system Multiple functions Fashionable and life-saving",B000FG9BNQ,['https://images-na.ssl-images-amazon.com/images/I/31CZ78TZWRL._SS40_.jpg'],['https://images-na.ssl-images-amazon.com/images/I/31CZ78TZWRL.jpg'],Boys Watches
LEGO Kids' 5900100 Watch,"Quartz movement
Mineral crystal
Water-resistant to 99 feet (30 M)
Package Dimensions:
                    
6.1 x 3.4 x 0.9 inches
Shipping Weight:
                    
5.6 ounces","Build it before you wear it! Take LEGOS to the next level with this colorful, cool and completely customizable timepiece. Snap together multicolored pieces of durable plastic to create a unique wristband. The band attaches directly to the plastic bezel and can be customized even further by clicking on one of three colored (blue, red or yellow) bezel rings. A dark, stylized mineral-material face illuminates light-colored easy-to-read numbers and hands. This watch is water resistant up to 99 feet and features analog-quartz movement, for reliability and resilience. This is for LEGO fans of all ages  the band length is completely customizable by adding more pieces. Just snap and go!
Casio
With the launch of its first watch in November 1974, Casio entered the wristwatch market at a time when the watch industry had just discovered digital technology. As a company with cutting-edge electronic technology developed for pocket calculators, Casio entered this field confident that it could develop timepieces that would lead the market.
Today, Casio is focusing its efforts on solar-powered radio-controlled watches: the built-in solar battery eliminates the nuisance of replacing batteries, atomic timekeeping means the users never have to reset the time. Recently, Casio launched a series of Bluetooth watches that sync to the users cell phone to automatically update the time. Casio is always moving time forward.",B000JNS97Y,"['https://images-na.ssl-images-amazon.com/images/I/41nxlxrYmVL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/41nxlxrYmVL.jpg'],Boys Watches
