reviewText,summary,rating,asin
I bought the watch with ball for a 7-year-old boy. He told me he had been wearing it every day. I think he likes it.,Timex Kid's Watch # T75201 - Rotating Disc,5.0,B00020J18A
"These are great! I bought the black one with the lightening bolts for my 6 yr old. I think he wore it for more than a year constantly except to take a bath and for swim class (including at night). The battery died after a little more than a year. Unfortunately, to replace the battery with a water tight seal cost $25. I told him we'd buy a new watch. He chose the spaceship one... then he didn't wear it for 6 months. The other one is still in his drawer. He just started wearing it again... he loves it! I WILL buy one for my second son... probably the green one with the frogs!",I love these watches!,5.0,B00020J18A
I bought two of these one for each of my boys for Christmas.  One of the two watches never did keep time properly.  I even changed the battery.  An expensive fix that did not work.,Never Kept Time,1.0,B00020J18A
When my almost 4yr old grandson got to the Christmas tree it was the 1st thing he saw. He wanted it on immediately and Mom has had a hard time getting it off since. Very durable!!,favorite thing under the Christmas Tree,5.0,B00020J18A
This is a great gift for the money.  The face is clear and the strap is great for any sport kid.  Love it and the price!,excellent choice for 3-5 yr. old,5.0,B00020J18A
"My son liked the design of this watch, but the strap broke and could not be fixed! A kid's watch is not that hard to make -- it needs to be: sturdy, easy-to-read, and accurate! C'mon Timex, we expect better from you.",Flat Strap Broke,1.0,B00020J18A
"There are a few problems with this watch. First of all it was D.O.A. (Dead on Arrival)! Rather frustrating for an excited boy. The other big issue is that it is not blue... it is purple. The product image is very deceptive. I read another review saying it wasn't a strong blue but ours isn't blue at all! They are definitely having some consistency issues at the plant.

Bottom line... I wouldn't recommend this watch to a friend.",Not happy at all.,1.0,B00020J18A
THis watch is a very good watch especially for those kids learning how to tell time. My five year old is enjoying it. The band is also adjustable and fits to the hand perfect.,GREAT PRODUCT....,4.0,B00020J18A
"I gifted it to my niece on her bday. She is a tom boy,she loved the colour and the balls on it. Moreover the size wasn't a problem coz of the stretch band.",Good gift,4.0,B00020J18A
Our toddler had seen us putting on our watches and kept asking for one.  We got a free one out of a happy meal and he loved having it on but it kept falling off so I did some searches on the internet for a elastic banded watch and found this one. It's really great it stays on and though he can't tell time with it yet he really likes that he can wear his watch like mom & dad.,2 year olds watch.,5.0,B00020J18A
IT IS A OK WATCH BUT THE BAND COULD BE MADE BETTER AND BE A STRONG BLU COLOR FOR A BOY.,OK,3.0,B00020J18A
