asin,rating
B00020J18A,3.6363636363636362
B00021CLMM,4.333333333333333
B000B5256G,4.288888888888889
B000JNS97Y,4.5
B000KFB4PK,4.333333333333333
B000PXUA5W,4.022222222222222
B000SZPZV6,4.111111111111111
B0010OIN90,3.933333333333333
B0015G3GAO,3.625
B001HZXYJG,4.090909090909091
B001QXCDCI,2.5384615384615383
B00284C9NW,4.266666666666667
B00284C9NM,4.071428571428571
B002CYMQZY,3.1538461538461537
B00385WZ1G,3.911111111111111
B00385WZC0,4.155555555555556
B00385WYZS,4.022222222222222
B00385WZ3O,4.133333333333334
B003AVMTRI,4.0
B003GSP24W,4.25
B003M2G0SY,3.8666666666666667
B003M2BZPW,3.977777777777778
B004BYEB4W,4.214285714285714
B004LLG76K,4.133333333333334
B004QXHDCU,3.2142857142857144
B0059URZ5Y,4.260869565217392
B005OVC4G8,4.266666666666667
B005OVF8SE,4.2631578947368425
B005OVFPGY,4.071428571428571
B005OVFT38,4.3
B005OVKAY6,3.488372093023256
B005OVKO4W,3.92
B005OVIAJI,4.115384615384615
B005PKZG5E,3.933333333333333
B0064MI1CC,3.7674418604651163
B007KI6WAW,3.7096774193548385
B007KI72G0,3.3333333333333335
B007KI72JW,4.363636363636363
B007KI75SA,2.8333333333333335
B0085VYS4K,3.923076923076923
B008QVT2PE,4.153846153846154
B0093IWOYK,3.6
B009DU9E1Y,3.2777777777777777
B009DU9JH8,2.7567567567567566
B009IGZSTK,4.266666666666667
B009SZSDOS,4.088888888888889
B009SZSD66,3.4
B009SZSDIO,3.275
B009SZSDQG,4.032258064516129
B009SZSDEI,3.533333333333333
B009SZWUGK,4.266666666666667
B00A63LBKY,3.761904761904762
B00A63LH58,4.5625
B00AC7G7IU,4.078947368421052
B00AHSS0F2,3.611111111111111
B00AQCW4RY,3.6
B00AQCW51O,4.2444444444444445
B00AQCW5KA,4.5
B00ARSOVAA,3.8444444444444446
B00ATXGZMK,4.044444444444444
B00BF77SX4,3.7555555555555555
B00BF77S2K,3.9555555555555557
B00BXJ34BE,3.7586206896551726
B00BXKZDJ4,3.793103448275862
B00C3A9NDA,3.1777777777777776
B00CBJ7NEE,4.470588235294118
B00CD375Z0,4.533333333333333
B00CD376DG,4.377777777777778
B00D3TSDQ8,2.909090909090909
B00D8DK8DA,3.8
B00DHL0ENC,2.25
B00DHL9RO4,3.3333333333333335
B00DTPH6Q4,2.769230769230769
B00E3R7KJK,4.181818181818182
B00E3R7KWM,4.375
B000AEZS26,3.25
B000ECO52S,1.3333333333333333
B000EHIVA0,4.5
B000F7NPWS,2.75
B000F7UR8I,3.3333333333333335
B000FG9BNQ,4.0
B000M8C4ZE,3.8
B000NIBD5U,2.0
B0017UCK8W,5.0
B001BBT9CM,1.8
B001C13ZE4,1.6666666666666667
B001E08HUK,5.0
B001ELPA04,5.0
B001GIO7L8,4.25
B001GIO7KY,4.666666666666667
B001HZXYJQ,3.75
B001J7MEBG,3.5
B000MQK7L4,4.25
B000XQ91Y2,5.0
B000Y0B54Q,5.0
B001T9O656,4.0
B00200KGG6,4.5
B0024FA4XC,3.5555555555555554
B0028QGNJ6,2.0
B0028QGOFY,5.0
B002CVTOQQ,4.5
B002ZB8M1Q,3.8
B0037UTTI4,4.0
B003Q4PZZW,5.0
B003ZD98ZM,5.0
B003ZDCSEK,3.0
B003ZDCT26,2.5
B0049SYNZC,5.0
B004A811BK,1.0
B004G4AY66,4.444444444444445
B004LLK66M,4.25
B004QIKCPK,5.0
B004WYP8WK,5.0
B004YF52TQ,4.5
B004YSVGH0,5.0
B004YWSFXE,2.6666666666666665
B000QSIU44,3.6
B0055XBH7W,4.333333333333333
B0058ZV31M,4.333333333333333
B005CM7Z7M,3.0
B005CM7YR8,4.0
B005CV7FB4,1.0
B005CV7ETW,2.0
B000Y090LQ,2.0
B005FC09HM,2.0
B005FC09K4,3.0
B000Y04SG8,4.0
B005KD013I,3.1666666666666665
B005KCZI0A,2.3333333333333335
B005OVBN4M,3.6666666666666665
B005OVC6KW,4.0
B005OVBJ0U,5.0
B005OVBS2O,4.666666666666667
B005OVBDJC,3.0
B005OVBP5O,3.8333333333333335
B005OVBWLQ,5.0
B005OVDXHM,4.375
B005OVBGFS,5.0
B005OVF6UE,3.8333333333333335
B005OVH4N6,4.0
B005OVE6ZK,4.833333333333333
B005OVH7OM,3.5
B005OVFDDY,3.6666666666666665
B005OVHD6E,5.0
B005OVHYOA,3.75
B005OVH0US,1.0
B005OVFY9M,4.0
B005OVBLSU,2.3333333333333335
B005OVBF7M,4.2
B005OVBTL4,4.666666666666667
B005OVIX4A,4.0
B005OVBANQ,4.2
B005OVFF7I,4.5
B005OVG0HC,4.285714285714286
B005OVB7KW,4.166666666666667
B005OVIIBI,5.0
B005OVI3TU,3.6
B005OVJFD8,2.8
B005OVIE2G,5.0
B005PL04H8,4.0
B005PKZRY4,3.8
B005PKZWOY,5.0
B005PKZJ8S,5.0
B005PKZO42,4.25
B005PKZTD8,5.0
B005PKZGRC,3.4285714285714284
B005PKZR62,5.0
B005PKZKHS,5.0
B005PYHC4S,4.5
B0060OEFK6,5.0
B0027VSCU0,4.0
B000E39V62,1.0
B006HYC5W4,5.0
B006HYK152,4.5
B006KZ4KRI,2.3333333333333335
B006NONKRW,5.0
