title,features,description,asin,imageurl,imageURLHighRes,category
Bodywrappers Girls' Athletic Brief,"100% Nylon
Comfortable wide elastic waistband
Full cut with ample seat coverage
Sizing: Small fits 4-6
Medium fits 7-10
Large fits 12-14
","Bodywrappers athletic brief for girls is ideal for sports, cheerleading and dance. 100% Nylon is the original dancewear fabric dancers used for performance. Nylon wicks moisture, breathes and last like no other for years to come. Comfortable wide elastic waistband, Full cut with ample seat coverage, Sizing: Small fits 4-6, Medium fits 7-10, Large fits 12-14, 100% Nylon.
",B0000A3L1L,['https://images-na.ssl-images-amazon.com/images/I/31nvLj7sa6L._SS40_.jpg'],['https://images-na.ssl-images-amazon.com/images/I/31nvLj7sa6L.jpg'],Girls Clothing
Twin City Team Sock Solid Adult Size 9-12,"This team sock is 80% acrylic, 10% nylon, and 10% elastic.
Light weight solid color.
Product Dimensions:
                    
6 x 13 x 3 inches
Shipping Weight:
                    
4 ounces (View shipping rates and policies)
","This team sock is 80% acrylic, 10% nylon, and 10% elastic. Light weight solid color.
",B00012U2M8,"['https://images-na.ssl-images-amazon.com/images/I/31RyApEBsAL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01D1CsR9B8L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01qWajcJRQL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41wuwvfPDwL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01NPEF7tqjL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/410Eu-CVd%2BL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jwftFalCL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01E0Vl8w5ML._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01kFbAkfALL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01B0pTUIhbL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41eps6GBocL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01PBQxvHSbL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41haXl%2B0yHL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/010oYpZPwPL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01HUoB9uE0L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01gz5YxaVYL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41hR1H96aBL._SX38_SY50_CR,0,0,38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/31RyApEBsAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01D1CsR9B8L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01qWajcJRQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41wuwvfPDwL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01NPEF7tqjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/410Eu-CVd%2BL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jwftFalCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01E0Vl8w5ML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01kFbAkfALL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01B0pTUIhbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41eps6GBocL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01PBQxvHSbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41haXl%2B0yHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/010oYpZPwPL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01HUoB9uE0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01gz5YxaVYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41hR1H96aBL.jpg']",Girls Clothing
Conspiracy - Big Girls' Scuba Shorts,"100% polyester
Item 755
Conspiracy
Shipping Information:
                    
View shipping rates and policies
","Conspiracy - Girls Scuba Shorts- Navy, White Stitching, Side Pockets, 100% Polyester, Machine Wash, Made in USA #755
",B00027CAQS,"['https://images-na.ssl-images-amazon.com/images/I/413qow-AaOL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51EyojY-OBL._SX38_SY50_CR,0,0,38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/413qow-AaOL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51EyojY-OBL.jpg']",Girls Clothing
Soffe Girls Dri Short,"88% Polyester, 12% Spandex
Imported
Machine Wash
2.5 inch inseam with Soffe dri and flat lock seems to reduce chafing
7 oz. 88 percent polyester and 12 percent spandex jersey
Package Dimensions:
                    
1 x 1 x 1 inches
Shipping Weight:
                    
1 pounds (View shipping rates and policies)
","The performance compression do anything short. Low rise fit.
",B00027G8UW,"['https://images-na.ssl-images-amazon.com/images/I/612hfo7XaGL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/516qDX2chRL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41HKjLUMHPL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51GL4K9r6qL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41M51zZfvIL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5112NjeDeML._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-qFkw-s4L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51dxS%2BrZe9L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/516Fh6P08FL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41V7Y9nLfRL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51NGbNgGQDL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DweMaFARL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41hCPMyruuL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/412ITu1uHsL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41NhoEG2CxL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51FjkwKIOZL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51zv-bXS-7L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41j0Dz0kArL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51tpYeqVb0L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61JD-6ZukeL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41VKSmdOBZL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/515O8YpIq2L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Ge%2BGz1D1L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51zONJ0X6NL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51cK8T63XlL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51dDUQAFCbL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51YEkEiZLJL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510jvTJLYhL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51HNkt%2B3YZL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Ackqp9bcL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51PG9zvjHtL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LKnNNrF8L._SX38_SY50_CR,0,0,38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/612hfo7XaGL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/516qDX2chRL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41HKjLUMHPL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51GL4K9r6qL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41M51zZfvIL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5112NjeDeML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-qFkw-s4L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51dxS%2BrZe9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/516Fh6P08FL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41V7Y9nLfRL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51NGbNgGQDL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DweMaFARL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41hCPMyruuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/412ITu1uHsL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41NhoEG2CxL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51FjkwKIOZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51zv-bXS-7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41j0Dz0kArL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51tpYeqVb0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61JD-6ZukeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41VKSmdOBZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/515O8YpIq2L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Ge%2BGz1D1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51zONJ0X6NL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51cK8T63XlL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51dDUQAFCbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51YEkEiZLJL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510jvTJLYhL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51HNkt%2B3YZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Ackqp9bcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51PG9zvjHtL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LKnNNrF8L.jpg']",Girls Clothing
Soffe Athletic Youth Cheer Shorts,"Synthetic
100% Authentic
Brand New
Durable
Original Packaging
","Soffe Authentic Soffe Short Big Kids
",B0002A4JZA,"['https://images-na.ssl-images-amazon.com/images/I/41tRdw6tLDL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ncSDJAWjL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31zTP2ENrvL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/411UEXMqdrL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jnOyj9qNL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41GCTHxxQKL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41COBZKh6bL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41omDB4KjFL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41dBJTVaB1L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41wn6iXDgGL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Cyqa1z9LL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DskfhLOrL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ioh0M-AhL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41TCrin0sgL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41961dy3llL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/318NVYLgFIL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41RyRgmp7nL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41p888OZFQL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fAos8jJFL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41S6jt4sjnL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51OO7G%2BMOML._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jcP6UggZL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01Y7zo-yevL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41x-EBkn8LL._SS36_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41tRdw6tLDL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ncSDJAWjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31zTP2ENrvL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/411UEXMqdrL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jnOyj9qNL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41GCTHxxQKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41COBZKh6bL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41omDB4KjFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41dBJTVaB1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41wn6iXDgGL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Cyqa1z9LL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DskfhLOrL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ioh0M-AhL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41TCrin0sgL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41961dy3llL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/318NVYLgFIL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41RyRgmp7nL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41p888OZFQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fAos8jJFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41S6jt4sjnL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51OO7G%2BMOML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jcP6UggZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01Y7zo-yevL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41x-EBkn8LL.jpg']",Girls Clothing
Danskin Girls' Shimmery Footed Tight,"90% Nylon, 10% Lycra Spandex
Made in US
Machine wash cold with like colors, mild detergent, non-chlorine bleach, tumble dry low, do not iron
90% Nylon 10% Lycra Spandex
Ultrashimmery Tight 331
Full footed
Machine wash cold with like colors, mild detergent, non-chlorine bleach, tumble dry low, do not iron
Made In Usa
Package Dimensions:
                    
8.9 x 4.9 x 0.6 inches
Shipping Weight:
                    
0.8 ounces (View shipping rates and policies)
","These ultra shimmery footed tights provide extra sheen for any performance. These tights are perfect for cheer, color guard or costumes.
These ultra shimmery footed tights provide extra sheen for any performance. These tights are perfect for cheer, color guard or costumes.
",B0002QVAAG,"['https://images-na.ssl-images-amazon.com/images/I/31QN0o8MN%2BL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/31QN0o8MN%2BL.jpg'],Girls Clothing
Danskin Girls Run Resistant Mesh Tight,"100% Nylon
100% Nylon
Sewn-on no-roll comfort waistband
Full foot
Machine wash cold with like colors, mild detergent, non-chlorine bleach, tumble dry low, do not iron
Made In Usa
Package Dimensions:
                    
10 x 7 x 1 inches
Shipping Weight:
                    
1 pounds (View shipping rates and policies)
","Danskin Tights ~ Child Run Resistant NYLON Footed 58 dance tights. Classic tights feature soft elastic non-roll waistband, discreet cotton gusset and reinforced seaming. Professional quality tights resist runs and tears for exceptionally long wear. Machine wash cold, delicate cycle. hang dry. 100% nylon.
These classic, run-resistant footed tights feature a birdseye texture mesh that resist runs and offers exceptionally long wear
",B0002QVBDW,"['https://images-na.ssl-images-amazon.com/images/I/21WV0PHDMZL._SX38_SY50_CR,0,0,38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/21WV0PHDMZL.jpg'],Girls Clothing
Vigoss Big Girls' Simply Chic Short,"98% Cotton/2% Spandex
Machine wash
Great for summer
Summer wear
Package Dimensions:
                    
9.7 x 7.3 x 3.5 inches
Shipping Weight:
                    
4.8 ounces
","4 inch cuffed short
",B0002XLGT4,"['https://images-na.ssl-images-amazon.com/images/I/41dyDEIZTNL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/41dyDEIZTNL.jpg'],Girls Clothing
Bodywrappers Girls' Athletic Brief,"100% Nylon
Comfortable wide elastic waistband
Full cut with ample seat coverage
Sizing: Small fits 4-6
Medium fits 7-10
Large fits 12-14
","Bodywrappers athletic brief for girls is ideal for sports, cheerleading and dance. 100% Nylon is the original dancewear fabric dancers used for performance. Nylon wicks moisture, breathes and last like no other for years to come. Comfortable wide elastic waistband, Full cut with ample seat coverage, Sizing: Small fits 4-6, Medium fits 7-10, Large fits 12-14, 100% Nylon.
",B0000A3L1L,['https://images-na.ssl-images-amazon.com/images/I/31nvLj7sa6L._SS40_.jpg'],['https://images-na.ssl-images-amazon.com/images/I/31nvLj7sa6L.jpg'],Girls Clothing
Twin City Team Sock Solid Adult Size 9-12,"This team sock is 80% acrylic, 10% nylon, and 10% elastic.
Light weight solid color.
Product Dimensions:
                    
6 x 13 x 3 inches
Shipping Weight:
                    
4 ounces (View shipping rates and policies)
","This team sock is 80% acrylic, 10% nylon, and 10% elastic. Light weight solid color.
",B00012U2M8,"['https://images-na.ssl-images-amazon.com/images/I/31RyApEBsAL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01D1CsR9B8L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01qWajcJRQL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41wuwvfPDwL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01NPEF7tqjL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/410Eu-CVd%2BL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jwftFalCL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01E0Vl8w5ML._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01kFbAkfALL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01B0pTUIhbL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41eps6GBocL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01PBQxvHSbL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41haXl%2B0yHL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/010oYpZPwPL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01HUoB9uE0L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01gz5YxaVYL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41hR1H96aBL._SX38_SY50_CR,0,0,38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/31RyApEBsAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01D1CsR9B8L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01qWajcJRQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41wuwvfPDwL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01NPEF7tqjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/410Eu-CVd%2BL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jwftFalCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01E0Vl8w5ML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01kFbAkfALL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01B0pTUIhbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41eps6GBocL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01PBQxvHSbL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41haXl%2B0yHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/010oYpZPwPL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01HUoB9uE0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/01gz5YxaVYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41hR1H96aBL.jpg']",Girls Clothing
