reviewText,summary,rating,asin
"I expected these to be smaller than normal. However, they were just fine. I like the loose fit and I am very comfortable in them.",Fit as expected,4.0,B0002A4JZA
The only problem is I think they run just a little smaller than other athletic shorts in the size small.,Athletic shorts,3.0,B0002A4JZA
"These tights are exactly what they are supposed to be.  I've washed them and she's danced in them half a dozen times and they have held up well..no runs or pulls. I do not know how they would be for heavy use (like someone who dances every day) which is why I gave 4 stars instead of 5. My daughter is a size 10 in most clothes and these fit perfectly as long as I stretch them as I'm pulling them up.

My daughter doesn't like these tights because she said they make her legs itch and ""prickle"" when she's dancing and getting hot, but that is my daughter and not the product.  I mention this in case you have a child who has sensitive skin, or suffers from skin rashes like eczema.  They may not like the feel of these as they are not soft like a microfiber.",They do what I want them to do!,4.0,B0002QVAAG
"nice tights....easy for a 7yo to put on...have a shimmer to them which hannah really likes,,,,I would prefer no shimmer",ballet tights,4.0,B0002QVAAG
"I recommend purchase. They fit pretty well. Light toast (which I ordered) was more like - dark suntan, so only complaint was that it was a bit darker than the picture.",Mostly as expected,4.0,B0002QVAAG
"I was looking forward to sturdier-than-usual tights, and they seemed tough, but our 2-year-old daughter had a hole on the back of her knee within the first hour (and we were at a wedding, so it's not like she was climbing around . . .). Disappointing, particularly for the price.",Ripped in the first hour,3.0,B0002QVAAG
These tights fit my 3 year old daughter perfectly and they are adorable!  I bought them for ballet.  My daughter is a bit rough and tumble and has already taken a couple of spills in these tights and the tights still look as good as new!,Durable and adorable,5.0,B0002QVAAG
Product arrived quickly.  These were tights for my grand daughter for Easter.  We opened the package on Easter morning and went to put the tights on.  Unfortunately there was a hole in the crotch.  She had to wear them anyway and throughout the day the hole got bigger.  I spent much more on these tights hoping they would be long lasting.  What a waste of money!,hole in crotch!,1.0,B0002QVAAG
"These tights are all I expected and more.  They are very shiny and pure white.  They are thick just as dance tights should be.  My daughter wore them for Easter and will be using them for her dance show in a few weeks.

They are pretty true to size as well.  She is a size 5 and they fit with some room left for height.",Stunning,5.0,B0002QVAAG
"My daughter wears these shimmery tights to ballet classes and they are pretty much perfect. They wash well, look great and are the perfect density - not too thin and not too thick. The sheen on the tights is just right. I'm going to be purchasing more in the next size up as well.",best tights,5.0,B0002QVAAG
"Great tights, good fit, great price.  Somewhat sheer and have a slight sparkle.  Our five-year loves them and will use for her dance review. Her classmates loved the sparkle.",Excellent tights for girls,4.0,B0002QVAAG
Nice thick fabric.  It was a different color pink than her leotard but it will work with her black one.,Nice thick fabric,4.0,B0002QVAAG
They are good quality but a little smaller than expected. About 1/2 - 1 size smaller,Three Stars,3.0,B0002QVAAG
Fit my 6 year old perfectly. This was a last minute order. So fortunate that the fit was just right!!!,So Perfect,5.0,B0002QVAAG
Great quality!,Five Stars,5.0,B0002QVAAG
"Reminded me of ""old nurses stocking"" , shiney , looks like support stockings, not the tights i am use to seeing for young girls. Fit slightly short, and lots of spandex,  hsrd to pull on.",SO SO ITEM,3.0,B0002QVAAG
"Great pair of tights and I believe the quality is there, especially for the price. Our pair just had a hole in the seam in the crotch area. We had no choice but to wear them as I didn't my open them until right when we needed them, don't believe I am able to return/exchange now.

My daughter is wearing the T 2/4 size. She is 3 and very petite. She wears size 2t pants. There is still room to grow.","Worth the buy, check them out before wearing :)",3.0,B0002QVAAG
great,Four Stars,4.0,B0002QVAAG
"The foot and ankle portion is so incredibly wide and awkward looking. It bunches up. Unable to wear. I really like the color, though. Disappointed that we cannot use.",I really like the color,1.0,B0002QVAAG
"I bought these for my 3yr old ballet star. She is a typical 3 yr old, very rough, on her knees, crawling a lot. These tights have held up for last 3 months and still look brand new.",Great quality,5.0,B0002QVAAG
"Very sturdy and durable for my 3 year old! Lasted all the way through a wedding, half of the time with her shoes off!",Good quality,5.0,B0002QVAAG
grand daughter loved them tho,Five Stars,5.0,B0002QVAAG
Nice and Shimmery! Perfect for Dance Recital.,Four Stars,4.0,B0002QVAAG
