asin,title,summary
B0000A3L1L,Bodywrappers Girls' Athletic Brief,"Bodywrappers athletic brief for girls designed for sports and dance with moisture-wicking, breathable 100% Nylon fabric."
B00012U2M8,Twin City Team Sock Solid Adult Size 9-12,"Team sock made of 80% acrylic, 10% nylon, and 10% elastic with a lightweight solid color design. Measures 6 x 13 x 3 inches and weighs 4 ounces."
B00027CAQS,Conspiracy - Big Girls' Scuba Shorts,"Girls' navy scuba shorts with white stitching, side pockets, machine wash, 100% polyester, made in USA (#755)."
B00027G8UW,Soffe Girls Dri Short,"Compression shorts with low-rise fit, 2.5"" inseam, antimicrobial fabric, and flatlock seams to minimize chafing. Made with 88% polyester and 12% spandex."
B0002A4JZA,Soffe Athletic Youth Cheer Shorts,"Authentic Soffe shorts for big kids, made with durable synthetic material for long-lasting wear. New and packaged in original packaging."
B0002QVAAG,Danskin Girls' Shimmery Footed Tight,"Ultra-shimmery full-footed tights perfect for performances in cheer, color guard, or costumes. Made with 90% nylon and 10% Lycra spandex, they provide extra sheen and are machine washable."
B0002QVBDW,Danskin Girls Run Resistant Mesh Tight,"Child Run Resistant NYLON Footed Dance Tights. Classic Tights feature soft elastic non-roll waistband, discreet cotton gusset and reinforced seaming. Professional quality tights resist runs and tears for exceptionally long wear. Made In USA."
B0002XLGT4,Vigoss Big Girls' Simply Chic Short,"4-inch cotton-blend cuffed shorts for summer wear, machine washable."
B0000A3L1L,Bodywrappers Girls' Athletic Brief,"Girls' athletic brief for sports and dance in 100% Nylon with a comfortable waistband and ample seat coverage. Available in sizes Small (fits 4-6), Medium (fits 7-10), and Large (fits 12-14)."
B00012U2M8,Twin City Team Sock Solid Adult Size 9-12,"Team sock made from 80% acrylic, 10% nylon, and 10% elastic; lightweight with solid color design."
B00027CAQS,Conspiracy - Big Girls' Scuba Shorts,"Navy, white-stitched scuba shorts with side pockets made of 100% polyester. Machine washable, made in the USA."
B00027G8UW,Soffe Girls Dri Short,"Compression shorts with a 2.5-inch inseam and Soffe Dri technology for moisture management and chafing reduction. Made from 88% polyester and 12% spandex, they provide comfort and stretch during workouts."
B0002A4JZA,Soffe Athletic Youth Cheer Shorts,"Durable, authentic Soffe shorts crafted from synthetic material, packaged in original packaging and designed for big kids."
B0002QVAAG,Danskin Girls' Shimmery Footed Tight,"Ultrashimmery footed tights with 90% Nylon, 10% Lycra Spandex for extra sheen in performances, suitable for cheer, color guard, or costumes."
B0002QVBDW,Danskin Girls Run Resistant Mesh Tight,"Run-resistant, footed dance tights for children with soft elastic waistband, cotton gusset, and reinforced seaming. Made with 100% Nylon for exceptionally long wear."
B0002XLGT4,Vigoss Big Girls' Simply Chic Short,"4-inch cuffed shorts made of 98% cotton and 2% spandex, suitable for summer and machine-washable."
B00067SHT8,adidas Girls' Long Sleeve Girly Tee Shirt,"Flounced clima tee with raglan sleeves, cuff, and screen-printed clima logo."
B0006UBZLC,Baby Phat - Kids Little Girls' Baby Phat Flower Tee Shirt,"Baby Phat floral tee with sequin and foil details, featuring ruffled sleeves and the brand's logo and kitty motif."
B00079R2MS,Derek Heart Girls' L/SLV Handkerchief Cardigan W/Pleather Ft Yoke,"Long sleeve cardigan with pleather yoke layering piece, made of 95% Polyester and 5% Spandex."
B0007L0G4C,Esuanet Kids - Little Girls' Sleeveless Botton Down Top,"Sleeveless red top for girls with multicolored flower design, spaghetti straps, and ruffles, made of 100% cotton. Machine washable."
B0007NFNHA,Polo Girls Socks in Quarter High with Polo Player (2-12 Years),"6-pack of Polo Ralph Lauren quarter high socks for kids, featuring embroidered Polo Player logo in classic style."
B0007PGIU4,Disney Girls' Frozen Swimsuit 7611223fz,"Disney character-themed clothing (hoodies, shirts, denim, active wear) made from 85% polyester/15% spandex, imported and machine washable."
B0007QMAM8,Speedo Big Girls'  Solid Halter Tankini Swimsuit,"Brightly colored tankini with double strap halter top and solid bottom with ample coverage. Features nylon fabric, 100% nylon liner, and SPF protection of +35."
B0007QMFHS,"Speedo Big Girls'  Pucci Paisley Camikini Swimsuit with Hair Scrunchie, UV Orange, Size 14","Retro-printed camikini with matching scrunchie, featuring a nylon and Lycra blend with built-in SPF protection of +35. The halter top and coordinating stripe bikini bottom provide a secure fit and ample coverage. By Speedo, the #1 swim brand worldwide."
B0007V8F40,Ave.blu - Little Girls' Corduroy Mini Skirt,"Ave.blu mint green corduroy skirt with zip fly, button closure, belt holes, front pockets; 96% cotton, 4% spandex; made in USA; runs small."
B0008JFAYY,Wrangler Big Girls' Original Fit Jeans,"Wrangler jeans with regular or slim fit, snap waist, zipper fly, authentic five-pocket design, signature ""W"" back stitching, and 100% cotton construction, official rodeo competition jeans."
B0009DK8ZU,Speechless Girls' Lace Sparkle Waist Party Dress,"Sleeveless glitter lace and mesh fit-and-flare party dress with jewel embellishments at waist, made from 95% polyester and 5% spandex."
B0009GBLBM,Jerzees 973B Youth 8 oz. 50/50 Sweatpants,"8.0 oz., 50/50 cotton/polyester sweatpants with no side seams, double-needle covered waistband, and elastic bottom leg openings. NuBlend pill-resistant fleece with high stitch density for smooth printing."
B0009GHLFC,Bella Big Girls 1x1 Baby Rib Short-Sleeve Crew Neck Tee T-Shirt B9001,"100% cotton (5.8 oz) girls' short-sleeve tee in contoured fit with capped sleeves, 1x1 baby rib knit, and sideseams."
B0009PD88C,Lee Jeans Big Girls'  Carpenter Jean,"Non-stretch carpenter jeans with hammer loop and pliers pocket details, made from midweight denim."
B0009SUR3S,Derek Heart Girls' Drop Shoulder L/SLV Exposed Zip Hi-Low Hem Hoodie+ Kangaroo Pkt & Chest,"Cotton-polyester hoodie with exposed zipper, kangaroo pocket, drop shoulders, hoodie, and screen print. Machine washable."
B0009SUR56,Derek Heart Girls' Drop Shoulder L/SLV Exposed Zip Hi-Low Hem Hoodie+ Kangaroo Pkt & Chest,"Stylish long sleeve hoodie with drop shoulders, exposed zip, hi-low hem, kangaroo pockets, and a chest print. Made from a cotton-polyester blend, this imported hoodie features a contrasting zipper and is machine washable."
B0009YL20E,"Tuga Girls Long Sleeve Rash Guards 1-14 Years, UPF 50+ Sun Protection Swim Shirt","TUGA GIRLS RASH GUARDS are UV protection apparel for girls with a solid and print design. They offer high neck style for sun protection and are available in a wide range of sizes. The fabrics are 50+ UPF, blocking 98% of UV rays. Tuga Sunwear is skin and reef safe, and guarantees 100% product satisfaction."
B000A0LRCK,Capezio Girls' Ultra Soft Transition Tight,"Seamless, ultra-soft dance tight with convertible foot opening, ideal for all dance genres. Made from a blend of Tactel Nylon and Spandex, it provides comfort and performance. One size fits most (2-6), with an optional larger size (8-12) available."
B000AA5GGS,Girls KID Collection Exquisite Satin Communion Dress,"Elegant dress featuring a satin bodice with intricate appliqués, a detachable bow on the back, and a full-length satin skirt. Perfect for special occasions such as communion or flower girl ceremonies. Made in the USA with 70% polyester and 30% acetate. Hand wash only."
B000B5U75C,Danskin Girls' Microfiber Footed Tights,"Microfiber footed tights for girls with a soft and smooth nylon-spandex blend, semi-opaque finish, no-roll waist, Coolmax gusset, and versatility for dance or daily wear."
B000B5U5FE,Danskin Girls' Shimmery Footed Tight,"Shimmery footed tights enhance performances for cheer, color guard, and costumes."
B000BLHS5I,Bonnie Jean Little Girls' Fuschia With White Dots Flower Applique Sundress,"Floral appliqué sundress in fuchsia with white dots, featuring ribbon trim for a special occasion."
B000BRWO3I,Soffe Big Girls' Dri Knicker,"Junior compression-fit leggings with a 15.5"" inseam, featuring a Soffe dri waistband, contrast side inserts, and flat lock seams to minimize chafing. Made from 92% polyester and 8% spandex for a comfortable stretch."
B000BYOEUC,Private Label Sleepwear - Little Girls' 2-Piece Pajama Set,"Girls' 2-piece pajama set featuring a racerback top with ""Key West"" graphic and satiny bloomers with cargo pockets and elastic waist and legs. 100% polyester; machine washable."
B000E4JYRW,Danskin Girls Student Footed Tight,"Smooth-fitting footed tights with comfort waistband, ideal for student dancers or cheerleading, available in Theatrical Pink or Ballet Pink."
B000EAQ352,Danskin Little Girls' Nylon Long Sleeve Leotard,"Versatile long sleeve leotard for cheer or dance, made from high-performance fabric for flexibility, moisture-wicking, and a compression fit. Wear alone or layer for warmth or style. Machine washable and dryer safe."
B000ENN12W,Danskin Little Girls' Tank Leotard Top,"High-performance tank leotard for active youth, featuring moisture-wicking fabric for flexibility and confident coverage in dance, cheer, or gymnastics."
B000ENN3SO,Bloch Kids Womens Endura Footed Tight (Toddler/Little Kids/Big Kids),Kids' footed tight with a soft waistband and a nylon gusset in a stretchy and durable fabric.
B000ENT6PS,Danskin Girls' Fishnet Tight,"Classic fishnet dance tights made from durable nylon and spandex, providing comfort and shape retention. Suitable for performances or costumes, machine washable on delicate cycle."
B000ERBAZS,KID Collection Girls Dreamy Ivory Tan Puff Skirt Dress 2 (kid 1144),"Satin bodice with sash waistband and flower bow, organza skirt, fully lined with built-in slip, zippered and tie sash back for adjustable fit."
B000ERD7MW,KID Collection Girls Dreamy Ivory Tan Puff Skirt Dress 8 (kid 1144),"Stylish satin tank top dress with a wide sash waistband, removable flower bow, and fluffy organza skirt. Fully lined with a built-in slip, back zippered sash, and tie sash for a customized fit."
B000FE06TQ,Enterprise Pack by Mountain Hardwear,"Rugged city daypack with padded laptop and electronics pockets, Cordurareg; construction, air mesh back panel, and S-Curve shoulder straps for maximum durability and comfort during daily commutes and adventures."
B000FGAW7A,Chilly Lilly - Little Girls' Mid Weight Jacket,"Girls' mid-weight khaki jacket with zip front, front pockets, faux fur trim, and zip-out hood; nylon shell, poly fill and lining; machine wash, tumble dry."
B000FGCQFG,Private Label - Little Girls Long Sleeved Turtleneck Top,"Long-sleeved toddler girls' turtleneck top with striped metallic threading, back snaps, and a blend of cotton, poly, spandex, and Lurex metallic."
B000FGHUUC,NY Girls.com - Little Girls 2 Piece Pant Set,"2-piece toddler girl's pant set with full elastic waistband and silver detailing, made from machine-washable 100% cotton."
B000FPVZ36,Backflips - Little Girls' Wetsuit Style Rashguard,"Girls' black and royal wetsuit with zip front, UV protection, stretch fabric, and a tight fit. Made of 85% nylon and 15% spandex. Hand wash and line dry. True to size."
B000FRSIH0,KC Parker Big Girls' Stretch Seersucker Short,"Seersucker girls' shorts with scalloped edges, ribbon piping, slit pockets, adjustable waistband, and zip and hook-and-bar closure. Made from 97% cotton and 3% spandex, it's imported and machine washable."
B000G0F8XI,Regatta - Little Girls Plaid Twill Skirt,"Regatta Plaid Twill Skirt for Toddler Girls in Cream/Red/Navy, featuring a logo ribbon trim, side patch pocket, and full elastic waist. Made with 100% cotton, it's machine washable."
B000G8GMMG,Childrens Footed Nylon Tights for Girls,"Run-resistant footed tights made from 100% stretch nylon, available in multiple colors for children sizes 2-14, perfect for dance and costumes."
B000GGO5OU,"Tuga Girls Two-Piece Long Sleeve Swimsuit Set 2-14 Years, UPF 50+ Sun Protection","Two-piece swim sets by Tuga Girls featuring sun protection (UPF 50+), vibrant prints, and comfortable designs for girls ages 2-14. Made from chemical-free fabrics, these sets include a rash guard with high neck and adjustable swim shorts for style, modesty, and UV protection."
B000GHR2B2,Hanes Big Girls Girls Cotton Brief,"6-pack of girls' briefs made of 100% cotton, featuring fun butterfly/floral prints and colors. Colors vary, with the vendor selecting the specific assortment."
B000H3ROM2,Derek Heart Girls' Big Short Sleeve Scoop Neck Dolman Hi-Low Shirt-Tail with Rib Trim,"Scoop neck dolman shirt with rib hem and screen print. Features cap sleeves, hi-low shirt tail, 100% polyester material, and machine wash care."
B000HOOR58,Hanes Toddler Girls Undervest 3 Pack White,"100% cotton, Tagless Hanes Cami in white and pastel solids. Provides warmth as a layering piece."
B000HPLUIE,Kid Collection Girls Satin Tulle Ballerina Dress,Elegant tank top bodice with rhinestone embellishments. Flowy illusion tulle skirt adorned with rhinestone flowers. Adjustable button-up back with pearl detail and tie sash for a perfect fit.
B000I2RLBQ,Baby & Toddler Jean Jackets Boutique Pink,"Classic denim boutique jean jacket for infants and toddlers adorned with Froggie buttons, featuring a unique four-rib back panel and embroidered Froggie logo. Available lined or unlined, in sizes ranging from 9-12 to 4T."
B000I9QB60,Capezio Girls' Ultra Soft Transition Tight,"Convertible-foot Capezio dance tights in ultra-soft Tactel yarn for unparalleled comfort, ideal for various dance styles, one size (2-6)."
B000IEC9D4,Kid Collection Girls' Princess Tulle Dress,"Kid Collection: Designer special occasion apparel for girls, featuring stunning dresses for parties, weddings, communions, and birthdays, made with quality materials and offering both new and staple outfits."
B000J407NW,Hanes Girls' Brief Multipack,9-pack of Hanes cotton briefs with fun butterfly floral prints in assorted colors. Features no-ride-up and tagless designs for comfort.
B000J4083G,Hanes Girls' Brief Multipack,"9-pack Hanes briefs with assorted floral fun prints and colors, tagless and made from 100% cotton."
B000J4294W,Hanes Girls' Brief Multipack,9-pack Hanes briefs with fun butterfly floral prints and colors.
B000J429MY,Hanes Girls' Bikini Multipack,Assorted prints and colors in a pack of 9 Hanes brand bikini underwear made from 100% cotton with a pull-on closure and tagless design.
B000J429LU,Hanes Girls' Bikini Multipack,9-pack assorted print cotton bikini underwear with pull-on closure and tagless design.
B000J65UBY,Western Chief Girls 2-6x Ladybug Raincoat,"Western Chief's Ladybug rain coat for girls offers durability, waterproofing, and comfort with a moisture-absorbent lining and adorable ladybug design, making rainy days enjoyable."
B000J68WDC,"Western Chief Girls' Pink Kitty Raincoat,","Western Chief Kids offers a wide range of waterproof shoes and accessories designed for children in all weather conditions, including indoor slippers featuring cheerful characters."
B000JD10ZM,Baby and Toddler Girls Boutique Pink Bib Overall Shorts,"Baby overalls shorts in pink or blue, made of soft cotton for comfort and durability during playtime activities. Features the brand's signature frog embroidery and complements their denim jackets, overalls, and cargo pants. Available in various sizes ranging from 6-9 to 4T."
B000JL0BVI,Carhartt Girls' Force Camo Quarter Zip Tee,"Long sleeve quarter zip tee with flounce hem, thumbholes, fast dry technology, and screen printed Carhartt logos."
B000JRBHAQ,Mulberribush - Little Girls' Long Sleeved Turtleneck,"Girls' long-sleeved turtleneck with foldover neck, stretch fabric, mini stripes, 90% cotton, 10% Lycra, made in the USA."
B000JWPX42,Good Lad Toddler Girls Cream Knit Top And Tiered Skort Set,"Bohemian Denim Paisley Scooter Skirt Set with embroidered floral white shirt and alternating flower print denim skirt, featuring elastic waist and attached shorts for easy wear. Made from 100% cotton, machine washable for easy care."
B000KEJXCC,Mulberribush - Little Girls' Long Sleeved Tee,"Mulberribush Girls' Long Sleeve Tee:
- White with ribbed neck and cuffs
- Features ""Prima Ballerina"" graphic
- 100% Cotton
- Machine Washable"
