title,features,description,asin,imageurl,imageURLHighRes,category
Timberland Field Lace-Up Boot (Toddler/Little Kid/Big Kid),"Clothing, Shoes & Jewelry
Girls
Shoes
Boots
","The Timberland Scuff Proof Field Boot Toddler takes Timberland Kids' Leather and Fabric to the next level, enhancing waterproof scuff proof leather for extra protection against abrasions. With D-ring lacing hardware and a padded collar that matches the outsole, these rugged boots feature a sleek design that kids will love to match with their everyday clothes as well as their play clothes. An EVA footbed on this Timberland Scuff Proof Field Boot Toddler offers all-day cushioning and shock absorption, perfect for long play sessions outside.
Timberland knows a thing or two about designing the perfect outdoor shoe, and the Field boot is no exception. A durable leather and synthetic upper protects their little feet from whatever life throws their way, while the thickly tractioned sole ensures steady feet on unsteady surfaces.
",B000073R5V,"['https://images-na.ssl-images-amazon.com/images/I/51YLaG%2BsWBL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41RDiFPDbkL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41AJYf3O-jL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51wWVcibQoL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bw1O87WIL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41tmRa0BSoL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ze9gsMjmL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41f7mamQgAL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4172w5ta6ZL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51apTCX648L._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41AyzzYHT0L._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41UIbfjvhCL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51CkSO3UpuL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DfYbfFVoL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51CkSO3UpuL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4107tYbj2wL._SS47_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/51YLaG%2BsWBL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41RDiFPDbkL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41AJYf3O-jL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51wWVcibQoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bw1O87WIL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41tmRa0BSoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ze9gsMjmL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41f7mamQgAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4172w5ta6ZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51apTCX648L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41AyzzYHT0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41UIbfjvhCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51CkSO3UpuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DfYbfFVoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51CkSO3UpuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4107tYbj2wL.jpg']",Girls Shoes
Timberland Field Lace-Up Boot (Toddler/Little Kid/Big Kid),"100% Leather
Imported
Synthetic sole
Shaft measures approximately 4"" from arch
Platform measures approximately 1
T-toe hiker in premium full grain leather with breathable mesh inlays and antiqued D-ring hardware
Durable Taslan laces
Padded collar for comfortable fit at ankle
Breathable textile lining
Durable, non-marking rubber outsole with lugs
Product Dimensions:
                    
5 x 5 x 0.7 inches
Shipping Weight:
                    
2 pounds (View shipping rates and policies)
","The Timberland Scuff Proof Field Boot Toddler takes Timberland Kids' Leather and Fabric to the next level, enhancing waterproof scuff proof leather for extra protection against abrasions. With D-ring lacing hardware and a padded collar that matches the outsole, these rugged boots feature a sleek design that kids will love to match with their everyday clothes as well as their play clothes. An EVA footbed on this Timberland Scuff Proof Field Boot Toddler offers all-day cushioning and shock absorption, perfect for long play sessions outside.
Timberland knows a thing or two about designing the perfect outdoor shoe, and the Field boot is no exception. A durable leather and synthetic upper protects their little feet from whatever life throws their way, while the thickly tractioned sole ensures steady feet on unsteady surfaces.
",B000087S01,"['https://images-na.ssl-images-amazon.com/images/I/51YLaG%2BsWBL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41RDiFPDbkL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41AJYf3O-jL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51wWVcibQoL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bw1O87WIL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41tmRa0BSoL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ze9gsMjmL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41f7mamQgAL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4172w5ta6ZL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51apTCX648L._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41AyzzYHT0L._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41UIbfjvhCL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51CkSO3UpuL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DfYbfFVoL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51CkSO3UpuL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4107tYbj2wL._SS47_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/51YLaG%2BsWBL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41RDiFPDbkL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41AJYf3O-jL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51wWVcibQoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bw1O87WIL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41tmRa0BSoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ze9gsMjmL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41f7mamQgAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4172w5ta6ZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51apTCX648L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41AyzzYHT0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41UIbfjvhCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51CkSO3UpuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DfYbfFVoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51CkSO3UpuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4107tYbj2wL.jpg']",Girls Shoes
zephz Butterfly Lo Cheerleading Shoe Kids,"Hi-quality synthetic upper, Rubber outsole, EVA midsole.
Color Inserts Included: Red, Blue, Yellow, Orange, Green, Maroon, Purple, Black, Brown and Navy
Zebra Print in Yellow, White, Red, Blue, Orange, and Green
","Customize your Zephz cheerleading shoes with the pick-A-color inserts! Stunt edge sole for comfortable grip. Lightweight synthetic upper. Foam cushioned EVA midsole. Rubber outsole. Weight: 8.5 oz.
",B0000A4FCF,['https://images-na.ssl-images-amazon.com/images/I/519T98HTbjL._SS40_.jpg'],['https://images-na.ssl-images-amazon.com/images/I/519T98HTbjL.jpg'],Girls Shoes
K-Swiss 801 Classic Tennis Shoe (Big Kid),"100% Leather
Rubber sole
Heel measures approximately 1""
Full-grain leather upper
D-Ring lacing system for adjustable, secure fit
Breathable, odor-resistant, removable insole
The original K-Swiss leather tennis shoe, a classic since 1966
Product Dimensions:
                    
11 x 8 x 5 inches
Shipping Weight:
                    
1.25 pounds (View shipping rates and policies)
","The kid's Classic Leather casual tennis shoes from K-Swiss boast a full-grain leather upper with a D-ring lacing system, for an adjustable, secure fit. The breathable, odor-resistant, removable insole offers comfortable wear.
They’re on the go and into their own style, and the K-Swiss Classic tennis shoe suits them perfectly. Non-fussy detailing, including a leather upper with subtle toned stitching, delivers understated style, and it’s lightweight, so they’ll be looking and feeling great all day long.
",B0000A50X8,"['https://images-na.ssl-images-amazon.com/images/I/41EC62D3MHL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bXY98t7IL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41eM2h0JRYL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41pnH-HAhuL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LtxND%2BvEL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41mIOjwhsVL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31RcQbXYJTL._SS47_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41EC62D3MHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bXY98t7IL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41eM2h0JRYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41pnH-HAhuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LtxND%2BvEL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41mIOjwhsVL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31RcQbXYJTL.jpg']",Girls Shoes
"Timberland Kids' 6"" Premium Waterproof Boots for Toddlers","Synthetic
Made in USA or Imported
Synthetic sole
Shaft measures approximately 4.75"" from arch
KID-SIZED: These kids' waterproof boots are inspired by the original Timberland boots, with the same rugged outdoor styling & hard-wearing construction. These are built to protect kids' feet through puddles, rain, mud & whatever else gets in their way.
LOOK NO FURTHER for trail-ready performance and style. Our selection of kid's hiking boots, waterproof hiking boots, casual boots, and casual shoes is designed to keep your littlest traveler exploring in style.
TIMBERLAND BOOTS are synonymous with quality workmanship. Whether you're looking for mens boots, womens boots, or kids boots, Timberland has you covered. For the best in hiking boots, rain boots, work boots, casual shoes & boots & more, choose Timberland.
WHAT YOU NEED IN THE OUTDOORS: Timberland isn't just for high-quality mens, womens, and kids boots. We have the gear you need for all your outdoor adventures, including jackets and coats for outdoor activities, backpacks and luggage & outdoor accessories.
THE BEST IN OUTDOORS: See how Timberland's line of outdoor wear stacks up to hiking boots and outdoor gear from brands like Columbia, Merrell, Vasque, Oboz, Hi Tec, Doc Martens, Uggs, Muck Boots, Keen, Maelstrom, Justin, Hunter, Bogs, Nike, or Sorel.
Product Dimensions:
                    
5 x 5 x 0.7 inches
Shipping Weight:
                    
12 ounces (View shipping rates and policies)
","These kids' boots are inspired by the original Timberland boots that we began manufacturing nearly 40 years ago. We believe in offering the exact same top-quality leather and sturdy construction in our kids' footwear that we offer in our adult product lines, so you can feel confident that these 100% waterproof boots will protect kids' feet through puddles, rain, mud and whatever else gets in their way.
",B0000AFSX4,"['https://images-na.ssl-images-amazon.com/images/I/41bHcSA0sOL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41eH8TTONcL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/316%2BRrjLtQL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41WYLAij-yL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ElXVHxNeL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41il3b8BggL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41BZOLflQjL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41lFV7SAjPL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Og-q0SBdL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Lspv1PKYL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41K9VNJqRKL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Bh0E1tfcL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ojnbKf7TL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Dx80lihqL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ymZQlNe-L._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41K9VNJqRKL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-dQO6Pa9L._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LWz7akNoL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41sdy5pAi5L._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41cgkj3N5OL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41cgkj3N5OL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ylHcc9X1L._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/515pfdlr4pL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41flFJggl1L._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/517fCc8PFZL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51p9Ayxxt6L._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51jKaLwtaXL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31fiOWbackL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51USil5xepL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/11P305WxeHL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/410lWitY-rL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/418JuKuI3KL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41cgkj3N5OL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51jjsouRILL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41MORZaJaWL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31R6QEzQOjL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/310N1NAYwvL._SS47_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41bHcSA0sOL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41eH8TTONcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/316%2BRrjLtQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41WYLAij-yL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ElXVHxNeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41il3b8BggL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41BZOLflQjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41lFV7SAjPL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Og-q0SBdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Lspv1PKYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41K9VNJqRKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Bh0E1tfcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ojnbKf7TL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Dx80lihqL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ymZQlNe-L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41K9VNJqRKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-dQO6Pa9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LWz7akNoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41sdy5pAi5L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41cgkj3N5OL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41cgkj3N5OL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ylHcc9X1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/515pfdlr4pL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41flFJggl1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/517fCc8PFZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51p9Ayxxt6L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51jKaLwtaXL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31fiOWbackL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51USil5xepL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/11P305WxeHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/410lWitY-rL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/418JuKuI3KL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41cgkj3N5OL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51jjsouRILL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41MORZaJaWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31R6QEzQOjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/310N1NAYwvL.jpg']",Girls Shoes
Smoky Mountain Boots Children Mesquite Boots,"Plastic
Imported
pull-on closure
Silver toe rand
Synthectic
Western toe
Western heel
Rubber Outsole
Product Dimensions:
                    
12 x 8 x 3 inches
Shipping Weight:
                    
5 pounds (View shipping rates and policies)
","Smoky Mountain Boots Basic Western with metal Toe Rand for Children. These boots are quality western boots are made of man made materials and designed to fit the needs for children at an affordable price for parents.
",B0001YJ18M,"['https://images-na.ssl-images-amazon.com/images/I/41knOUxlROL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-Q%2Bb4dj2L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/416-a0BdoNL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Fof7jA3cL._SX38_SY50_CR,0,0,38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41knOUxlROL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-Q%2Bb4dj2L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/416-a0BdoNL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Fof7jA3cL.jpg']",Girls Shoes
Smoky Mountain Girls' Mesquite Western Boot Round Toe - 1837C,"leather-and-synthetic
These boots are very stylish and have a very eye-catching design.
The boots are crafted from superior synthetic leather.
A perfect example of western and modern fashion.
They are very durable and comfortable to wear.
","Smoky Mountain Childs Mesquite II White Boots The Smoky Mountain Children's Mesquite II White Boots are a popular choice among kids. Smoky Mountain truly understands the fashion and comfort needs of today's kids and their collection is a true blend of comfort and style. With a brilliant white design, these boots from smoky mountain look fashionable and can be easily teamed along with casual as well as semi casual outfits. Crafted from long lasting synthetic leather they are ideal for everyday use. Children's sizes 8.5 - 3 Product Features: These boots are very stylish and have a very eye-catching design. The boots are crafted from superior synthetic leather. A perfect example of western and modern fashion. They are very durable and comfortable to wear. Item Specifications: Color: White Material: Man-made synthetic Toe: Western
",B0001YJ0YC,"['https://images-na.ssl-images-amazon.com/images/I/31AiSdyK9DL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31xIxA-0sHL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41I1sFmFWCL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41rqDAjF13L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41vPDHmnzgL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Kd1YuhpoL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41z-IVPcBOL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41D33QmPNEL._SS36_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/31AiSdyK9DL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31xIxA-0sHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41I1sFmFWCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41rqDAjF13L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41vPDHmnzgL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Kd1YuhpoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41z-IVPcBOL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41D33QmPNEL.jpg']",Girls Shoes
Smoky Mountain Girls' Mesquite Western Boot Round Toe - 1837C,"leather-and-synthetic
These boots are very stylish and have a very eye-catching design.
The boots are crafted from superior synthetic leather.
A perfect example of western and modern fashion.
They are very durable and comfortable to wear.
","Smoky Mountain Childs Mesquite II White Boots The Smoky Mountain Children's Mesquite II White Boots are a popular choice among kids. Smoky Mountain truly understands the fashion and comfort needs of today's kids and their collection is a true blend of comfort and style. With a brilliant white design, these boots from smoky mountain look fashionable and can be easily teamed along with casual as well as semi casual outfits. Crafted from long lasting synthetic leather they are ideal for everyday use. Children's sizes 8.5 - 3 Product Features: These boots are very stylish and have a very eye-catching design. The boots are crafted from superior synthetic leather. A perfect example of western and modern fashion. They are very durable and comfortable to wear. Item Specifications: Color: White Material: Man-made synthetic Toe: Western
",B00020SHRG,"['https://images-na.ssl-images-amazon.com/images/I/31AiSdyK9DL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31xIxA-0sHL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41I1sFmFWCL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41rqDAjF13L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41vPDHmnzgL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Kd1YuhpoL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41z-IVPcBOL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41D33QmPNEL._SS36_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/31AiSdyK9DL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31xIxA-0sHL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41I1sFmFWCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41rqDAjF13L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41vPDHmnzgL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Kd1YuhpoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41z-IVPcBOL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41D33QmPNEL.jpg']",Girls Shoes
Smoky Mountain Girls' Mesquite Western Boot Round Toe White 1.5 D,"leather-and-synthetic
Synthetic sole
Full-Grain Leather
Round toe
Rubber outsole
You can return this item for any reason and get a full refund: no shipping charges. The item must be returned in new and unused condition.
Read the full returns policy
Go to Your Orders to start the return
Print the return shipping label
Ship it!
Product Dimensions:
                    
16 x 7 x 5 inches
Shipping Weight:
                    
2 pounds (View shipping rates and policies)
","Look great in these Smoky Mountain Girls' Mesquite Western Boots. These boots are made from a full-grain leather and have a round toe. They have a rubber outsole. These boots feature pull tabs and are finished with a western heel. Wear with jeans for a traditional western style.
",B00022OZV6,['https://images-na.ssl-images-amazon.com/images/I/412-5f51iqL._US40_.jpg'],['https://images-na.ssl-images-amazon.com/images/I/412-5f51iqL.jpg'],Girls Shoes
Merrell Allout Blaze Aerosport Girls Hiking Sneakers/Shoes,"Synthetic
Rubber sole
Merrell Allout Blaze Aerosport Girls Hiking Trainers
Merrell
Money back satisfaction guarantee
Package Dimensions:
                    
10.9 x 8.1 x 4.3 inches
Shipping Weight:
                    
1.23 pounds
","Merrell Allout Blaze Aerosport Girls Hiking Trainers / Shoes - The fastest way to the top, this speed hiking shoe attacks terrain while allowing fluid, natural motion that responds to every contour for rapid agility. Its ventilated mesh upper is made for hot temperatures and forging creeks, moulding to your feet while keeping them cool and dry. Fuel efficiency comes from the energy-converting Unifly midsole that connects and protects over rough ground.UPPER / LINING: Velcro strap to fasten. Bellows tongue keeps debris out. Moulded TPU heel counter for added stability. Breathable mesh lining treated with M Select FRESH reduces shoe odour. MIDSOLE / OUTSOLE. UniFly midsole connects you to the trail, protects you from the terrain. 5mm lug depth. Vibram outsole. Vegan friendly footwear.
",B0002MB3MK,"['https://images-na.ssl-images-amazon.com/images/I/51MXJhENB0L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51sbVy8haXL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41vXfHmyYeL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Y2k7hwHKL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41aWBsvs6kL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41W70%2B7PScL._US40_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/51MXJhENB0L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51sbVy8haXL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41vXfHmyYeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Y2k7hwHKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41aWBsvs6kL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41W70%2B7PScL.jpg']",Girls Shoes
