reviewText,summary,rating,asin
Ordered for a Christmas Gift for a friend. But product looks fine. But Timberland does not make a wide enough width for my feet.,HECTOR,3.0,B000073R5V
I love these boots they are perfect for my six year old. They are durable and I love the darker color so the dirt does not show as much. The price was great and shipping was fast,Love the boots,5.0,B000073R5V
this is a great product.  i would buy this product again.  i have no regrets on making this purchase.  dj,nice boots,5.0,B000073R5V
"These are perfectly comfortable, I have had these boots before, so I knew I could not go wrong and the price was within my budget. I wear a ladies 5.5-6 and the 4.5 big kids fit great!",Boots just as described,5.0,B000073R5V
THE SHOES WERE DELIVERED SO MUCH EARLIER THAN THE EXPECTED DATE.  GREAT JOB!  MY SON LOVES IT SO MUCH FOR THE COMFORTNESS AND SHOWING OFF HIS BOOTS TO EVERYONE HE KNOWS.  NO REGRETS AT ALL AND WORTH BUYING!,WORTH BUYING,5.0,B000073R5V
I have always respected Timberland products. Not this time. This shoe came with nearly nothing inside for support or padding. There was very little to it but shell.,not the timberland I thought I knew,1.0,B000073R5V
"just love these boots. needed a plain black pair.. didn't want a heavy boot or a ridiculous price. so of course i went to Amazon and looked for timberland boots. my favorite place to shop and my favorite boot manufacturer. got a great price- fast delivery and a pair of boots in perfect condition. very happy with this purchase. i am a womens size 7= a 5.5 big kid in almost all timberlands. this is the only place that gives me the 3 things i need when buying tims, size,variety of design and prices i love! best part is i can shop in my pajamas :)",great light-weight boot,5.0,B000073R5V
The timberland field boots are wonderful.  They are very comfortable and can be worn with any casual outfit.  I own several pairs and I think they are the best Timberland boots made ever.  You won't feel disappointed if you spend your money on these boots.  They are worth it.,Stylish boots,5.0,B000073R5V
Perfect,Five Stars,5.0,B000073R5V
,Great,5.0,B000073R5V
They are true to size. Very stylish. My grandson loves them,Four Stars,4.0,B000073R5V
great buy. great price.,great,5.0,B000073R5V
they are good and have lasted well to abuse.  the size 5.5 regular tan/yellow timberland boots fit me perfectly.  these however were a bit shorter and smaller overall.,they are good and have lasted well to abuse,3.0,B000073R5V
Nice,Five Stars,5.0,B000073R5V
i love it,Five Stars,5.0,B000073R5V
"Perfect fit. I have trouble finding small sizes. I am an adult and most small sizes for kids won't work. Too many styles that might fit, usually have drawbacks like butterflies or lights.",Perfect fit. I have trouble finding small sizes,5.0,B000073R5V
Very adorable but VERY UNDERSIZED. MADE WELL I JUST NEED A 6.5 NOW AS THESE WONT BE WORN A MONTH THIS SIZE.  TOO BAD. ESPECIALLY FOR 44.00,UDERSIZED!!!,1.0,B000073R5V
Received two different size shoes and they are both for the right foot...total fail. I'll consider changing my review pending the return/exchange process.,Such a fail.,1.0,B000073R5V
Awesome!!,Awesome!!,5.0,B000073R5V
They firs my daughter perfectly. We took her on a long hike and Shen had no complaints!,Perfect Fit,5.0,B000073R5V
Awesome little boot just too small error on my part,Five Stars,5.0,B000073R5V
GREAT!,Five Stars,5.0,B000073R5V
I bought these for my 4 year old for school...he loves kicking rocks...these shoes last him the entire school year aND they still look brand new...I just polish them daily....I'm going to buy a second pair since he out grew them....also they are very light....,I bought these for my 4 year old for school ...,5.0,B000073R5V
Ok,Five Stars,5.0,B000073R5V
I feel like I'm from BK every time I wear these.,Where brooklyn at?!,5.0,B000073R5V
Very nice,Five Stars,5.0,B000073R5V
My grandson loves his little boot. They fit him perfect and delivery was quicker than expected.,He Loves Them,5.0,B000073R5V
"Not happy at all. I though I ordered a size 2 and i got a size 4.. I only had a certain number of days to return the boots 5 to be exact. I wasn't able to return them in that time frame, not only did I have that short amount of time I also had to pay to ship them back!!",Upset!!!,1.0,B000073R5V
Love these but I ordered to big ,Three Stars,3.0,B000073R5V
Perfect fit,Five Stars,5.0,B000073R5V
"My son tries to wear these everyday, he loves them",Five Stars,5.0,B000073R5V
Great pair of boots and my son loves them!,Five Stars,5.0,B000073R5V
Kids love these boots.,Five Stars,5.0,B000073R5V
Great and accurate. Fast shipment! Will buy again!,Five Stars,5.0,B000073R5V
Very pleased!,Five Stars,5.0,B000073R5V
Great shoes. I ordered size 2 for my 8 year old son and he loves them. Very cute and comfy and perfect for snow.,Great shoes,5.0,B000073R5V
Fast delivery. Style as expected,Great!,5.0,B000073R5V
Great,Five Stars,5.0,B000073R5V
I do believe these were refushied boots they didn't have that fresh boot smell they came in a reg timberland box but no paper inside the box or shoes like it will be when you purchase at the store and they came like they were wore but wasn't so I don't have a issue of ordering on line but they need to make sure they product looks good so you can order again but of course I won't watch what you buy off line,Kids size 2,3.0,B000073R5V
That boots was to to too small because this size that you send to me was for baby and I order size 8.5 for men no for baby,That boots was to to too small because this size ...,1.0,B000073R5V
I got them a 7 thinking they would be cut small . But I love hem thank you .,But I love hem thank you,5.0,B000073R5V
great price great product,amazing price,5.0,B000073R5V
My son loves them!,Five Stars,5.0,B000073R5V
"My son is extremely rough on shoes! These were his favorite boots, he wore them everyday to school. They lasted until he grew out of them recently, and they still looked pretty new! He could of went two years if it he didn't grow out of them.","These were his favorite boots, he wore them everyday to school",5.0,B000073R5V
"Love these. I always keep a pair for me and the kids, 4 and 6. They always get compliments on these. They last a while. I was able to use one pair for three years between my two kids, two years apart. They outgrew them and thats the only reason I have bought new ones. I am buying them bigger to last longer for them because they love them. I washed them and they looked great. I have had the same pair for myself for 6 or 7 years. They have a few minor scratches but hold up very very well and still look fairly new for boots.",The boots are stylish and endures toddler havoc easily.,5.0,B000073R5V
Perfect,Five Stars,5.0,B000087S01
,Great,5.0,B000087S01
They are true to size. Very stylish. My grandson loves them,Four Stars,4.0,B000087S01
great buy. great price.,great,5.0,B000087S01
they are good and have lasted well to abuse.  the size 5.5 regular tan/yellow timberland boots fit me perfectly.  these however were a bit shorter and smaller overall.,they are good and have lasted well to abuse,3.0,B000087S01
Nice,Five Stars,5.0,B000087S01
i love it,Five Stars,5.0,B000087S01
"Perfect fit. I have trouble finding small sizes. I am an adult and most small sizes for kids won't work. Too many styles that might fit, usually have drawbacks like butterflies or lights.",Perfect fit. I have trouble finding small sizes,5.0,B000087S01
Very adorable but VERY UNDERSIZED. MADE WELL I JUST NEED A 6.5 NOW AS THESE WONT BE WORN A MONTH THIS SIZE.  TOO BAD. ESPECIALLY FOR 44.00,UDERSIZED!!!,1.0,B000087S01
Received two different size shoes and they are both for the right foot...total fail. I'll consider changing my review pending the return/exchange process.,Such a fail.,1.0,B000087S01
Awesome!!,Awesome!!,5.0,B000087S01
They firs my daughter perfectly. We took her on a long hike and Shen had no complaints!,Perfect Fit,5.0,B000087S01
Awesome little boot just too small error on my part,Five Stars,5.0,B000087S01
GREAT!,Five Stars,5.0,B000087S01
I bought these for my 4 year old for school...he loves kicking rocks...these shoes last him the entire school year aND they still look brand new...I just polish them daily....I'm going to buy a second pair since he out grew them....also they are very light....,I bought these for my 4 year old for school ...,5.0,B000087S01
Ok,Five Stars,5.0,B000087S01
I feel like I'm from BK every time I wear these.,Where brooklyn at?!,5.0,B000087S01
Very nice,Five Stars,5.0,B000087S01
My grandson loves his little boot. They fit him perfect and delivery was quicker than expected.,He Loves Them,5.0,B000087S01
"Not happy at all. I though I ordered a size 2 and i got a size 4.. I only had a certain number of days to return the boots 5 to be exact. I wasn't able to return them in that time frame, not only did I have that short amount of time I also had to pay to ship them back!!",Upset!!!,1.0,B000087S01
Love these but I ordered to big ,Three Stars,3.0,B000087S01
Perfect fit,Five Stars,5.0,B000087S01
"My son tries to wear these everyday, he loves them",Five Stars,5.0,B000087S01
Great pair of boots and my son loves them!,Five Stars,5.0,B000087S01
Kids love these boots.,Five Stars,5.0,B000087S01
Great and accurate. Fast shipment! Will buy again!,Five Stars,5.0,B000087S01
Very pleased!,Five Stars,5.0,B000087S01
Great shoes. I ordered size 2 for my 8 year old son and he loves them. Very cute and comfy and perfect for snow.,Great shoes,5.0,B000087S01
Fast delivery. Style as expected,Great!,5.0,B000087S01
Great,Five Stars,5.0,B000087S01
I do believe these were refushied boots they didn't have that fresh boot smell they came in a reg timberland box but no paper inside the box or shoes like it will be when you purchase at the store and they came like they were wore but wasn't so I don't have a issue of ordering on line but they need to make sure they product looks good so you can order again but of course I won't watch what you buy off line,Kids size 2,3.0,B000087S01
That boots was to to too small because this size that you send to me was for baby and I order size 8.5 for men no for baby,That boots was to to too small because this size ...,1.0,B000087S01
I got them a 7 thinking they would be cut small . But I love hem thank you .,But I love hem thank you,5.0,B000087S01
great price great product,amazing price,5.0,B000087S01
My son loves them!,Five Stars,5.0,B000087S01
"My son is extremely rough on shoes! These were his favorite boots, he wore them everyday to school. They lasted until he grew out of them recently, and they still looked pretty new! He could of went two years if it he didn't grow out of them.","These were his favorite boots, he wore them everyday to school",5.0,B000087S01
"Love these. I always keep a pair for me and the kids, 4 and 6. They always get compliments on these. They last a while. I was able to use one pair for three years between my two kids, two years apart. They outgrew them and thats the only reason I have bought new ones. I am buying them bigger to last longer for them because they love them. I washed them and they looked great. I have had the same pair for myself for 6 or 7 years. They have a few minor scratches but hold up very very well and still look fairly new for boots.",The boots are stylish and endures toddler havoc easily.,5.0,B000087S01
