title,features,description,asin,imageurl,imageURLHighRes,category
Timex Girls Time Machines Analog Elastic Fabric Strap Watch,"Made in USA and Imported
Easy-to-Read Dial with Minutes Marked for Learning
Fun Rotating Graphics as Second Hand
Adjustable and Washable Elastic Fabric Strap
Acrylic Safety Crystal Protects the Quartz Analog Display
Water resistant to 30 m (99 ft): In general, withstands splashes or brief immersion in water, but not suitable for swimming
Timex Kids Loss protection Plan (Available in North America and U.K.)
You can return this item for any reason and get a full refund: no shipping charges. The item must be returned in new and unused condition.
Read the full returns policy
Go to Your Orders to start the return
Print the return shipping label
Ship it!
2017 Tillywig Brainchild Award
Summer 2017 Academics Choice Smart Media Award
2017 National Parenting Product Award
Creative Child Magazine 2017 Kids Products of the Year Award
Creative Child Magazine 2017 Seal of Excellence Award
2018 Tillywig Brainchild Award
Product Dimensions:
                    
3.5 x 0.2 x 3 inches
Shipping Weight:
                    
2.24 ounces (View shipping rates and policies)
","Get along swimmingly in this adorable Timex; watch! Resin case. Elastic strap with sea-life pattern. Round face. Three-hand analog display with quartz movement. Dial features pink and blue-tone hands and hour markers, minute track, and Timex detailing. Water resistant. Display case included. Imported. Measurements: Case Height: 28 mm Case Width: 28 mm Case Depth: 9 mm;5 in Band Circumference/Length: 9 in Weight: 0.6 oz
",B0000TIKK8,"['https://images-na.ssl-images-amazon.com/images/I/21zSGJzK2bL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/516%2B31HlXZL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41TK1vcF1rL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Ucsxb8SLL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41V3Cwy4ADL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5105VHct39L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ype-NRCSL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Z0Sp59-CL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51LszQ2ouUL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41K3s13cFPL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51VelQWqVeL._SS36_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/21zSGJzK2bL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/516%2B31HlXZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41TK1vcF1rL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Ucsxb8SLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41V3Cwy4ADL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5105VHct39L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ype-NRCSL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Z0Sp59-CL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51LszQ2ouUL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41K3s13cFPL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51VelQWqVeL.jpg']",Girls Watches
Timex T71291 Kids Indiglo Gray Fast Wrap Strap Watch,"Product Dimensions:
                    
1.6 x 3.9 x 2.4 inches
Shipping Weight:
                    
2.88 ounces
","Quartz movement, date display, indiglo night light, black dial, grey hands, nylon strap with velcro, 30 meters water resistance.
",B00021CK7I,"['https://images-na.ssl-images-amazon.com/images/I/21EYCbJYP6L._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/21EYCbJYP6L.jpg'],Girls Watches
Timex Girls Time Machines Analog Elastic Fabric Strap Watch,"Made in USA and Imported
Easy-to-Read Dial with Minutes Marked for Learning
Fun Rotating Graphics as Second Hand
Adjustable and Washable Elastic Fabric Strap
Acrylic Safety Crystal Protects the Quartz Analog Display
Water resistant to 30 m (99 ft): In general, withstands splashes or brief immersion in water, but not suitable for swimming
Timex Kids Loss protection Plan (Available in North America and U.K.)
You can return this item for any reason and get a full refund: no shipping charges. The item must be returned in new and unused condition.
Read the full returns policy
Go to Your Orders to start the return
Print the return shipping label
Ship it!
2017 Tillywig Brainchild Award
Summer 2017 Academics Choice Smart Media Award
2017 National Parenting Product Award
Creative Child Magazine 2017 Kids Products of the Year Award
Creative Child Magazine 2017 Seal of Excellence Award
2018 Tillywig Brainchild Award
Product Dimensions:
                    
3.5 x 0.2 x 3 inches
Shipping Weight:
                    
2.24 ounces (View shipping rates and policies)
","Get along swimmingly in this adorable Timex; watch! Resin case. Elastic strap with sea-life pattern. Round face. Three-hand analog display with quartz movement. Dial features pink and blue-tone hands and hour markers, minute track, and Timex detailing. Water resistant. Display case included. Imported. Measurements: Case Height: 28 mm Case Width: 28 mm Case Depth: 9 mm;5 in Band Circumference/Length: 9 in Weight: 0.6 oz
",B0000TIKK8,"['https://images-na.ssl-images-amazon.com/images/I/21zSGJzK2bL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/516%2B31HlXZL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41TK1vcF1rL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Ucsxb8SLL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41V3Cwy4ADL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5105VHct39L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ype-NRCSL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Z0Sp59-CL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51LszQ2ouUL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41K3s13cFPL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51VelQWqVeL._SS36_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/21zSGJzK2bL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/516%2B31HlXZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41TK1vcF1rL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Ucsxb8SLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41V3Cwy4ADL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5105VHct39L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ype-NRCSL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Z0Sp59-CL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51LszQ2ouUL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41K3s13cFPL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51VelQWqVeL.jpg']",Girls Watches
Timex T71291 Kids Indiglo Gray Fast Wrap Strap Watch,"Product Dimensions:
                    
1.6 x 3.9 x 2.4 inches
Shipping Weight:
                    
2.88 ounces
","Quartz movement, date display, indiglo night light, black dial, grey hands, nylon strap with velcro, 30 meters water resistance.
",B00021CK7I,"['https://images-na.ssl-images-amazon.com/images/I/21EYCbJYP6L._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/21EYCbJYP6L.jpg'],Girls Watches
Timex Kids' T78061 Digital Watch,"Quartz movement
Not water resistant
Product Dimensions:
                    
3 x 3 x 3 inches
Shipping Weight:
                    
3.2 ounces
","This Timex Watch (but not any battery, crystal, band, or strap) is warranted to the owner for a period of ONE YEAR from the date of purchase against defects in manufacture by Timex Corporation. Timex will not repair defects relating to servicing not performed by Timex Corporation. This limited warranty applies to US Customers.
The Timex T78061 Youth digital watch is reliable, durable, and readable in the dark, thanks to the integrated Indiglo night-light, but it's also flat-out fun to wear. It features an easily readable digital display with large, recognizable icons for the chrono, alarm, and timer functions, and a comfortable elastic fabric strap (for better dirt and stain resistance) with a rocket ship against a black base. This watch also offers water resistance to 30 meters (99 feet), 12/24-hour time, durable translucent blue resin case, large function buttons, and Timex's unique Kids Loss Protection Plan. It's recommended for children ages 6 and older.
The Indiglo night-light uniformly lights the surface of the watch dial using patented blue electroluminescent lighting technology. It uses less battery power than most other watch illumination systems, enabling your watch battery to last longer. The Night Mode feature allows you to illuminate the Indiglo night-light for 3 seconds with any button press, regardless of the mode or function.
Timex understands that kids often lose things, even their most prized possessions, which is why this watch is covered by the Timex Kids Loss Protection Plan. If the watch is lost, Timex will replace it with the same style (or similar if your style is not available) at the price of $10 for up to one year from the original date of purchase, with no questions asked. Details are included in the printed instructions that come with the watch.
",B00093D0TG,"['https://images-na.ssl-images-amazon.com/images/I/310xISLMphL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ig0iC0MlL._SR38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/310xISLMphL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ig0iC0MlL.jpg']",Girls Watches
Timex Kid's watch #T78301,"Case Diameter - 20 MM
Product Dimensions:
                    
1.6 x 3.9 x 2.4 inches
Shipping Weight:
                    
2.4 ounces
","This Timex Watch (but not any battery, crystal, band, or strap) is warranted to the owner for a period of ONE YEAR from the date of purchase against defects in manufacture by Timex Corporation. Timex will not repair defects relating to servicing not performed by Timex Corporation. This limited warranty applies to US Customers.
Nicely sporty and stylish to boot, the Timex T78301 Tween quartz analog watch is a great match for your constantly on-the-go youngster. It features a wide, oval-shaped resin watch case in silver and pink that frames a silvery white dial background with full Arabic numeral display, black hands (with seconds hand), small minute indexes, and a unique pink butterfly pattern that illuminates when the Indiglo function is activated. It also offers water resistance to 30 meters (99 feet), date display at 3 o'clock, and a durable nylon Fast Wrap strap (with Velcro fastener) in pink, silver and black.
The Indiglo night-light uniformly lights the surface of the watch dial using patented blue electroluminescent lighting technology. It uses less battery power than most other watch illumination systems, enabling your watch battery to last longer.
",B0009NUFY4,"['https://images-na.ssl-images-amazon.com/images/I/21C8RHDDoNL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51YFrVJMzWL._SR38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/21C8RHDDoNL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51YFrVJMzWL.jpg']",Girls Watches
Timex Girls T79081 My First Easy Reader Watch with Pink Faux Leather Strap,"Imported
Durable Metal Case with Polished Finish
Imitation Leather Strap with Tonal Stitching
Quartz movement with analog display
Mineral Crystal Protects the Easy-to-Read Analog Dial
Water resistant to 30 m (99 ft): In general, withstands splashes or brief immersion in water, but not suitable for swimming
Timex Kids Loss protection Plan (Available in North America and U.K.)
You can return this item for any reason and get a full refund: no shipping charges. The item must be returned in new and unused condition.
Read the full returns policy
Go to Your Orders to start the return
Print the return shipping label
Ship it!
What's Covered: mechanical and electrical failures during normal use, 100% parts and labor
Get fast repairs or replacements from SquareTrade, an Allstate company
24/7 customer support, free shipping for all repairs, no deductibles or hidden fees
Cancel anytime, full refund in first 30 days, fully transferable with gifts
SquareTrade Protection Plans are only valid for new or Amazon certified refurbished products purchased at Amazon in the last 30 days. By purchasing this Protection Plan you agree to the Protection Plan Terms & Conditions (http://www.squaretrade.com/terms-standard). Your Protection Plan Terms & Conditions will be delivered via email within 24 hours of purchase
What's Covered: mechanical and electrical failures during normal use, 100% parts and labor
Get fast repairs or replacements from SquareTrade, an Allstate company
24/7 customer support, free shipping for all repairs, no deductibles or hidden fees
Cancel anytime, full refund in first 30 days, fully transferable with gifts
SquareTrade Protection Plans are only valid for new or Amazon certified refurbished products purchased at Amazon in the last 30 days. By purchasing this Protection Plan you agree to the Protection Plan Terms & Conditions (http://www.squaretrade.com/terms-standard). Your Protection Plan Terms & Conditions will be delivered via email within 24 hours of purchase
What's Covered: mechanical and electrical failures during normal use, 100% parts and labor
Get fast repairs or replacements from SquareTrade, an Allstate company
24/7 customer support, free shipping for all repairs, no deductibles or hidden fees
Cancel anytime, full refund in first 30 days, fully transferable with gifts
SquareTrade Protection Plans are only valid for new or Amazon certified refurbished products purchased at Amazon in the last 30 days. By purchasing this Protection Plan you agree to the Protection Plan Terms & Conditions (http://www.squaretrade.com/terms-standard). Your Protection Plan Terms & Conditions will be delivered via email within 24 hours of purchase
Product Dimensions:
                    
3.9 x 3.9 x 2 inches
Shipping Weight:
                    
1.76 ounces (View shipping rates and policies)
","Once upon a time children were proud to tell time on their own. This just-for-kids watch will help them on their way, so they can live happily ever afterand on time.

The Timex T79081 My First Timex analog watch is the perfect timepiece complement to more dressy outings. With a more adult design, it has a round, mid-sized silver stainless steel watch case the highly polished bezel that frames a white dial background with easy-to-read Arabic numerals and black baton hands (with pink seconds hand). It also offers water resistance to 30 meters and a pastel pink genuine leather strap.
",B0009NX3F2,"['https://images-na.ssl-images-amazon.com/images/I/21d%2BD6wdx8L._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL._SR38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/21d%2BD6wdx8L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL.jpg']",Girls Watches
Harry Potter Kids' Chasing the Snitch Edition Collectible Watch,"Quality Japanese-Quartz movement
Stainless-steel-case-back case; Blue dial
Water-resistant to 99 feet (30 M)
","A perfect gift for fans of the Harry Potter book and movies series, this clever watch portrays the young wizard himself, in mid-flight on his broomstick, as he chases down the elusive golden snitch. The snitch itself, a prized catch in the wizarding game of Quidditch, is barely visible on the watch dial--that is, until you press the button at the top right. This action causes the snitch to light up in blue and makes it appear to flutter across the dial. The round dial has silvertone hands, including a second hand, but no numbers or indexes to take away from the cool dial image. Instead, the silvertone bezel features small raised dots that serve as hour markers. The dial is housed in a round case that measures about 1 1/2 inches in diameter and features a hypoallergenic stainless steel back. This watch presents on a black genuine leather strap with a smooth tan manmade backing and fastens with a buckle closure. It features Japan quartz movement and is water resistant to 30 meters.
This watch comes packaged in a cool-looking tin embellished with Harry Potter images. Harry himself graces the lid, striking a dramatic pose with his wand. Along the sides are pictures of Hogwarts Castle and of Harry's trusty messenger owl, Hedwig. In a clever design feature, the bottom of the tin is equipped with two coin slots, so that once kids have removed the watch, they can flip the tin over and re-use it as a piggy bank.
Casio
With the launch of its first watch in November 1974, Casio entered the wristwatch market at a time when the watch industry had just discovered digital technology. As a company with cutting-edge electronic technology developed for pocket calculators, Casio entered this field confident that it could develop timepieces that would lead the market.
Today, Casio is focusing its efforts on solar-powered radio-controlled watches: the built-in solar battery eliminates the nuisance of replacing batteries, atomic timekeeping means the users never have to reset the time. Recently, Casio launched a series of Bluetooth watches that sync to the users cell phone to automatically update the time. Casio is always moving time forward.
",B000A2JWDE,"['https://images-na.ssl-images-amazon.com/images/I/31g9NjH71iL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/31g9NjH71iL.jpg'],Girls Watches
Nike Kids' WR0017-411 Triax Junior Watch,"Hecho en EE. UU. o importado
Quartz movement
Water-resistant to 165 feet (50 M)
Package Dimensions:
                    
4.4 x 3.7 x 3.6 inches
Shipping Weight:
                    
5.6 ounces
","Digital time and date display;Adjustable 12- or 24- hour time;Two alarms;Stopwatch;One touch backlighting;Stainless-steel buckle and backplate / Durable;50m water resistance
",B000A8BU8S,"['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL.jpg'],Girls Watches
Harry Potter and the Goblet of Fire HC0216 Flip Top Watch,"Harry Potter and the Goblet of Fire unisex-adult wrist watch with jeweled flip-top feature
Brushed brass finish on carved flip top cover is highlighted with Hogwarts H crest and two philosophers stone jewels at 12:00 and 6:00 watch positions
Watch cover flips open on hinge to reveal a photographic image of Harry Potter, Hermione Granger and Ron Weasley and the Goblet of Fire
Hour, minute and second hands. There are no numerals printed on this watch face. Small brass rounds are placed at each hour position. Faux alligator leather band provides additional design element
Licensed, authentic Warner Brothers Harry Potter watch made by Seiko International
Package Dimensions:
                    
3.7 x 3.3 x 2.1 inches
Shipping Weight:
                    
4.8 ounces
","Harry Potter and the Goblet of Fire unisex-adult wrist watch with jeweled flip-top feature. Brushed brass finish on carved flip top cover is highlighted with Hogwarts H crest and two philosophers stone jewels at 12:00 and 6:00 watch positions. Watch cover flips open on hinge to reveal a photographic image of Harry Potter, Hermione Granger and Ron Weasley and the Goblet of Fire. Hour, minute and second hands. There are no numerals printed on this watch face. Small brass rounds are placed at each hour position. Faux alligator leather band provides additional design element. Licensed, authentic Warner Brothers Harry Potter watch made by Seiko International. Rare and collectible. Licensed, authentic Warner Brothers Harry Potter top quality watch made by Seiko International. Rare and collectible. Watch has original battery which will need to be replaced with a fresh replacement battery should the owner choose to wear the watch.
Casio
With the launch of its first watch in November 1974, Casio entered the wristwatch market at a time when the watch industry had just discovered digital technology. As a company with cutting-edge electronic technology developed for pocket calculators, Casio entered this field confident that it could develop timepieces that would lead the market.
Today, Casio is focusing its efforts on solar-powered radio-controlled watches: the built-in solar battery eliminates the nuisance of replacing batteries, atomic timekeeping means the users never have to reset the time. Recently, Casio launched a series of Bluetooth watches that sync to the users cell phone to automatically update the time. Casio is always moving time forward.
",B000AXUQJW,"['https://images-na.ssl-images-amazon.com/images/I/41VBQWKG7NL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51EDPJJ4G4L._SR38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41VBQWKG7NL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51EDPJJ4G4L.jpg']",Girls Watches
