reviewText,summary,rating,asin
"This one I bought before, but it did not have same efect than the other watch. My girfriend is pretty picky (12 old). And well see needs special stuff...",Nice but not so sexy!,3.0,B0000TIKK8
"This made a GREAT gift for a 6 year old. It is colorful (flowery)and stylish (purple and pink are her fav colors). She was quite excited and didn't want to take it off for night. By the end of the first day, she was telling correct time. It is simple to explain! I'd highly recommend this for any young elementary age female child.",Child is enthusiastic!,5.0,B0000TIKK8
"Hi, I will recommend this timepiece to any child....It's easy to read because a child will easily read the time correctly with all the instructions on the face of the watch.  My young daughter loves it.  Unfortunately, one was taken from her without her knowing, so here I am buying another.  It is REALLY a time teacher!!!
It's also durable and attractive to look at which are pluses...
When the band is dirty, just remove it and wash - it looks as good as new!",Excellent time piece,5.0,B0000TIKK8
The elastic band is great. No help needed to put on. However the time has to be adjusted almost every day. It keeps losing 2-3 minutes.,The elastic band is great. No help needed to put on,2.0,B0000TIKK8
Excellent!!!,Four Stars,4.0,B0000TIKK8
my niece loved this !,Five Stars,5.0,B0000TIKK8
had to buy something small and light-weight to send to Spain as a gift and bought 3 for my nieces there.....they are adorable. The girls loved them and are wearing them daily.,Great little watch for girls and good price for the quality,5.0,B0000TIKK8
"Very cute, daughter very proud.",Cute,5.0,B0000TIKK8
This watch stopped working after only a couple of month.,Didn't live up to Timex reputation.,2.0,B0000TIKK8
My daughter likes it so much. Its really nice,Five Stars,5.0,B0000TIKK8
For this for my 7 year old... she loved it! Adjustable elastic band that can be easily set to fit.. sporty and cool!,she loved it! Adjustable elastic band that can be easily ...,4.0,B0000TIKK8
"my 4yo loved it, she now just knows the time by the hour hand, teaching her about the minute hand as she gets older, but i think this is perfect for her age.","my 4yo loved it, she now just knows the time by ...",5.0,B0000TIKK8
"I really like the clock that comes with this as it seems to be made really well but the watch that comes with the clock was too small for some kids to read and the velcro strap is too small/tight  for wearing. Also, I wished it came with more cards for practice so I wouldn't have to spend extra time making more cards.","Clock is great quality, watch can be too small.",3.0,B0000TIKK8
poor quality > expected better ??,Two Stars,2.0,B0000TIKK8
"Very cute girls watch, I like the butterfly detail on the seconds hand so the butterfly goes around the watch. I returned and reordered because it does not keep the time, it gets behind more than 5min every day. The watch came with the battery running, hopefully that was the problem.",cute but lags behind telling time,2.0,B0000TIKK8
When I received the watch it was already running. Not very happy because there was no telling how long it was running before I got it. Hopefully I won't have to out a battery in it soon.,Running watch,3.0,B0000TIKK8
My 8 year old loves it....she says it comfortable.,Very easy to use to teach time,4.0,B0000TIKK8
"My 6 year old likes it.  I wish the plastic on the watch was scratch resistance, there's a scratch on it that makes it difficult to see the numbers on the watch.",My 6 year old likes it. I wish the ...,3.0,B0000TIKK8
"The clockworked for a good while however, after repeated use of the velcro strap it eventually gave out.",You get what you pay for.,3.0,B0000TIKK8
Just what I was looking for perfect,Five Stars,5.0,B0000TIKK8
This was my 3 year olds favorite gift from her birthday...even though she cant tell time she LOVES it!,Five Stars,5.0,B0000TIKK8
Perfect,Five Stars,5.0,B0000TIKK8
as described very satisfied.,Five Stars,5.0,B0000TIKK8
"This is the 8th Timex kids watch that I have purchased for my 8 kids.  They hold up forever.  I still have the one my oldest (now 22) used to wear.  Each of the kids learned to tell time on these durable and affordable analog watches.  The batteries are readily available at any jeweler or jewelry counter at most discount stores, although the batteries do seem to last for years.  The bands are adjustable and comfortable.  I highly recommend this watch.",The bands are adjustable and comfortable. I highly recommend this watch,5.0,B0000TIKK8
"Watch scratches easily, and the band could have been made more kid friendly.
that said, daughter loves the watch and its a pretty cool concept","Watch scratches easily, and the band could have been made more ...",4.0,B0000TIKK8
Very cute for little girls learning to tell time.,Four Stars,4.0,B0000TIKK8
"This is the perfect watch. I bought it as a present. A ton of children's watches don't have all the numbers, and it makes it difficult when learning how to tell time. This is perfect. All numbers, and something a little girl would love to accessorize.",Adorably perfect gift,5.0,B0000TIKK8
Was super cheap. But Im sad that Timex stopped making kids analog indiglo watches...,Nomore kids analog indiglo,3.0,B0000TIKK8
Perfect for helping my daughter learn how to tell time,"Cute, functional, and educational",5.0,B0000TIKK8
I bought this watch for my niece and she absolutely loved it. This is a good gift for your young kids.,... bought this watch for my niece and she absolutely loved it. This is a good gift for your ...,5.0,B0000TIKK8
"This watch is great for a kid!  It is a fun way to start to learn time.  But, it needs velcro so that the clasp stays closed and the band does not stretch and fall off.",This watch is great for a kid,4.0,B0000TIKK8
"Great! My daughter loves the teaching clock, watch, and the flash cards too! Arrived intact, clean, and looking like they're indeed brand new! Very happy with this purchase!",Great watch and tools,5.0,B0000TIKK8
Gift to grandkids loved watch.,Grandkids loved watch.,5.0,B0000TIKK8
Great teaching watch!,Five Stars,5.0,B0000TIKK8
I bought this watch for my 8 year old daughter about 2 months ago. She thinks that it is nice and pretty and likes how it displays the hours and minutes. She wanted me to give it a 4-star review because the wristband gets dirty very quickly. The shipping was fast and I feel like the price was appropriate.,Nice watch for the price,4.0,B0000TIKK8
"Works great and holds up well! Been kicked around, buried in toy boxes, etc more than it's been on the wrist, but it still looks new and works perfect! The elastic band loosens up on it's own it seems like, but it is going on a tiny wrist and it doesn't loosen enough to fall off...just enough to be annoying for a 4 year old. Highly recommend.",Works great and holds up well,5.0,B0000TIKK8
Way cuter than I thought it was going to be,Very Nice,5.0,B0000TIKK8
Love it. It goes small enough for my childs wrist and is really comfortable,Five Stars,5.0,B0000TIKK8
"It's cute. And the band is stuffy and just stretchy enough. But the metal connector is cheap and ugly looking. Like a spare metal part found in some garage. I guess I expected a buckle. The second half of the watch face says ""to"" as in ""20 minutes to 8 o'clock"". My child isn't learning time that way, and it is confusing to have the minute numbers start at 25 again after the 30 (at 7 where 35 min. would normally be"" The girls liked it otherwise, not worth returning for the price.",Like a spare metal part found in some garage,3.0,B0000TIKK8
"My daughter's lost both their watches. The band is not good for small children. My dad found one of their watches in the yard after running around playing. Suggest a latch that's adjustable. Loss of time and money. Also for children that are learning to tell time, the flower is in the way. Not a clear view of the minute hand.",No Time.,1.0,B0000TIKK8
