asin,title,summary
B0000TIKK8,Timex Girls Time Machines Analog Elastic Fabric Strap Watch,"Adorable Timex watch for kids with resin case, elastic sea-life strap, three-hand analog display with pink and blue-tone markings, quartz movement, rotating graphics for seconds, and water resistance up to 30m. Includes display case and loss protection plan."
B00021CK7I,Timex T71291 Kids Indiglo Gray Fast Wrap Strap Watch,"Quartz watch with nylon strap and velcro, featuring a date display, indiglo night light, and 30 meters water resistance."
B0000TIKK8,Timex Girls Time Machines Analog Elastic Fabric Strap Watch,"Timex Kids' Analog Watch: Resin case with elastic sea-life strap, 28mm round face, quartz movement, water-resistant to 30m, adjustable fabric strap, acrylic safety crystal, includes display case."
B00021CK7I,Timex T71291 Kids Indiglo Gray Fast Wrap Strap Watch,"Quartz watch with date display, indiglo night light, black dial, grey hands, nylon strap, and 30-meter water resistance."
B00093D0TG,Timex Kids' T78061 Digital Watch,"Timex Youth Digital Watch (T78061):
- Durable and readable
- Indiglo night-light for visibility in the dark
- Water resistant to 30 meters
- Large function buttons and icons
- Timex Kids Loss Protection Plan for up to one year"
B0009NUFY4,Timex Kid's watch #T78301,"Timex Tween quartz watch for children features a silver and pink resin case, a silvery white dial with Arabic numerals and a butterfly pattern, water resistance to 30 meters, a date display, an Indiglo night-light, and a durable nylon Fast Wrap strap."
B0009NX3F2,Timex Girls T79081 My First Easy Reader Watch with Pink Faux Leather Strap,"Timex My First Timex analog watch for kids: dressy design with silver stainless steel case, white dial with easy-to-read Arabic numerals, pink seconds hand, water resistance to 30 meters, and pink genuine leather strap."
B000A2JWDE,Harry Potter Kids' Chasing the Snitch Edition Collectible Watch,"Harry Potter watch with a glowing golden snitch on a blue dial, hypoallergenic stainless steel back, and a black leather strap. Comes in a Harry Potter-themed tin with a piggy bank function."
B000A8BU8S,Nike Kids' WR0017-411 Triax Junior Watch,"Rugged digital watch with quartz movement, time/date display, alarms, stopwatch, backlight, stainless-steel buckle, and 50m water resistance."
B000AXUQJW,Harry Potter and the Goblet of Fire HC0216 Flip Top Watch,"Unisex-adult Harry Potter Goblet of Fire wrist watch by Seiko features a jeweled flip-top with Hogwarts crest, philosopher stone jewels, and a photographic image of Harry Potter, Hermione Granger, and Ron Weasley. The watch has hour, minute, and second hands with brass rounds indicating the hours and a faux alligator leather band."
B000AYW0IG,Timex Kids' T75651 Watch,"Timex watch is warranted against manufacturing defects for one year. Casio watches feature solar power, radio control, and Bluetooth connectivity for accurate timekeeping."
