reviewText,summary,rating,asin
These shorts fit right and look nice. Here in California it's almost always shorts weather.,Comfy and versatile,5.0,9789892837
good,Four Stars,4.0,9789892837
"The jeans are fine, the packaging for shipment was fine. Amazon did publish the retail price in this instance so that I knew what sort of discount I was getting. I have seen a trend with Amazon though where the item, even new, has the retail price deleted so that if their partner vendors are charging a premium, one doesn't immediately know it. I've curtailed buying from Amazon until I'm convinced they won't be doing this any more. They're only response to the issue was to tell me to return the item to the vendor which is a cost to me-time and money-might as well go to a brick and mortar store if I'm going to go through that inconvenience.",jeans,4.0,B0000CBALZ
Amazon provides the 29 inch length jeans I wears. The delivery is quick and the packaging is great. Great quality products.,wrangler jeans,5.0,B0000CBALZ
with typical wrangler durability. I would have like them to be a little bit looser than what I got.,"Good jeans,",5.0,B0000CBALZ
The fabric is nice and substantial and promises long wear.  Very comfortable and great fit.  I've always loved Wrangler jeans and from now on I will look specifically for the Rugged Wear Wranglers.,Great Classic Jean!,5.0,B0000CBALZ
"Levi's tend to dominate the jean market for no apparent reason other than hype over the name. Fortunately, there is Wrangler that provides a less expensive, quality product (no I don't have any affiliation with Wrangler). These jeans are comfortable and sized perfectly. My only complaint is the denim of the front pocket inserts seem a little undersized. This sometime causes the white lining to show a little when you are sitting down.

And, of course, they fit properly over your boots. (Only select Levi's fit right over boots).",Levi alternative,4.0,B0000CBALZ
I ordered here because they offered odd waist size (35) and other places didn't. Perfect fit!,Fine jeans,5.0,B0000CBALZ
"The jeans were a little more expensive than the walmart price, but Iwas able to get the size I wanted.  That is important to me.",objective,4.0,B0000CBALZ
"Wrangler jeans are the best quality

for the price. Good, sturdy jeans.",All American jeans,5.0,B0000CBALZ
"I used to buy Levi's 550 relaxed fit jeans because they were an American company, but now they are no longer made in America. These Wrangler Rugged Wear jeans are similar fitting and looking as the Levi's 550 jeans and about half the price, and seem to be a better fabric than Levi's.","Great Jeans , Good Value",5.0,B0000CBALZ
Well made Jeans. I own three pair of Wrangler Rugged Wear angler pants size 32 x 32 that fit me perfectly. All my other dress and casual pants are the same size. When I tried on these jeans I was unable to button them. I would recomend purchasing one size larger waist size. The length was correct.,"Great Jeans, Poor Fit",4.0,B0000CBALZ
I bought these by accident. I was meaning to buy the rustler style because that's what I always buy. Well.... that's what I always used to buy. These are more comfortable and so far are holding up to a machine shop environment just as well.,A switch.,5.0,B0000CBALZ
Heap good jeans with plenty of room.  Men carry stuff and these jeans have five stout pockets and plenty of belt loops.  The legs easily slip over cowboy boots. Color stays black when washed as directed.  And they are half the price of other high quality jeans.,Heap good man jeans.,5.0,B0000CBALZ
Like,Five Stars,5.0,B0000CBALZ
love them,love them,5.0,B0000CBALZ
Good,Five Stars,5.0,B0000CBALZ
This item arrived on time and was exactly as advertised.,This item arrived on time and was exactly as advertised.,5.0,B0000CBALZ
Not what I expected.,Two Stars,2.0,B0000CBALZ
Great fit and excellent quality,Five Stars,5.0,B0000CBALZ
Best fitting jeans I've bought in a long time and the pockets are just right.,"Good jeans, good price.",5.0,B0000CBALZ
They were just the right length and waist size combination.  Couldn't find those sizes in the store.,Fit,5.0,B0000CBALZ
Crouch is not comfortable. I've had better jeans,The crouch is not comfortable,3.0,B0000CBALZ
Good fit,Great price,5.0,B0000CBALZ
