asin,rating
9789892837,4.833333333333333
B0000CBALZ,4.355555555555555
B0000CBAMK,3.8444444444444446
B0000TW8UG,4.088888888888889
B0001WAZGG,4.4
B0001YR5BM,4.55
B0001YR5MQ,3.8333333333333335
B0001YS10Q,4.526315789473684
B00020OCD4,4.466666666666667
B0002KV5DE,4.590909090909091
B0002MGM4O,4.555555555555555
B0002MM4JG,4.377777777777778
B0002NYQO6,4.555555555555555
B0002NYVOG,4.111111111111111
B0002NZ5CS,4.2105263157894735
B0002PQ7Z0,3.6222222222222222
B0002PZVX4,4.53125
B0002PZVK2,4.644444444444445
B0002V60YW,2.2666666666666666
B0002X4HTK,3.55
B0002XSXWW,4.377777777777778
B0006U695E,4.2444444444444445
B0006U68Z0,4.2
B000783Z7A,4.6
B000783UXO,4.088888888888889
B0007CKM4A,4.636363636363637
B0007CKLJG,4.055555555555555
B0007CKMOU,4.8
B00091T0N8,4.583333333333333
B000A22DOY,2.590909090909091
B000BBG624,4.555555555555555
B000BTDXE0,4.5777777777777775
B000GIOET4,4.133333333333334
B000A20UMG,2.590909090909091
B000JJHL5O,4.688888888888889
B000LRC24O,2.857142857142857
B000MVUCCI,4.387096774193548
B000MWYUP2,4.608695652173913
B000YSZ73S,4.733333333333333
B000YT1VZ0,3.8076923076923075
B0012FQ5BK,4.409090909090909
B0015P9AFU,4.155555555555556
B001FZJ2SU,4.4
B001KW8E3M,4.777777777777778
B0006U6A62,4.133333333333334
B0006U68V4,4.022222222222222
B002RWKK22,4.533333333333333
B003KGT0MA,3.909090909090909
B003MXG3AI,4.76
B000H0VNE0,3.7777777777777777
B003VJSIBA,4.551724137931035
B003WRVH8C,3.533333333333333
B004CCYGZ2,4.206896551724138
B004JAGBJ6,4.088888888888889
B002ZQ0LFQ,4.266666666666667
B0002KV5ES,4.666666666666667
B00E2RRT9M,3.9555555555555557
B00IALJFSE,4.588235294117647
B00IO1XTP0,4.1
3999852739,4.666666666666667
3999852070,4.5
9789880189,4.5
9789816723,4.0
9789893426,5.0
9789811055,5.0
9789884931,5.0
978981366X,4.0
978989340X,3.0
9789880391,5.0
9789814232,5.0
9830030296,5.0
9822497415,5.0
9822490682,5.0
9830034402,5.0
9830034364,5.0
9830034321,5.0
9890000229,5.0
B0000002A8,5.0
B0001MIB3K,4.2
B0002NZ316,4.0
B0002VNBRQ,4.2
B0002VNDRY,4.2
9828381591,4.0
B0006LBXUE,3.6666666666666665
B0007CKQ96,3.25
B0007XOF1A,5.0
B00091T010,5.0
B00091UO4M,3.0
B000922WFU,3.8333333333333335
B000922WF0,4.5
9789839685,5.0
B000AD394Q,3.9
B000BPHWN2,3.4
B000GBQ7LO,4.0
B000GBS80M,5.0
B000GBS7V2,3.4
B000GBTSC4,3.625
B000GBQ7S2,3.2
B000GBV7QE,4.75
B000GBTS38,3.5714285714285716
B000GBS7XK,3.5
B000GBV7U0,3.5
B000JBZ6I6,4.333333333333333
B000KEZ182,3.0
B000KJRRNO,4.333333333333333
B000RF5FN0,4.4
B000GT9FCO,2.0
B0002X4OGG,4.2
B000VAFL08,4.5
B0006U69A4,4.0
B000GBTSAG,2.3333333333333335
B00125U34A,2.0
B001283ILW,3.875
B0012BXOY0,4.75
B0012FQ4NO,4.5
B0013F7ETG,4.5
B0013F7EWI,3.0
B00159O844,5.0
B000KJRXJW,5.0
B0002NYQT6,4.5
9789894333,5.0
B000J9YQZ2,5.0
B00020OCCA,4.75
9789895070,5.0
B001LR3FOE,1.0
978981450X,5.0
B000EK34WC,4.5
9789879326,4.25
B000783KB6,5.0
B000GBV7R8,4.5
B000GBV7QY,2.0
B0006U6CHE,4.333333333333333
B001FZJ3F2,4.8
B000BBEMH0,5.0
B001V7NAU8,3.8
B00236VOOU,4.0
B0013U9O58,5.0
B000EZY4BM,2.0
B002KP8JIS,4.0
B001283A9C,2.3333333333333335
B0006U6A2Q,4.0
B0002T8H2M,4.5
B00352LBQC,4.666666666666667
B0033BIMWG,3.0
B0006U6AIK,3.0
B003WIZD5Y,4.0
