reviewtext,summary,rating,asin
i love these shoes. i ware them alot. i have three pairs red black and royal blue. one bad thing about them is you can not get shoelaces for them in the stores. i had to get them offline.,cool shoes,5.0,B00006XXGO
"These things are timeless. Their image is undeniable. My only complaint is that they are kind of thin and flat; if you're looking for cushy comfort shoes, they aren't for you.","Ahh, classic Chucks.",4.0,B00006XXGO
this is the best shoe I have ever bought. I love them and will never go back to pumas or addiadas ever!,the best shoe ever,5.0,B00006XXGO
"Lord, could Converse have got it any more right? One thinks not. The Converse All Star Chuck Taylor canvas shoes are everything one could need from a shoe and more. They are stylish, available in colours that vary from orange to pink, the more comtemporary leather versions, low cut and high cut. These baby's contour the foot so well,it's almost like walking on air! The canvas hugs the ankles, providing support...but the most important features of the shoes are that they are unisex (they look great on guys and girls) and they can be dressed down with jeans, or elegantly dressed up with a pair of tailored pants. These shoes are definitely to die for.",The New Roman Sandal That Should Be Owned By Every God...,5.0,B00006XXGO
"What can I say?I love this shoe,there awesome. They made me feel like I was walking on air everytime,I really want another pair of this great shoes. I love them so much,I might just buy 2 pairs lol.",My favourite kind of shoes,5.0,B00006XXGO
"When basketballer Charles ""Chuck"" Taylor walked into the Converse company back in 1921 complaining of sore feet, he started a revolution. He designed a shoe that was to bear his name only two years later. It would go on to be THE most popular sneaker of all time. Over 500 million pairs have been sold worldwide. The popularity of these legendary shoes has gone in waves but people have always come back to Chucks throughout the past 80 years! And some people, like myself, just can't get enough of them, and go on to build a collection of these wonderful sneakers. Nowadays I only wear Chucks, no other sneaker graces my feet. They are so comfortable and good looking, and take it from me, they boost your self-esteem! Walk down the street in them and you feel ten feet tall. Sounds corny, but it's true. They're like a security blanket around your ankles. I absolutely love Chucks and won't ever stop wearing them. Do yourself a favour, buy a pair. Then see how long till you get another and another.",The best sneakers on earth. Period.,5.0,B00006XXGO
"I was introduced to Converse All-Star's (Chuck's) two years ago and they are the best shoes I have ever owned.  Before I knew about Chuck's, I would have multiple pairs of sneakers for different activities, now I have one! They have excellent foot support all the way up the ankle, the only downside is that the soles have no arch and if you are not already flat footed, they will probably make you that way.  They are great shoes!",Chuck Taylor's Forever!,5.0,B00006XXGO
"Awesome!! Around for years, with no reason to change!!",A True Classic,5.0,B00006XXGO
"After being associated with the 50's hipster and the 70's hippie, the 80's punk and now the millennium prepster these shoes have made the journey across time and generation. Made with a canvas material and a rubber soul these shoes stand the test of time and once thier broken in will quickly become your favorite pair of shoes . No matter the winter or the summer you'll find yourself pulling these out of the closet to pair with your jeans or your skirt. And owning one pair is never enough. A pair in every color low and high is definitly required for the true converse wearer. Buy your first pair today to emmerse yourself in a true piece of history and the future",The best shoe on Earth,5.0,B00006XXGO
"It took me 4 tries to find the size that fits me.  I usually wear a 10.5 in mens.  Finally found that the 9.5 in men's fits good.  A little roomy, but they are comfy.",Order a full size smaller.,5.0,B00006XXGO
