title,features,description,asin,imageurl,imageURLHighRes,category
"Casio Men's Quartz Resin Casual Watch, Color:Black (Model: W59-1V)","Clothing, Shoes & Jewelry
Men
Watches
Wrist Watches
","A tried and true style that always remains in fashion. With its daily alarm, hourly time signal and auto calendar, youll never need to worry about missing an appointment again. Black Casual Classic Watch with a Resin Band.
With its iconic digital design and host of features, the Classic Watch #59-1V from Casio offers micro-light illumination that's great for casual day or evening wear. This compact and sporty timepiece also includes a 1/100-second stopwatch, hourly time signal, and alarm. Water resistant to 165 feet, and boasting seven years of battery life, this Casio original boasts the precision of quartz movement for optimum reliability.
",9792252916,"['https://images-na.ssl-images-amazon.com/images/I/21kvMtlII4L._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41CrLSPOX7L._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL._SR38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/21kvMtlII4L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41CrLSPOX7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL.jpg']",Men Watches
Men's NY London Rose Gold Bezel Black Leather Strap Triple Time Zone Luxury Watch Analog Quartz,"Men's NY London Rose Gold Bezel Black Leather Strap Triple Time Zone Chronograph Luxury Watch Analog Quartz Extra Battery
Quartz Movement, PU Leather Strap Watch. Triple Time Zone, Chronograph Watch
Dial Size: 54mm, Case Thickness: 10mm, Strap Length: First Hole 175mm - Last Hole 220mm, Strap Has Got Many Holes So it does Fit to most of the Wrists
This handsome men's Triple Time Zone watch has a Metal case and is fitted with a quartz movement. It fastened a PU Leather strap and has a Chronograph dial.
Comes with one Extra Battery, One Year Manufacturer's Warranty, Fantastic Bargain!!
Shipping Weight:
                    
3.52 ounces (View shipping rates and policies)
","Men's NY London Leather Strap Triple Time Zone Chronograph Luxury Watch Analog Quartz Extra Battery, Quartz Movement, PU Leather Strap Watch. Triple Time Zone, Chronograph Watch Dial Size: 54mm, Case Thickness: 10mm, Strap Length: First Hole 175mm - Last Hole 220mm, Strap Has Got Many Holes So it does Fit to most of the Wrists This handsome men's Triple Time Zone watch has a Metal case and is fitted with a quartz movement. It fastened a PU Leather strap and has a Chronograph dial. Comes with one Extra Battery, One Year Manufacturer's Warranty, Fantastic Bargain!!
",9999666418,"['https://images-na.ssl-images-amazon.com/images/I/51bYTAmdZGL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/51bYTAmdZGL.jpg'],Men Watches
NY London Men’s Wrist Watch Triple Time Zone Chronograph Display Analog Quartz Movement with Black Leather Strap NY-London-Men,"Men's NY London Gold Bezel Black Leather Strap Triple Time Zone Chronograph Luxury Watch Analog Quartz Extra Battery
Quartz Movement, PU Leather Strap Watch. Triple Time Zone, Chronograph Watch
Dial Size: 54mm, Case Thickness: 10mm, Strap Length: First Hole 175mm - Last Hole 220mm, Strap Has Got Many Holes So it does Fit to most of the Wrists
This handsome men's Triple Time Zone watch has a Metal case and is fitted with a quartz movement. It fastened a PU Leather strap and has a Chronograph dial.
Comes with one Extra Battery, One Year Manufacturer's Warranty, Fantastic Bargain!!
Shipping Weight:
                    
3.52 ounces (View shipping rates and policies)
","Men's NY London Leather Strap Triple Time Zone Chronograph Luxury Watch Analog Quartz Extra Battery, Quartz Movement, PU Leather Strap Watch. Triple Time Zone, Chronograph Watch Dial Size: 54mm, Case Thickness: 10mm, Strap Length: First Hole 175mm - Last Hole 220mm, Strap Has Got Many Holes So it does Fit to most of the Wrists This handsome men's Triple Time Zone watch has a Metal case and is fitted with a quartz movement. It fastened a PU Leather strap and has a Chronograph dial. Comes with one Extra Battery, One Year Manufacturer's Warranty, Fantastic Bargain!!
",9999666442,"['https://images-na.ssl-images-amazon.com/images/I/51jYWrwoczL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/51jYWrwoczL.jpg'],Men Watches
Kenneth Cole New York Men's Quartz Stainless Steel Dress Watch(Model: KC3243),"Quartz movement
Mineral crystal
Case diameter: 26 mm
Stainless-steel case; Gunmetal dial
Water resistant to 99 feet (30 M): withstands rain and splashes of water, but not showering or submersion
Package Dimensions:
                    
3.9 x 3.4 x 2.9 inches
Shipping Weight:
                    
8.8 ounces
","Kenneth Cole watches are under a limited lifetime warranty. This warranty does not apply to normal wear and tear or abuse, excluded battery, case, crystal, strap, malfunction, and deterioration resulting from accident, negligence and tampering.
More a piece of jewelry than a timepiece, this stainless steel bracelet-style watch will be a lovely accent to your most stylish couture. The dial is framed by thin, polished stainless steel, which is set into a brushed stainless steel, 1-inch wide body. The bracelet band, with its rounded connecting brushed stainless steel tridents (with polished accents), seamlessly integrates into the watch body. The band tapers slightly to approximately .75 inches in width. It's a great choice for making an impression on a night out on the town.
Other features include:  Shimmery black face background Japan quartz movement Three-hand display Date function at the 3 o'clock position Fold-over clasp with push buttons  A very durable metal alloy (usually containing 10-20% chromium), stainless steel is virtually immune to rust, discoloration, and corrosion.
Water Resistance This watch is water resistant to 30 meters. Before using the watch in or near water, be sure that the crown is pushed in completely. If the watch is underwater or wet, do not use pushers, rotating bezels, or crowns. Once it has become wet, wipe it dry as soon as possible; if it comes in contact with salt water, rinse cases and bracelets immediately and thoroughly with fresh water.
Battery The battery in this Kenneth Cole watch should last approximately two years. When the battery expires, replace it as soon as possible to prevent any malfunction. For battery replacement, Kenneth Cole recommends that you contact an authorized Kenneth Cole dealership. This watch uses the SR621SW battery type.

",B00005RVNI,"['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL.jpg'],Men Watches
Skagen Men's Quartz Titanium Casual Watch(Model: 105LTX),"Quartz movement
Mineral crystal
Case diameter: 35 mm
Titanium case; Charcoal Grey dial; Date function
Water resistant to 99 feet (30 M): withstands rain and splashes of water, but not showering or submersion
Package Dimensions:
                    
4 x 3.2 x 3 inches
Shipping Weight:
                    
7.2 ounces
","The man who believes that style and quality go hand-in-hand will be proud to wear your gift of a Skagen watch. Made in Denmark, Skagen watches are distinctively contemporary and have superior features. This bracelet watch is a fine example. It has a solid titanium case and link band, sunray dial, and date function. Other features include Japanese quartz movement, water resistance to 98 feet, and a scratch-resistant mineral-glass crystal. Lifetime limited manufacturer's warranty.
The Skagen men's titanium watch is a sophisticated addition to any businessman's wardrobe. This stylish timepiece is constructed with a 35-millimeter titanium case, a titanium bezel, and a matching 16-millimeter titanium linked bracelet with fold-over clasp. A durable mineral dial window protects the charcoal gray watch face, which features silver-tone hour indexes, a date calendar at six o'clock, and silver-tone hour, minute, and second hands. In addition, this quartz-movement-powered watch is water resistant to 99 feet.
",B0000643Q8,"['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL.jpg'],Men Watches
Kenneth Cole New York Men's Quartz Stainless Steel Dress Watch(Model: KC3227),"Quartz movement
Mineral crystal
Case diameter: 27.2 mm
Stainless-steel case; White dial
Water resistant to 99 feet (30 M): withstands rain and splashes of water, but not showering or submersion
Package Dimensions:
                    
3.7 x 3.5 x 2.9 inches
Shipping Weight:
                    
8.8 ounces
","Kenneth Cole watches are under a limited lifetime warranty. This warranty does not apply to normal wear and tear or abuse, excluded battery, case, crystal, strap, malfunction, and deterioration resulting from accident, negligence and tampering.
Add an elegant grace note to your couture with this stainless steel bracelet-style timepiece from the Kenneth Cole New York collection. This elegant, rectangular ""tank-style"" watch has heavier bars on either side of the dial, inspired by the tank tracks of World War I and first created by Louis Cartier. It measure 1.1 inches wide and has a slightly rounded top. The bracelet band is composed of a thin polished stainless steel interior with thicker brushed pieces on the exterior. It will nicely complement evening wear or stylish business attire.
Other features include:  Shimmery silver face background Japan quartz movement Three-hand display with thin, luminous hour and minute hands Date function at the 3 o'clock position Two-sided push mechanism opens butterfly clasp easily  A very durable metal alloy (usually containing 10-20% chromium), stainless steel is virtually immune to rust, discoloration, and corrosion.
Water Resistance This watch is water resistant to 50 meters. Before using the watch in or near water, be sure that the crown is pushed in completely. If the watch is underwater or wet, do not use pushers, rotating bezels, or crowns. Once it has become wet, wipe it dry as soon as possible; if it comes in contact with salt water, rinse cases and bracelets immediately and thoroughly with fresh water.
Battery The battery in this Kenneth Cole watch should last approximately two years. When the battery expires, replace it as soon as possible to prevent any malfunction. For battery replacement, Kenneth Cole recommends that you contact an authorized Kenneth Cole dealership. This watch uses the SR621SW battery type.
",B000068X4M,"['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL.jpg'],Men Watches
"Kenneth Cole New York Men's Quartz Stainless Steel and Leather Dress Watch, Color:Black (Model: KC1104)","Quartz movement
Mineral crystal
Case diameter: 29.3 mm
Stainless-steel case; White dial
Water resistant to 99 feet (30 M): withstands rain and splashes of water, but not showering or submersion
Covers broken watchband, movement failures, cracked crystal, bezel damage and more. Includes a 1-time refurbishment.
No deductibles or hidden fees. Free shipping on all repairs. Fully transferable.
Easy claims process online or by phone 24/7. If we can't fix it, we will send you an Amazon e-Card for full replacement value.
Coverage begins date of purchase and is inclusive of the manufacturer's warranty. Plan is fully refunded if canceled within 30 days.
Plan contract will be emailed from Asurion within 48 hours of purchase. This will not ship with your product.
What's Covered: mechanical and electrical failures during normal use, 100% parts and labor
Get fast repairs or replacements from SquareTrade, an Allstate company
24/7 customer support, free shipping for all repairs, no deductibles or hidden fees
Cancel anytime, full refund in first 30 days, fully transferable with gifts
SquareTrade Protection Plans are only valid for new or Amazon certified refurbished products purchased at Amazon in the last 30 days. By purchasing this Protection Plan you agree to the Protection Plan Terms & Conditions (http://www.squaretrade.com/terms-standard). Your Protection Plan Terms & Conditions will be delivered via email within 24 hours of purchase
Covers broken watchband, movement failures, cracked crystal, bezel damage and more. Includes a 1-time refurbishment.
No deductibles or hidden fees. Free shipping on all repairs. Fully transferable.
Easy claims process online or by phone 24/7. If we can't fix it, we will send you an Amazon e-Card for full replacement value.
Coverage begins date of purchase and is inclusive of the manufacturer's warranty. Plan is fully refunded if canceled within 30 days.
Plan contract will be emailed from Asurion within 48 hours of purchase. This will not ship with your product.
Package Dimensions:
                    
3.9 x 3.7 x 3.5 inches
Shipping Weight:
                    
6.4 ounces (View shipping rates and policies)
","Kenneth Cole watches are under a limited lifetime warranty. This warranty does not apply to normal wear and tear or abuse, excluded battery, case, crystal, strap, malfunction, and deterioration resulting from accident, negligence and tampering.
Minimalist and modern, this stainless steel watch from the Kenneth Cole New York collection will be an elegant accent to any ensemble. This rectangular ""tank-style"" watch has heavier bars on either side of the dial, inspired by the tank tracks of World War I and first created by Louis Cartier. The black leather band has a hardened, smooth exterior and is .75 inches wide.
Other features include:  Silver/white face background Japan quartz movement Three-hand display Date function at the 6 o'clock position  A very durable metal alloy (usually containing 10-20% chromium), stainless steel is virtually immune to rust, discoloration, and corrosion.
Water Resistance This watch is water resistant to 30 meters. Before using the watch in or near water, be sure that the crown is pushed in completely. If the watch is underwater or wet, do not use pushers, rotating bezels, or crowns. Once it has become wet, wipe it dry as soon as possible; if it comes in contact with salt water, rinse cases and bracelets immediately and thoroughly with fresh water.
Battery The battery in this Kenneth Cole watch should last approximately two years. When the battery expires, replace it as soon as possible to prevent any malfunction. For battery replacement, Kenneth Cole recommends that you contact an authorized Kenneth Cole dealership. This watch uses the 371 battery type.

",B00006A7DQ,"['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL.jpg'],Men Watches
Casio Men's Watch EF101D-1AV,"Imported
Movement - Quartz Movement
Water Resistant - 100 Meters (330Feet)
Crystal - Mineral Crystal
Shipping Weight:
                    
2 pounds
","Edifice 100M WR
",B00006I550,"['https://images-na.ssl-images-amazon.com/images/I/41f-98EPkmL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/315JhCaK0-L._SR38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41f-98EPkmL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/315JhCaK0-L.jpg']",Men Watches
Casio - CMD30B1A,"TV / Cable Box / VCR Remote Control, Daily Alarm
1/100 second stopwatch, Hourly Time Signal
Auto Calendar, 12/24 Hour Formats
Accuracy: +/-15 seconds per month , Battery CR2032
Approx. battery life: 15 months, Module 1173, Size of case/total weight: 43.5 x 38.5 x 11.5mm / 40g
Package Dimensions:
                    
4.9 x 3.2 x 2.9 inches
Shipping Weight:
                    
4 ounces
","Operate your TV, cable box or VCR right from your wrist. With this watch youll never have to search for the remote again, and with its daily alarm, hourly time signal, and auto-calendar the days of missing your favorite shows are over
",B00006I54Q,"['https://images-na.ssl-images-amazon.com/images/I/41KwXgrnsrL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/410gqBhM3gL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/411W5n9uDJL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/313zUn6UEkL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41W0PPPHxFL._SR38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41KwXgrnsrL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/410gqBhM3gL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/411W5n9uDJL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/313zUn6UEkL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41W0PPPHxFL.jpg']",Men Watches
TIMEX Men's 20021 Analog Dress Watch,"Water-resistant to 99 feet (30 M)
Package Dimensions:
                    
4 x 3.4 x 2.8 inches
Shipping Weight:
                    
6.4 ounces
","Extra-long stainless steel expansion bands, Indiglo night-light, Water resistent to 30 Meters, Approximate Battery Life 8 Years

Timex Group B.V. is one of the best-known American watch companies. Timex's U.S. headquarters are located in Middlebury Connecticut and it has substantial operations in China, the Philippines and India and full scale sales companies in Canada, the UK, France and Mexico.
The company began in 1854 as Waterbury Clock in Connecticut's Naugatuck Valley, known during the nineteenth century as the ""Switzerland of America."" Sister company Waterbury Watch manufactured the first inexpensive mechanical pocket watch in 1880. During World War I, Waterbury began making wristwatches, which had only just become popular, and in 1933 it made history by creating the first Mickey Mouse clock under license from Walt Disney, with Mickey's hands pointing the time.
During World War II, Waterbury renamed itself U.S. Time Company. In 1950 the company introduced a wristwatch called the Timex. Over the next three decades, Timex was sold through a series of advertisements which emphasized its durability by putting the watch through ""torture tests,"" such as falling over the Grand Coulee Dam or being strapped to the propeller of an outboard motor, with the slogan ""It takes a licking and keeps on ticking."" With the help of former Olympic broadcaster, spokesman John Cameron Swayze, sales took off. The company later became Timex Corporation, then Timex Group and, to date, has sold over one billion watches.
The company has remained very competitive and the Timex brand continues its dominance through present day. Its primary market remains the United States and Canada, although the Timex brand is sold worldwide due to its ability to capitalize on its strong brand image and reputation for quality.
One of the most successful and important features available on many Timex watches is the Indiglo backlight system. Indiglo is a brand name of Indiglo Corporation, solely owned by Timex for licensing purposes. Timex electroluminescent lamps, branded Indiglo, were introduced in 1992 in the Ironman watch line. They were an immediate success. The Indiglo lamp uniformly lights the surface of the Timexs watch dials in a manner that makes the dial read very easily in many different light settings. In some newer watches the Indiglo backlight only lights up the numbers, rather than the entire LCD display, which is achieved by means of a specialized film that inverts the LCD transmissivity.
Today, Timex Group products are manufactured in the Far East and in Switzerland often based on technology that continues to be developed in the United States and in Germany. With a large and varied line of watches, Timex has the style for everyone. From the locker room to the board room, there is a great Timex style time-piece for you.
",B00006I5XR,"['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL.jpg'],Men Watches
