reviewtext,summary,rating,asin
"I have had multiple versions of this watch.  Never sorry to buy another.  Easy to use, great price.",great running watch,5.0,9792252916
"This watch was only about $13 shipped, so I'm not going to complain that much. It tells time, and that's what it is supposed to do. The buttons however need to be in a different place. I have to reach all the way over to the left top button to turn on the light to see the time in the dark. That is already a hassle when holding something in my right hand (I wear the watch on my left wrist), but to top it off, you need to hold down the button to keep the light on. Maybe I'm spoiled, but that seems ridiculous. I have had plenty of watches by Casio and all of them kept the light on for a few seconds when you pressed the light button. There aren't any fancy modes on this watch, like stopwatch or timer. The only modes are Time, Alarm, and Set Time. There isn't even a dedicated button for adjusting the time; you have to hit the mode button until the seconds start flashing. This watch is fine for someone who doesn't want to spend a lot of money and only wants to tell time, but the light should at least stay on for a few seconds.",OK for the price; needs better button arrangement,3.0,9792252916
This is the 3rd one of these watches my husband has bought over a period of around 8 years. Cheap and cheerful - not worth the cost of a new battery so we just replace it each time. Overall a great watch for the money.,3rd one purchased,5.0,9792252916
The interface is easy to read and the watch is not complicated.  The face of the watch is both thin and not too large which is great because I have small arms.,Casio W59-1V Rev.,4.0,9792252916
"Good reliable watch, this model has a watch band a bit too small for a man.  Excellent for a woman I'd guess.",Casio watch,5.0,9792252916
"Slim watch, doesn't get caught up on things. Works well. Good value for the price.",CASIO W59-1V Digital Sports Watch,4.0,9792252916
"Exactly what I was looking for.  Three buttons instead of four to control the functions.  Alarm and lap timer are easy to get to, and the time/date are a snap to set.  I swim every day and use the lap timer, not a hint of a leak.  I paid $9.95 plus $5.00 S&H and still got it $10 cheaper than either Walmart or Target.",Inexpensive sports watch,5.0,9792252916
The photo for this item was deceiving and so the wrong watch was selected. I wrote to the company and they never bothered to acknowledge the problem.,Deceiving Photo,1.0,9792252916
"3 and a half stars.
First, the Amazon Partner who is selling this, J & R Music & Computer World, gets a 5 star rating from me, the watch arrived very fast and in excellent condition.
The watch itself gets the 3 and a half because, while the actual purchase price is ""$9.99"", the crossed-out list price is ""$24.95"". I expected a little more from a $25.00 Casio. My complaints: The illumination is a small side light, not an entire screen brightness like with other Casios or Indiglow style. The stop-watch goes only to 59 Minutes, 59 Seconds.
Good things:
1-button press to go from 12 to 24 hour time, alarm function, hourly beep, light weight, slim profile, 50 meter water resistant, 7-year battery, and easy to use.
Maybe I'm overly critical, this is a good $10.00 watch, but an average $25.00 watch.

[EDIT]:
Having had this watch for several months now, I find that it keeps better time than a much more expensive digital watch that I had bought at Disney World. The Disney watch looks great and is all metal, but runs faster than the Casio. I compare and set the time of all my watches to my Casio Atomic/Solar MTG920DA, which receives a time calibration every day from the Atomic clock in Fort Collins, CO.",Good Basic Digital Watch - 3 and a half stars,4.0,9792252916
I love this watch but it wears very small and the illumiglow on this one only lights up about 1/4 of the screen,Good cheap watch,4.0,9792252916
