asin,rating
9792252916,4.066666666666666
B0000643Q8,4.111111111111111
B00006I5XQ,4.833333333333333
B00006I5YG,4.545454545454546
B0000C9ZBS,4.444444444444445
B0000C9ZCQ,4.153846153846154
B0000C9ZBQ,4.533333333333333
B0000C9ZBX,4.066666666666666
B0000C9ZDM,3.4347826086956523
B0000C9ZBT,4.454545454545454
B0000C9ZBP,4.75
B0000TIISW,3.688888888888889
B0000TIIXC,3.892857142857143
B0000TII3C,4.533333333333333
B0000TIIUK,4.511111111111111
B0000TIIQ4,3.793103448275862
B0000TIIQE,4.146341463414634
B0001540G4,2.7916666666666665
B0001WO7GK,4.155555555555556
B0001XVUFA,3.9555555555555557
B00020J0ZO,4.208333333333333
B00020J14E,4.466666666666667
B00020J1G2,4.615384615384615
B00020J1BC,4.466666666666667
B00021C424,4.0625
B00022AALA,4.476190476190476
B00024WC7S,3.8222222222222224
B00024WBVK,4.333333333333333
B00024WB24,3.977777777777778
B00024WC8W,4.155555555555556
B00024WL7E,3.9285714285714284
B0002LYEJK,4.533333333333333
B0002M9RXC,4.296296296296297
B0002M9RX2,4.583333333333333
B0002QXF54,5.0
B00039AWFG,4.363636363636363
B00065FWR0,4.377777777777778
B00068TJLC,4.076923076923077
B00068TJ44,4.222222222222222
B00068TK7U,4.5
B00068TK8O,4.357142857142857
B00068TJ76,4.155555555555556
B00068TJIU,4.133333333333334
B00068TK8Y,4.75
B00068TJNA,4.615384615384615
B0006AAS5G,4.111111111111111
B0006AAS7E,3.8666666666666667
B0006AAS56,4.044444444444444
B0006YYWEU,4.511111111111111
B00070OWVQ,3.3636363636363638
B00074HDAO,4.288888888888889
B0000V9I7A,4.785714285714286
B0006AAS4M,4.222222222222222
B0001WDD7E,4.705882352941177
B00005RVNI,4.333333333333333
B00006I550,2.0
B00006I54Q,4.333333333333333
B00006I5XR,5.0
B0000C9ZCB,4.75
B0000C9ZCN,3.3333333333333335
B0000C9ZCX,3.5555555555555554
B0000C9ZC8,1.0
B0000C9ZCR,4.4
B0000C9ZDA,4.666666666666667
B0000C9ZCM,5.0
B0000CARF3,3.0
B0000CARF2,4.5
B0000TIJEU,4.0
B0000TIIS2,4.125
B0000TIIFK,4.0
B0000UIXYU,5.0
B0000VA1RQ,4.8
B0000YBMKI,5.0
B0000YBNNE,2.0
B0000YBNQG,3.0
B0000YBML2,4.285714285714286
B0000YBNNY,5.0
B0000YWSL0,5.0
B0000ZH4AO,3.5
B00014DLWY,2.0
B00015GLMK,4.0
B000153MWM,3.3333333333333335
B00020J0Z4,4.8
B00021BXKI,4.333333333333333
B00026WADM,5.0
B000275R1I,4.0
B00028WIS2,3.0
B0002CP7L8,4.5
B0002FQH50,4.75
B0002IEQWI,3.0
B0002JJ9WE,4.5
B0002M9SFE,3.6666666666666665
B0002M9SV8,3.2222222222222223
B0002M9STU,3.3333333333333335
B0002QXFHW,3.7142857142857144
B0002UD56E,3.0
B0002UD44C,3.8
B0002XQW66,4.5
B0002XQW6G,3.6
B0002Z3Y3I,4.0
B000300GOM,3.5
B00030O3SM,5.0
B00063EQ8S,5.0
B00063RBDU,5.0
B00068TJL2,4.6
B00068TJJY,4.833333333333333
B00068TCZK,4.0
B00068TK8E,3.75
B00068TK5C,4.333333333333333
B00068TJ6C,5.0
B0006AAS6K,5.0
B0006GN9B0,4.8
B0006GNA00,4.666666666666667
B0006IX7RO,3.0
B0006Q4ERI,4.0
B0006SVKZU,5.0
B00070OWVG,4.444444444444445
B00070OX3S,4.5
B00073G91Y,3.75
B0000YBOQ0,2.0
B00068TJ5S,4.5
B0002FQHKA,5.0
B00021NEH8,5.0
B000068X4M,4.666666666666667
B00068TJK8,4.25
B00028CHHO,4.0
B0000YJ64M,4.0
B00070OWV6,3.6666666666666665
B00068TJKS,5.0
B00068TJO4,4.0
B0000TIIKK,3.6666666666666665
9999666418,5.0
9999666442,5.0
B00068TJ4E,4.2
B0000C9ZC9,5.0
B00028GAZ4,5.0
B0002T5V58,5.0
B0002T5V7G,1.0
B0002XQUTK,5.0
B0000YBMLM,3.0
B0002DRNJQ,2.0
B0002M9RZA,5.0
B0001BRP88,3.5
B0006GN9MO,4.0
B0002E7T7G,5.0
B0001F6E5Y,3.5
B00028WUFI,5.0
B0000YBNN4,4.333333333333333
B0002UD54Q,2.5
B00020J0QS,3.5
B00068TK52,5.0
B000681TEC,5.0
B0002DRNNW,4.5
B000652KUW,4.0
B0000TQKDW,1.0
B0006SJD0E,5.0
B0000V9NFW,4.0
B0001BRPWE,5.0
B0002T5V8U,5.0
B0002RIIRI,4.5
B0006ZR4C6,2.0
B0000V9OHY,5.0
B0002EOMOE,5.0
B00068B88E,1.0
B00025FQIO,1.0
B0006D4NYU,5.0
B00006I5Y5,5.0
B0001YISM2,4.0
B00021BXHQ,3.0
B0000YBNP2,3.0
B0000YBNOS,5.0
B0002T5V1C,5.0
B0002M9SVS,1.0
B0002YC1Z6,5.0
B00006A7DQ,4.0
