reviewtext,summary,rating,asin
"My garden clogs make my feet look huge, and even with socks I had to order a smaller size.  Generally I can count on being an easy 7, but had to buy a 6, and still have quite a bit of room.  I use these in the yard, at the pool, riding my bike, shopping and have even been known to accidentally wear them to work.  They are more comfy than sneakers, and have wonderful arch supports built in - important for me and a heel spur I have been dealing with for a number of years now.  Teenagers seem to think they are cool too, and the navy upper really might pass as leather if you don't look too close.  Great with jeans.
Happy feet when I'm in my clogs!",Graceless and Immense - Comfy and Cool,5.0,B00004VWJ3
"These shoes were recommended to me by a several coworkers and friends of mine. We work in the Veterinary nursing field, which involves a lot of standing, kneeling, etc. I bought both the 39 and the 40 as I can go either way with different brands. The 39s fit perfectly around my foot, but my toes were smushed and hitting the front of the shoe. The 40s were so big that even with socks on they flopped like flip flops when I walked, which was a deal breaker for me, so I returned them.","Too small or too big, they did not fit.",2.0,B00004VWJ3
"It's Birkenstock, no real review needed. If you know then you know, they're the Bentley of sandals.  Use to rock a pair of Jesus Cruisers in my token frat boy hippie days and it doesn't get better.  I work at a restaurant, looong hours on my feet and if you do the same your wasting your time trying any other shoe.",Bentley of Shoe Makers!,5.0,B00004VWJ3
Im in LOVE with these!! I wear them all the time. I got a pair in navy and black. Thinking about ordering more. They go great with cords and jeans. They are very comfortable and the arch support is great. I can walk in them all day and my feet don't get sore.,Great arch support and comfort!!,5.0,B00004VWJ3
"Great shoes, very comfortable!!",Five Stars,5.0,B00004VWJ3
"I've owned probably a dozen pair of this shoe over the years, I've been wearing something else recently and was excited to get back to this old trustworthy shoe.  It seems like something has changed in the sizing.  I've been a 48 in birkenstock of all types since I first purchased birkenstock.  I did once have to buy a smaller size (46) because I was in a bind and I ended up buying another (correct, 48) pair a couple weeks later.  This feels like that smaller sized shoe, like a 46.  The box says 48, the inside of the shoe says 48, it's disappointing",did the sizes change?,2.0,B00004VWJ3
Really good,Five Stars,5.0,B00004VWJ3
No complaints. CTICU nurse who works 12 hour shifts. Comfortable and durable.,Comfortable and durable,5.0,B00004VWJ3
"I have plantar, I work in the OR, so I am on my feet all day. My foot doctor told me I needed cork bottom shoes to wear. He also mentioned (spenco foot support) which i got from academy sports.
When I tell you the first day is the worst because your feet have to adjust. The 2nd day I was fine! My feet do not  hurt when I wear cork bottom shoes. I have slippers I wear that are cork bottoms.
What also helps is soaking your feet in ice cold cold cold water after a long day. It helps.
The shoes are good for plantar. I would recommend them.",GOOD FOR PLANTAR fasciitis,5.0,B00004VWJ3
Excellent,Five Stars,5.0,B00004VWJ3
"These shoes are like snow tires, they last at least 5 years in the grease and grime of the kitchen!",These shoes are like snow tires,5.0,B00004VWJ3
"My mom has been wearing birki's for 20+ years. I bought her a new pair for christmas. The insoles that came with these are uncomfortable and making her feet sore even after 2 months of trying to break them in. Contacted the seller, ""Get on amazon and order some new insoles."" Thanks guys.",Defective,2.0,B00004VWJ3
Fast and Great! they are exactly what we ordered and so comfortable for my husband who is an Executive chef to be in all day!,"Great Fit, Comfy and FAST SHIPPING",5.0,B00004VWJ3
These do not fit as well as my originals. Its like Im flopping in my shoes. I could actually run to codes in my other ones. These would fly off my feet.,Interesting fit,4.0,B00004VWJ3
,Five Stars,5.0,B00004VWJ3
These look well made and are truly slip resistant. For me they are terribly uncomfortable to wear for the whole work day. I think they will be ok just to wear for short times and hopefully they will get broken in,For me they are terribly uncomfortable to wear for the whole work day,1.0,B00004VWJ3
