title,features,description,asin,imageurl,imageURLHighRes,category
"Star Trek Quartz Wristwatch - Genuine Leather, Stainless Steel","Color: Brown
Type: Wallet Case
Compatible Brand: For Samsung
Compatible Model: For Samsung Galaxy S III
Product Dimensions:
                    
8.7 x 6 x 0.2 inches
Shipping Weight:
                    
8.5 ounces
","KLD Hardshell Leather Folio Case for Samsung Galaxy S3 - Brown
",8087049098,"['https://images-na.ssl-images-amazon.com/images/I/51u54mxWb6L._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/51u54mxWb6L.jpg'],Women Watches
Urban Ladies Silver Diamante Large Dial Purple PU Leather Strap Watch Analog Quartz Extra Battery,"Urban Ladies Silver Diamante Large Dial Purple PU Leather Strap Watch Analog Japanese Quartz Extra Battery
Large Dial specially designed for those people who face difficulty to see time.
PU Leather Strap Watch, Beautiful Diamant Face With Large Clear Dial
Dial Size: 40mm, Case Thickness: 6mm, Strap Length: First Hole 180mm - Last Hole 230mm, Strap Has Got Many Holes So it does Fit to most of the Wrists
One Year Manufacturer's Warranty And One Extra Battery, Fantastic Bargain!!
Shipping Information:
                    
View shipping rates and policies
","Urban Ladies Silver Diamante Large Dial Purple PU Leather Strap Watch Analog Japanese Quartz Extra Battery Large Dial specially designed for those people who face difficulty to see time. PU Leather Strap Watch, Beautiful Diamant Face With Large Clear Dial Dial Size: 40mm, Case Thickness: 6mm, Strap Length: First Hole 180mm - Last Hole 230mm, Strap Has Got Many Holes So it does Fit to most of the Wrists One Year Manufacturer's Warranty And One Extra Battery, Fantastic Bargain!!
",9999666698,"['https://images-na.ssl-images-amazon.com/images/I/41NLSsnKyoL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/41NLSsnKyoL.jpg'],Women Watches
"Kenneth Cole REACTION Women's Quartz Stainless Steel Dress Watch, Color:Silver-Toned (Model: KC4232)","Quality Japanese-Quartz movement
Mineral crystal
Case diameter: 22.25 mm
Stainless-steel case; Silver dial
Water resistant to 99 feet (30 M): withstands rain and splashes of water, but not showering or submersion
Package Dimensions:
                    
5.9 x 3 x 1.9 inches
Shipping Weight:
                    
7.2 ounces
","Kenneth Cole watches are under a limited lifetime warranty. This warranty does not apply to normal wear and tear or abuse, excluded battery, case, crystal, strap, malfunction, and deterioration resulting from accident, negligence and tampering.
Make an artful statement with this ladies stainless steel timepiece from the Kenneth Cole New York Collection. Classically styled, this watch is equally at home in the boardroom or in a posh five-star restaurant. The thin rectangular watch has a slightly rounded top that measures .81 inches wide and features a shimmery metallic silver dial. The bracelet features a polished stainless steel center that's framed by a brushed stainless steel border. It tapers from the watch to a .46-inch width.
Other features include:  Japan quartz movement Luminious hands with second hand  A very durable metal alloy (usually containing 10-20% chromium), stainless steel is virtually immune to rust, discoloration, and corrosion.
Water Resistance This watch is water resistant to 50 meters. Before using the watch in or near water, be sure that the crown is pushed in completely. If the watch is underwater or wet, do not use pushers, rotating bezels, or crowns. Once it has become wet, wipe it dry as soon as possible; if it comes in contact with salt water, rinse cases and bracelets immediately and thoroughly with fresh water.
Battery The battery in this Kenneth Cole watch should last approximately two years. Whe\ n the battery expires, replace it as soon as possible to prevent any malfunctio\ n. For battery replacement, Kenneth Cole recommends that you contact an authori\ zed Kenneth Cole dealership. This watch uses the 317 battery type.
",B00005RE2T,"['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL.jpg'],Women Watches
Skagen Women's 26mm Goldtone Mesh Watch,"Quartz movement
Mineral crystal
Case diameter: 27 mm
Stainless-steel case; White dial
Water resistant to 99 feet (30 M): withstands rain and splashes of water, but not showering or submersion
Product Dimensions:
                    
3.5 x 2 x 4.9 inches
Shipping Weight:
                    
6.4 ounces
","Made in Denmark, Skagen watches are known for their striking contemporary design and superb craftsmanship. Put one on the wrist of someone who cares about quality and her own personal style. Both of these Skagen watches have a white dial with Swarovski crystals as hour indicators. Choose natural stainless steel or gold-plated mesh band. Other features: Japanese quartz movement, water resistance to 98 feet. Lifetime limited manufacturer's warranty.
Contemporary. Sleek. Stylish. These words describe the Skagen Women's Mesh Bracelet Watch as well as the woman who wears such a timepiece. The silver-tone, stainless steel mesh bracelet is complemented by a round, silver-tone, stainless steel bezel. The crisp, white dial features delicate crystals in the hour positions and slender, silver-tone hands, including a sweeping seconds hand. This watch is water resistant to 99 feet (30 M).
",B0000643Q6,"['https://images-na.ssl-images-amazon.com/images/I/21UILtxIznL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31oMSlSXg1L._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL._SR38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/21UILtxIznL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31oMSlSXg1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL.jpg']",Women Watches
TIMEX Women's 50892 Rush VO2 Sports Watch,"This futuristic watch has been designed specifically for female athletes
The futuristic design features a dark silver metallic resin case and a black/dark blue double-shot strap with light blue keeper
If you look past the great looks however, you'll find a sports watch with unique technological features
The digital display also shows the time (hr. min. sec.), day, & date
One of those features are the built-in instructions that prompt you with on-screen messages during the setting of the time & alarm - nothing could be easier!
Package Dimensions:
                    
3.3 x 2.9 x 2.5 inches
Shipping Weight:
                    
5 ounces
","
Timex Group B.V. is one of the best-known American watch companies. Timex's U.S. headquarters are located in Middlebury Connecticut and it has substantial operations in China, the Philippines and India and full scale sales companies in Canada, the UK, France and Mexico.
The company began in 1854 as Waterbury Clock in Connecticut's Naugatuck Valley, known during the nineteenth century as the ""Switzerland of America."" Sister company Waterbury Watch manufactured the first inexpensive mechanical pocket watch in 1880. During World War I, Waterbury began making wristwatches, which had only just become popular, and in 1933 it made history by creating the first Mickey Mouse clock under license from Walt Disney, with Mickey's hands pointing the time.
During World War II, Waterbury renamed itself U.S. Time Company. In 1950 the company introduced a wristwatch called the Timex. Over the next three decades, Timex was sold through a series of advertisements which emphasized its durability by putting the watch through ""torture tests,"" such as falling over the Grand Coulee Dam or being strapped to the propeller of an outboard motor, with the slogan ""It takes a licking and keeps on ticking."" With the help of former Olympic broadcaster, spokesman John Cameron Swayze, sales took off. The company later became Timex Corporation, then Timex Group and, to date, has sold over one billion watches.
The company has remained very competitive and the Timex brand continues its dominance through present day. Its primary market remains the United States and Canada, although the Timex brand is sold worldwide due to its ability to capitalize on its strong brand image and reputation for quality.
One of the most successful and important features available on many Timex watches is the Indiglo backlight system. Indiglo is a brand name of Indiglo Corporation, solely owned by Timex for licensing purposes. Timex electroluminescent lamps, branded Indiglo, were introduced in 1992 in the Ironman watch line. They were an immediate success. The Indiglo lamp uniformly lights the surface of the Timexs watch dials in a manner that makes the dial read very easily in many different light settings. In some newer watches the Indiglo backlight only lights up the numbers, rather than the entire LCD display, which is achieved by means of a specialized film that inverts the LCD transmissivity.
Today, Timex Group products are manufactured in the Far East and in Switzerland often based on technology that continues to be developed in the United States and in Germany. With a large and varied line of watches, Timex has the style for everyone. From the locker room to the board room, there is a great Timex style time-piece for you.
",B00006I5YC,"['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL.jpg'],Women Watches
CASIO MQ76-9A Analog Wrist Watch,"Water Resistant
Analog Time Keeping with sweep second hand
Approx. 2 years of battery life
","Display Type - Analog Clasp - Buckle Case material - Resin Case diameter - 35 millimeters Case Thickness - 10 millimeters Band Material - Resin Band length - Men's Standard Band width - 25 millimeters Band Color - Black Dial color - Gold Special features - measures-seconds Movement - Quartz Water resistant depth - 50 Meters
",B00007DN11,['https://images-na.ssl-images-amazon.com/images/I/315JhCaK0-L._SS40_.jpg'],['https://images-na.ssl-images-amazon.com/images/I/315JhCaK0-L.jpg'],Women Watches
CASIO MQ27-7E Casual Classic Watch,"Core Collection
Japanese Quartz Movement
10 Meters / 30 Feet / 1 ATM Water Resistant
26mm Case Diameter
Mineral Crystal
","The Core by Casio is a timeless piece for those who value the little luxuries in life This watch is handcrafted with a sleek plastic band and metal case These durable materials guarantee longevity of the product and a proud owner in the years to come The black band white dial and silver hands contribute to the overall appearance of the watch by adding a sophisticated aspect This piece also features a sturdy mineral crystal to protect the dial and a Japanese quartz movement to ensure you remain punctual in your daily life In addition this product is water-resistant to 10 meters 30 feet 1 atm which is ideal for those days where an accident may occur The rich details imperishable components and luxurious quality of the Casio Core watch make it a perfect addition to any collection
",B00007JDQV,"['https://images-na.ssl-images-amazon.com/images/I/41pDjWaJm5L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41HqCmzGu-L._SS40_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41pDjWaJm5L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41HqCmzGu-L.jpg']",Women Watches
Timex Women's T53161 Ironman Traditional 30-Lap Black/Gray Resin Strap Watch,"Indiglo night-light
100-Hour Chronograph with Lap and Split Times, 99-Lap Counter
100-Hour Countdown Timer with Stop and Repeat
30-lap memory recall for effortless review after workout
Water resistant to 330 feet (100 M): suitable for snorkeling, as well as swimming, but not diving
Package Dimensions:
                    
4.7 x 3.5 x 3.1 inches
Shipping Weight:
                    
3.52 ounces
","Ideal for high-performance athletes or occasional swimmers, the Timex Women's T53161 Ironman Traditional 30-Lap Black/Gray Resin Strap Watch is a trendy, durable watch. With a wide variety of useful functions including a daily/weekday/weekend alarm, 30-lap memory recall, 99-lap counter, 24-hour countdown timer, and stopwatch with lap and split times, this sports watch is also water resistant to 330 feet (100 meters). A stylishly contoured resin case complements the black resin bezel and band, and this Ironman watch wraps smoothly and comfortably around the wrist, fastening with a traditional buckle. The bright green dial with Indiglo night light can be read in any light conditions and offers a month, day, and date display along with options for different time zones.
Ideal for high-performance athletes or occasional swimmers, the Timex Ironman 30-Lap Sports Watch is a trendy, durable watch for men or women. With a wide variety of useful functions including a daily/weekday/weekend alarm, 30-lap memory recall, 99-lap counter, 24-hour countdown timer, and stopwatch with lap and split times, this sports watch is also water resistant to 330 feet (100 meters). A stylishly contoured resin case complements the black resin bezel and band, and this Ironman watch wraps smoothly and comfortably around the wrist, fastening with a traditional buckle. The bright green dial with Indiglo night light can be read in any light conditions and offers a month, day, and date display along with options for different time zones.
",B00008IM8T,"['https://images-na.ssl-images-amazon.com/images/I/41CtFgXbHuL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL._SR38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41CtFgXbHuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL.jpg']",Women Watches
CASIO MQ27-1B Men's Dress Watch,"Precise Japan Quartz Movement - Accuracy: +/-20 seconds per month
Resin Case and Band, Stainless Caseback
3 Hand Analog Display
Battery SR621SW, Approx. battery life: 2 years, Module 705
Module 705, Size of case / total weight: 37.5 x 35.0 x 7.5mm / 19g
","Quartz movement, Casual watch, Silver-tone hands, numbers & stick markers, Stainless steel crown & caseback, Polyurethane case & bezel, Water resistant
",B00009L7N5,['https://images-na.ssl-images-amazon.com/images/I/41J7PpWJiSL._SS40_.jpg'],['https://images-na.ssl-images-amazon.com/images/I/41J7PpWJiSL.jpg'],Women Watches
GUCCI Women's YA055506 Series 5505 Silver-Tone Dial Watch,"Round watch featuring Roman numeral markers and date window at 3 o'clock
27 mm stainless steel case with anti-reflective sapphire dial window
Quartz movement with analog display
Stainless steel bracelet with deployment clasp with double push-button safety closure
Water resistant to 30 m (99 ft): In general, withstands splashes or brief immersion in water, but not suitable for swimming
Package Dimensions:
                    
5 x 4.8 x 4.6 inches
Shipping Weight:
                    
1.25 pounds
","Stainless steel case with a stainless steel link bracelet. Fixed stainless steel bezel. Silver dial with silver-tone hands and Roman numeral hour markers. Date display at the 3 o'clock position. Quartz movement. Scratch resistant sapphire crystal. Solid case back. Case diameter: 27 mm. Deployment clasp. Water resistant at 30 meters / 100 feet. Additional Info: date displays at 3 o'clock position. Gucci 5505 Stainless Steel Ladies Watch YA055506.
An iconic Italian fashion trendsetter, the House of Gucci--better known just as Gucci--is renowned for its tradition of luxury and constant quest and attention for style and quality. It was founded in 1921 by Guccio Gucci when he opened a leather goods company and small luggage store in his home of Florence, Italy. Within a few years, the Gucci label attracted a sophisticated international clientele who sought out its equestrian-inspired collection of bags, trunks, gloves, shoes, and belts. By the 1960s, Gucci products became icons when worn by such fashion icons as Jackie Kennedy (who carried a shoulder bag that today takes her name, Jackie O), Liz Taylor and Grace Kelly. Artistically combining the elegance of Italian design with the precision of Swiss horological craftsmanship, every Gucci timepiece represents watchmaking at its finest. From inception to finish piece, Gucci demands a commitment of the highest standards, attention to detail and exacting quality control. Today's Gucci watches are made of the most durable materials, while design is focused on modernity--tweaking classic watch styles with contemporary lines and flourishes in order to make a mark of this time for years to come.
",B00009W9MJ,"['https://images-na.ssl-images-amazon.com/images/I/21f2ivYTDfL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/417JtrQJNxL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL._SR38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/21f2ivYTDfL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/417JtrQJNxL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31MpUA8mLjL.jpg']",Women Watches
