reviewtext,summary,rating,asin
What a clean looking...uncomplicated watch...adjusts to your wrist in seconds...anyone can do it.  No need to go to a jeweler.  The little stones at the hour hands are so sparkely...a nice little pick you up for those winter months.  Treat yourself.,Great little watch,5.0,B0000643Q6
"- Price point was excellent

- Product Quality is really good

- Shipped on time

- Was priced 50% compared to Dillard's locally and no taxes, no shipping fees:)",Great buy!,5.0,B0000643Q6
I bought this for almost 50% less than it sells in the local department store and am happy with my purchase.  The only trouble I have had is with the clasp.  It is a little tricky and you have to make sure that is catches correctly.  I found my watch on the floor recently because the clasp came open.,Very Satisfied,4.0,B0000643Q6
"It's not the most expensive watch but it doesn't have to be. It's a looker of a watch. Classy,clean and sharp looking. Mesh band on the wrist (any- I have a Skagen also) is most comfortable and easy to use and sure locking. Terrific buy & price.",Classy Watch,5.0,B0000643Q6
"I bought this as my everyday watch and love it!  I'm very happy with the ultrathin band that lays down nicely on my wrist and doesn't catch at my arm hairs like chain links do.  The only complaint, and this is a very minor one, is that the adjustable band wasn't made for someone who's wrist is as thin as mine- 5.5 inches around.  I think the tightest it'll go is 6 inches.",Very versatile- can be elegant or casual,5.0,B0000643Q6
"The watch is extremely reliable. I've had it three years and it's never lost time and is running on the original battery. I wear it every day so it takes a lot of abuse. It's simple design is elegant enough for me to wear to work or out for a casual evening, but casual enough for me to wear on weekends. The mesh band is the most comfortable band you will ever wear, you don't even feel it against your skin. I have a two-tone Movado and I far prefer my $89 Skagen to my $900 Movado.  My Skagen is also easy to read the time. I just love it more than I can say. I own numerous watches, many from Switzerland. But the Skagen is the KING of my lifetime watch collection. Simplicity as its very BEST.",Best watch I've ever owned.,5.0,B0000643Q6
"This watch is great, looks great and feels great. The hands clicking sound is almost none! Overall nice watch, very happy with it.",nice watch,5.0,B0000643Q6
"I've purchased this watch from mid-watch company- as you can see It's a fab casual watch and is worth the price.

the service was great and on time, and I am very pleased with this purchase.

thank you",Just wonderful,5.0,B0000643Q6
I'm picky but I love this watch!,Five Stars,5.0,B0000643Q6
"I purchased this watch in December 2012 for myself as a Christmas present.  I needed a silver watch to match other silver jewelry and this one was very pretty.  I'd heard that the Skagen brand was very dependable, but I have found this to not be the case.  The watch was only used one time , this year in fact.  I had a new battery installed and it ran for about 2 hours.  I found that if I continued to shake it, it would run but as soon as I stopped it stopped after about 30 minutes.  The jewelry repair rep had me bring it back to see if the connections were meeting and they were.  The screw to wound the watch is so tiny I could barely grasp it.  Imagine trying to keep it set...smh!  The clasp is difficult to latch but that wouldn't be a problem if there weren't so many other problems.  The watch is a waste of money and I will never buy another one.",Looks are very much deceiving!!!,1.0,B0000643Q6
