asin,rating
B0000643Q6,3.8444444444444446
B00007DN11,3.75
B00008IM8T,4.488888888888889
B0000C0SE2,4.105263157894737
B0000TIIIW,4.363636363636363
B0000TII8C,4.269230769230769
B0000TIJ6S,4.214285714285714
B0000TIIZ0,4.4
B0000TII8M,4.022222222222222
B0000TIIPK,3.8666666666666667
B0000TQKCI,4.411764705882353
B0000VA2B6,4.066666666666666
B0001HIT0U,3.977777777777778
B0001HIT1Y,4.222222222222222
B0001HIT1O,4.155555555555556
B0001MLMKY,4.022222222222222
B0001ZUVAI,4.333333333333333
B00020J03Q,4.4
B00020J0UE,4.0
B00020J054,4.162790697674419
B00020J05O,4.4186046511627906
B00021C41A,4.294117647058823
B00021CLUY,3.933333333333333
B00024CDF4,4.083333333333333
B00024WAPW,3.8222222222222224
B00024WASO,3.5952380952380953
B00024WLD8,4.27027027027027
B00024WLAQ,3.7857142857142856
B00024WC78,4.688888888888889
B00024WAK2,4.230769230769231
B00024WC64,4.16
B00024WB2O,4.05
B00024WBTW,3.3555555555555556
B00024WL8S,4.545454545454546
B00029R5H0,4.333333333333333
B0002M9T3K,4.0
B0002OUAM2,3.9444444444444446
B0002RX0BC,4.2
B0002RX0GC,4.40625
B0002UD42O,4.55
B0002UD438,4.688888888888889
B00062LAFG,4.538461538461538
B00067KRVO,4.7555555555555555
B00068TIHW,4.6
B00068TII6,3.7142857142857144
B00068TD0O,4.444444444444445
B00068TIHM,4.833333333333333
B00068TJ30,4.555555555555555
B00068TIGI,3.7333333333333334
B0006B7QBO,4.105263157894737
B0006B7Q3M,4.333333333333333
B0006VBFM0,4.466666666666667
B00074L2U6,4.488888888888889
B00005RE2T,5.0
B00006I5YC,4.0
B00007JDQV,4.0
B00009L7N5,3.2
B00009W9MJ,3.0
B0000C9ZCC,4.0
B0000C9ZC2,5.0
B0000C9ZCJ,4.0
B0000CARF1,4.833333333333333
B0000TIIEQ,3.0
B0000TEXDG,4.333333333333333
B0000TIINM,4.0
B0000TQKVY,2.875
B0000TQIIY,5.0
B0000UIXWW,3.5
B0000V9M1C,5.0
B0000YBMMQ,5.0
B0000Z7J04,5.0
B00013UP8I,4.4
B000153MWW,3.0
B0001HIT0A,4.25
B0001W8EYQ,4.8
B0001WAPFM,3.5
B0001WLV1E,3.5714285714285716
B00020J068,3.8333333333333335
B00020J0OK,3.25
B00024WARA,3.0
B00024WBUG,1.3333333333333333
B00024WL7Y,3.6666666666666665
B00024WL74,1.0
B00024WC5K,4.666666666666667
B00026WAFU,3.3333333333333335
B0002768G6,4.375
B000276488,4.8
B00028WIB4,4.75
B00028WMCE,3.8
B0002917TW,4.6
B0002B9D1O,5.0
B0002EK6VC,3.0
B0002FQH5K,5.0
B0002M9S90,3.5
B0002M9S86,5.0
B0002M9S5E,5.0
B0002M9RW8,4.0
B0002RIIZU,5.0
B0002TQ7CE,4.5
B0002UD55K,4.0
B0002UD532,4.0
B0002V2VGI,4.125
B0002W2Z5O,4.666666666666667
B0002W5OFC,5.0
B0002ZV1PQ,5.0
B00062LAG0,2.0
B00062LAA6,4.0
B00063RBLC,4.0
B00065CS7W,5.0
B00068TIIQ,4.2
B00068TIJ0,5.0
B00068TIJA,4.2
B00068TIH2,4.6
B0006AAS38,2.0
B0006AAS2O,3.7
B0006AAS3I,3.0
B0006AAS42,4.0
B0006H0SCM,5.0
B0006PLE9K,3.857142857142857
B0006VX5UU,4.0
B00070OWZM,4.5
B00070OWT8,4.428571428571429
B00070OX0G,3.5
B00070OX1K,4.5
B00070OX10,4.0
B00070OWUW,3.4
B00070OX1U,1.0
B00070OWU2,3.2857142857142856
B00070OWUC,4.0
B00074DMWC,4.5
B000788WAU,5.0
B000792JVM,5.0
B000792JTY,4.0
B000792JU8,5.0
B0007D6W7K,2.0
B0002OUT14,5.0
B0002764JW,4.5
B00024WC6Y,1.3333333333333333
B0002M9S36,4.0
B0002FQD0E,1.0
B0002M9RI2,4.666666666666667
B00070OX2O,2.0
B0000V9RH6,5.0
B000788WAK,3.0
B00068TIK4,5.0
B00070OWX4,5.0
B0001HIT0K,5.0
B00077CXCO,4.5
B0006Q6H1O,4.0
B0000C9ZCT,5.0
B0001HIT1E,5.0
B0000CA101,5.0
B0000V9QG8,3.0
B0006B5JTU,5.0
B00070OX06,4.0
B0007D6WCK,3.0
B0000YWSLA,5.0
8087049098,5.0
B00070OX38,2.0
B00016W96Q,4.0
B0000C9ZC4,4.5
B00065CS8Q,1.0
B0002FCBYG,3.0
B0006AAS2E,4.0
B0007D6W48,1.0
B00062L9FM,5.0
B00074DKR4,3.0
B0006B5JW2,5.0
B00020J0XG,5.0
B0002YBB1Q,5.0
9999666698,1.0
B0000YBMNK,3.0
B00022AM0E,5.0
B00078EN1M,5.0
B0001YH8H8,4.0
B0002UD52S,2.0
B00024WAJI,1.0
B0002V5W82,4.2
B0002ZV1RY,5.0
B0000V9M8A,4.0
B00070OX0Q,3.0
