asin,title,summary
8087049098,"Star Trek Quartz Wristwatch - Genuine Leather, Stainless Steel",Brown leather folio case for Samsung Galaxy S3 with wallet features.
9999666698,Urban Ladies Silver Diamante Large Dial Purple PU Leather Strap Watch Analog Quartz Extra Battery,"Women's silver watch with large, clear analog display, PU leather strap, and diamante face. Features Japanese quartz movement, extra battery, and one-year warranty for easy timekeeping and durability."
B00005RE2T,"Kenneth Cole REACTION Women's Quartz Stainless Steel Dress Watch, Color:Silver-Toned (Model: KC4232)","Kenneth Cole ladies' stainless steel wristwatch with Japanese quartz movement, luminous hands, and a water resistance of 50 meters."
B0000643Q6,Skagen Women's 26mm Goldtone Mesh Watch,"Contemporary Skagen watches, crafted in Denmark, feature white dials with Swarovski crystals and Japanese quartz movement. Choose between stainless steel or gold-plated mesh bands, both with 98-feet water resistance."
B00006I5YC,TIMEX Women's 50892 Rush VO2 Sports Watch,"Timex, founded in 1854 with its U.S. headquarters in Connecticut, has become a prominent brand with global operations. Known for their ""torture-tested"" and durable watches with the iconic Indiglo backlight, Timex offers a wide range of timepieces, including this futuristic women's sports watch featuring a metallic resin case, digital display, and built-in instructions for ease of use."
B00007DN11,CASIO MQ76-9A Analog Wrist Watch,"Analog watch with a resin case, resin band, and gold dial. Features water resistance to 50 meters and measures seconds. Battery life is approximately 2 years."
B00007JDQV,CASIO MQ27-7E Casual Classic Watch,"Casio Core: A timeless watch with a durable plastic band, metal case, black band, white dial, silver hands, mineral crystal protection, Japanese quartz movement, 10-meter water resistance, and 26mm case diameter."
B00008IM8T,Timex Women's T53161 Ironman Traditional 30-Lap Black/Gray Resin Strap Watch,"Durable and stylish Timex Ironman sports watch for athletes and swimmers, featuring:
- 30-lap memory recall
- 100-hour chronograph with split times
- 100-hour countdown timer
- 330-foot water resistance
- Indiglo night-light"
B00009L7N5,CASIO MQ27-1B Men's Dress Watch,"Casual quartz watch with polyurethane case and band, stainless steel crown and caseback, silver-tone hands and markers, and 2-year battery life."
B00009W9MJ,GUCCI Women's YA055506 Series 5505 Silver-Tone Dial Watch,"Gucci YA055506 ladies watch features a 27mm stainless steel case with a sapphire crystal and a quartz movement. Its silver dial displays Roman numeral hour markers and a date window at 3 o'clock. The stainless steel link bracelet secures with a deployment clasp. Water-resistant to 30 meters, this watch is suitable for everyday wear."
B0000C0SE2,Voguestrap TX577721 Allstrap 18mm Black Regular-Length Fits Ultra Sport Watchband,"18mm polyurethane watchband fits Timex, Casio, Seiko, Tissot, Citizen, U.S. Polo, Stuhrling and Nautica watches."
B0000C9ZC2,"Skagen Women's Quartz Stainless Steel Dress Watch, Color:Multicolour (Model: 233SGS)","Small gold-tone watch with mesh band, quartz movement, and mineral crystal. Case diameter: 28 mm. Water resistant to 99 feet (30 M). Dimensions: 5.1 x 5.1 x 5.1 inches. Shipping weight: 5.6 ounces."
B0000C9ZCJ,"Skagen Quartz Stainless Steel and Leather Dress Watch, Color:Black (Model: 295USLB)","**Summary:**

Stainless steel watch with dual black dials on a black leather band. Featuring quartz movement, mineral crystal, and water resistance to 30 meters. Packaged in dimensions of 3.6 x 3.5 x 3.4 inches."
B0000C9ZCT,Skagen Women's Quartz Stainless Steel Dress Watch(Model: 355SSSN),"Navy blue stainless steel watch with quartz movement, mineral crystal, date function, and water resistance to 30 meters. Case diameter is 26 mm, with a stainless steel mesh band."
